verbatimDisposition	standardDisposition	standard	checked
Discarded by Dr. Vaurie 5 March 1956	discarded	0	1
Discarded by Dr. Vaurie, 25 Mar 1956	discarded	0	1
Discarded by Dr. Vaurie, 5 Mar 1956	discarded	0	1
Discarded by Mr. OBrien, 15 Mar 1971	discarded	0	1
Discarded D. Amadon 7/17/63	discarded	0	1
Discarded damaged 8/91	discarded	0	1
Discarded from Coll. 21 Oct 1931. (Preparation Dep	discarded	0	1
Discarded from Coll., 21 Oct 1931	discarded	0	1
Discarded from Coll., 21 Oct 1931 (Preparation Dep	discarded	0	1
Discarded from Coll., 21 Oct 1931, (Preparation De	discarded	0	1
Discarded from Coll., 21 Oct 1931. (Preparation De	discarded	0	1
Discarded from Coll.: 21 Oct 1931. (Dept. of Prepa	discarded	0	1
Discarded from Coll.: 21 Oct 1931. (Preparation De	discarded	0	1
Discarded from Collection (Grease-burned), 10 May 	discarded	0	1
Discarded from collection, 23 Dec 1943, by Dr. May	discarded	0	1
Discarded July 8, 1953	discarded	0	1
Discarded June 12, 1936	discarded	0	1
Discarded June 5 1936	discarded	0	1
Discarded May 1925	discarded	0	1
Discarded Nov. 21 1943. (Grease-burned)	discarded	0	1
Discarded Oct 1955	discarded	0	1
discarded October 1, 1973	discarded	0	1
Discarded Sep 1908 by W.M. (grease burnt etc)	discarded	0	1
Discarded, 1 Feb 1956, grease-burned	discarded	0	1
Discarded, 1 Feb 1977	discarded	0	1
Discarded, 14 Jan 1955, J.F.	discarded	0	1
Discarded, 18 May 194[illeg] (crossed out); Given 	voucher elsewhere	0	1
Discarded, 18 Nov 1975	discarded	0	1
Discarded, 1906	discarded	0	1
Discarded, 20 Jan 1906. W.DeW.M.	discarded	0	1
Discarded, 20 Jan 1930	discarded	0	1
Discarded, 21 May 1971, MR. OBRIEN	discarded	0	1
Discarded, 22 Feb 1962	discarded	0	1
Discarded, 22 Jan 1956, J.F.	discarded	0	1
Discarded, 22 Jan 1956. [illeg].F.	discarded	0	1
Discarded, 23 Feb 1994	discarded	0	1
Discarded, 24 Oct 1906	discarded	0	1
Discarded, 27 Aug 1916	discarded	0	1
Discarded, 29 May 1955	discarded	0	1
Discarded, 30 Apr 1942	discarded	0	1
Discarded, 31 Mar 1925	discarded	0	1
Discarded, 4 Feb 1959, Dr. Vaurie	discarded	0	1
Discarded, 4 Mar 1955, D.A.	discarded	0	1
Discarded, 5 Oct 1931	discarded	0	1
Discarded, 6 Oct 1954 J.F.	discarded	0	1
Discarded, 6 Oct 1954, J.F.	discarded	0	1
Discarded, 7 Oct 1954 J.F.	discarded	0	1
Discarded, Aug 1920	discarded	0	1
Discarded, Aug 1923	discarded	0	1
Discarded, Aug 1953	discarded	0	1
Discarded, Aug 1958	discarded	0	1
Discarded, by Dr. Vaurie 25 March 1956	discarded	0	1
Discarded, D. Amadon, 24 Jun 1964	discarded	0	1
Discarded, Destroyed by insects, 9 May 1917	destroyed	0	1
Discarded, Dr. Amadon, 17 Jul 1963	discarded	0	1
Discarded, Feb 1937	discarded	0	1
Discarded, Feb 1963	discarded	0	1
Discarded, insect eaten, 10 Nov 1917	discarded	0	1
Discarded, Jan 1921	discarded	0	1
Discarded, Jan 1953; "Presented to Buffalo Museum 	discarded	0	1
Discarded, Jul 1920	discarded	0	1
Discarded, Jul 1946	discarded	0	1
Discarded, Jun 1920	discarded	0	1
Discarded, Jun 1931	discarded	0	1
Discarded, June 1971	discarded	0	1
Discarded, June, 1971	discarded	0	1
Discarded, Mar 1909	discarded	0	1
Discarded, Mar 1942	discarded	0	1
Discarded, Nov 1937	discarded	0	1
Discarded, Oct 1920	discarded	0	1
Discarded, Oct 1955	discarded	0	1
Discarded, Oct 1966	discarded	0	1
Discarded, Oct. 1955	discarded	0	1
Discarded, October	discarded	0	1
Discarded, October 1966	discarded	0	1
Discarded, Sep 1893	discarded	0	1
Discarded, Sep 1893; Sent to Barro Colorado, 1926	discarded	0	1
Discarded, Sep 1908, by W.DeW.M., (Imperfect & hor	discarded	0	1
Discarded, Sep 1957	discarded	0	1
Discarded, worthless, 24 Dec 1903	discarded	0	1
Discarded: 10 Apr 1942 C.O.B.	discarded	0	1
Discarded: 20 Jul 1920	discarded	0	1
Discarded: 23 Feb 1962	discarded	0	1
Discarded: 23 Jul 1959	discarded	0	1
Discarded: 6 Oct 1954 J.F.	discarded	0	1
Discarded: Aug 1953	discarded	0	1
Discarded: Jun 1963 D.A.(partially crossed out); G	discarded	0	1
Discarded: Mar 1942	discarded	0	1
Discarded: May 1925	discarded	0	1
Discarded: Sep 1893	discarded	0	1
Discarding May 7, 1936	discarded	0	1
Dismounted for the Study Collection	in collection	0	1
disp		0	0
Donated to Theodore Roosevelt Assoc. for perm. exh	voucher elsewhere	0	1
Donated to Urban Park Rangers, Brooklyn, N.Y. - Ju	voucher elsewhere	0	1
Donated to Urban Park Rangers, Brooklyn, N.Y.-July	voucher elsewhere	0	1
Donated to Urban Park Rangers, Brooklyn, NY-July 1	voucher elsewhere	0	1
Dr. George H. Lowery, Exch. to Louisiana State Uni	voucher elsewhere	0	1
Dr. George M. Lowery, Exch. to Louisiana State Uni	voucher elsewhere	0	1
Dr. Herman to D.G. Elliot & Aus. Mus.	voucher elsewhere	0	1
Dublicate sent to Bombay Nat. Hist. Soc. March 193	duplicate elsewhere	0	1
Dublicate sent to Bombay Nat. Hist. Soc., March 19	duplicate elsewhere	0	1
Dublicate sent to British Museum, March 1938	duplicate elsewhere	0	1
Duplicate for Nat. Museum	duplicate elsewhere	0	1
Duplicate for U.S. Mus. Feb 1913	duplicate elsewhere	0	1
Duplicate for U.S. Nat. Mus. Feb 1913	duplicate elsewhere	0	1
Duplicate for U.S. Nat. Mus. Feb. 1913	duplicate elsewhere	0	1
Duplicate for U.S. nat. Mus. Nov 1912	duplicate elsewhere	0	1
Duplicate for U.S. Nat. Mus. Nov. 1912	duplicate elsewhere	0	1
Duplicate for U.S. National Mus. Feb 1913	duplicate elsewhere	0	1
Duplicate for U.S. National Mus. Nov 1912	duplicate elsewhere	0	1
Duplicate for U.S. National Mus. Nov. 1912	duplicate elsewhere	0	1
Duplicate for U.S. NBat. Mus. Nov 1912	duplicate elsewhere	0	1
Duplicate sent to Bombay Nat. Hist. Coc., March 19	duplicate elsewhere	0	1
Duplicate sent to Bombay Nat. Hist. So., March 193	duplicate elsewhere	0	1
Duplicate sent to Bombay Nat. Hist. Soc. 1938	duplicate elsewhere	0	1
Duplicate sent to Bombay Nat. Hist. Soc. March 193	duplicate elsewhere	0	1
Duplicate sent to Bombay Nat. Hist. Soc., March	duplicate elsewhere	0	1
Duplicate sent to Bombay Nat. Hist. Soc., March 19	duplicate elsewhere	0	1
Duplicate sent to Bombay Nat. Soc., March 1938	duplicate elsewhere	0	1
Duplicate sent to Bristish Museum, March 1938	duplicate elsewhere	0	1
Duplicate sent to British Museum, March 1938	duplicate elsewhere	0	1
duplicates elsewhere	duplicate elsewhere	0	1
Ex with Cleveland mus, Feb 192[illeg]	voucher elsewhere	0	1
Ex with S.I. Nov.27, 1889	voucher elsewhere	0	1
Ex. - Tackapausha Museum	voucher elsewhere	0	1
Ex. - with Walter Koelz - Apr 1926, University of 	voucher elsewhere	0	1
Ex. April 18,1890 with Vienna Museum	voucher elsewhere	0	1
Ex. Bonn. Mus.	voucher elsewhere	0	1
Ex. Cleveland Mus. Feb 1926	voucher elsewhere	0	1
Ex. Cleveland Mus., Feb 1926	voucher elsewhere	0	1
Ex. dwith Imp.Col.Agr. Japan Oct.'08	voucher elsewhere	0	1
Ex. Geo. E. Mason,July 1922	voucher elsewhere	0	1
Ex. M.C.Z., Nov 1923	voucher elsewhere	0	1
Ex. Mabel Osgood Wright, Feb 19, 1916	voucher elsewhere	0	1
Ex. Mus. Comp. Zool.	voucher elsewhere	0	1
Ex. Mus. U. So. Dakota	voucher elsewhere	0	1
Ex. S.I. Nov. 27,1889	voucher elsewhere	0	1
Ex. S.I. Nov.27,1889	voucher elsewhere	0	1
Ex. Tackapausha Museum	voucher elsewhere	0	1
Ex. Walter Koelz - Apr 1926	voucher elsewhere	0	1
Ex. with [illeg.] April 5 1890	voucher elsewhere	0	1
Ex. with [illeg], Feb 192[illeg]	voucher elsewhere	0	1
Ex. with [illeg].[illeg]. Southwick	voucher elsewhere	0	1
Ex. with A.I. Nov. 27,1889	voucher elsewhere	0	1
Ex. with Ashley Hine, Baniff,alberta July 31, 1907	voucher elsewhere	0	1
Ex. with Brown	voucher elsewhere	0	1
Ex. with Brown Univ. 7/90	voucher elsewhere	0	1
Ex. with Brown Univ. Oct 6/90	voucher elsewhere	0	1
Ex. with Brown Univ. Oct 7/90	voucher elsewhere	0	1
Ex. with Brown Univ. Oct. 7/90	voucher elsewhere	0	1
Ex. with Brown Univ. Oct.7/90	voucher elsewhere	0	1
Ex. with Brown Univ., Oct 7/90	voucher elsewhere	0	1
Ex. with Brown Univ.,Oct.7/90	voucher elsewhere	0	1
Ex. with C. Wunder, June 10, 1915	voucher elsewhere	0	1
Ex. with C.A. Smith May 15/90	voucher elsewhere	0	1
Ex. with C.B. Cory, Sep 1893	voucher elsewhere	0	1
Ex. with C.E. Aiken, 19 Apr 1898	voucher elsewhere	0	1
Ex. with Carlos Reeds Mendoza, 9 Feb 1917	voucher elsewhere	0	1
Ex. with Carlos Reeds, Feb 1917	voucher elsewhere	0	1
Ex. with Carlos Reeds, Mendoza Feb. 9, 1917	voucher elsewhere	0	1
Ex. with Carlos Reeds, Mendoza, 9 Feb 1917	voucher elsewhere	0	1
Ex. with Carlos Reeds, Mendoza, Feb 1917	voucher elsewhere	0	1
Ex. with Carlos Reeds, Mendoza, Feb. 9, 1917	voucher elsewhere	0	1
Ex. with Chicago Acad. Sci.	voucher elsewhere	0	1
Ex. with Cleveland mus, Feb 1[illeg][illeg][illeg]	voucher elsewhere	0	1
Ex. with Cleveland mus, Feb 19[illeg][illeg]	voucher elsewhere	0	1
Ex. with Cleveland mus, Feb 192[illeg]	voucher elsewhere	0	1
Ex. with Cleveland mus, Feb 1926	voucher elsewhere	0	1
Ex. with Cleveland Mus. Feb 1926	voucher elsewhere	0	1
Ex. with Cleveland Mus. Feb. 1920 [illeg.]	voucher elsewhere	0	1
Ex. with Cleveland Mus. Feb. 1926	voucher elsewhere	0	1
Ex. with Cleveland Mus. Feb. 1928	voucher elsewhere	0	1
Ex. with Cleveland mus., Feb [illeg]	voucher elsewhere	0	1
Ex. with Cleveland mus., Feb 192[illeg]	voucher elsewhere	0	1
Ex. with Cleveland mus., Feb 1926	voucher elsewhere	0	1
Ex. with Cleveland mus., Feb 1926; Fla. St. Univ.	voucher elsewhere	0	1
Ex. with Cleveland Mus., Feb. 1926	voucher elsewhere	0	1
Ex. with Cleveland Museum, Feb 1926	voucher elsewhere	0	1
Ex. with Cleveland, Feb 1926	voucher elsewhere	0	1
Ex. with Dr. L.C. Sanford Sept 1917	voucher elsewhere	0	1
Ex. with Dr. Rusby	voucher elsewhere	0	1
Ex. with Dr. Rusby, 7/8/1896	voucher elsewhere	0	1
Ex. with Dr. Rusby, 8 Jul 1996	voucher elsewhere	0	1
Ex. with Dr. Rushy 8/8/96; Returned Via Exchange w	voucher elsewhere	0	1
Ex. with E.T. Seton, May 24, 1928	voucher elsewhere	0	1
Ex. with F.O. Johnson May 20, 1889	voucher elsewhere	0	1
Ex. with F.O. Johnson May 20, 1890	voucher elsewhere	0	1
Ex. with F.O. Johnson May 20, 1989	voucher elsewhere	0	1
Ex. with F.O. Johnson, May 20, 1889	voucher elsewhere	0	1
Ex. with F.O. Johnson, May 30, 1889	voucher elsewhere	0	1
Ex. with G. [illeg][illeg]h[illeg], 28 Apr 18[ille	voucher elsewhere	0	1
Ex. with g. Kohn Apr 28,'80	voucher elsewhere	0	1
Ex. with G. Kohn Apr.28,1890	voucher elsewhere	0	1
Ex. with G. Kohn April 18 ]illeg.]	voucher elsewhere	0	1
Ex. with G. Kohn Nov 29/90	voucher elsewhere	0	1
Ex. with G. Kohn Nov. 29/90	voucher elsewhere	0	1
Ex. with G. Kohn Nov.29/90	voucher elsewhere	0	1
Ex. with G. Kohn, Apr 28,'90	voucher elsewhere	0	1
Ex. with G.Kohn Apr 28 [illeg.]	voucher elsewhere	0	1
Ex. with G.Kohn Apr 28,'90	voucher elsewhere	0	1
Ex. with G.Kohn Apr.28'90	voucher elsewhere	0	1
Ex. with G.Kohn Nov 29/90	voucher elsewhere	0	1
Ex. with G.Kohn Nov. 30/90	voucher elsewhere	0	1
Ex. with G.Kohn Nov.29/90	voucher elsewhere	0	1
Ex. with G.Kohn Nov29/90	voucher elsewhere	0	1
Ex. with H.K.Coale,Chicago Ill. April 24,1907	voucher elsewhere	0	1
Ex. with Imp.Col.Agr. Japan Oct.'08	voucher elsewhere	0	1
Ex. with Imp.Col.Agr. Japan Oct'08	voucher elsewhere	0	1
Ex. with Imp.Col.Agr.,Japan Dec.'09	voucher elsewhere	0	1
Ex. with John Whitehead Sep. 12/90	voucher elsewhere	0	1
Ex. with John Whitehead Sept 12/90	voucher elsewhere	0	1
Ex. with John Whitehead Sept. 12/90	voucher elsewhere	0	1
Ex. with John Whitehead, 12 Sep 1890	voucher elsewhere	0	1
Ex. with John Whitehead, Sept 13/90	voucher elsewhere	0	1
Ex. with Kn[illeg], S & Co. [illeg]2/28.00	voucher elsewhere	0	1
Ex. with Kny S & Co.	voucher elsewhere	0	1
Ex. with Kny S & Co., 12/28/00	voucher elsewhere	0	1
Ex. with Kny S. & Co., 12/28/00	voucher elsewhere	0	1
Ex. with Kny, S & Co., 12/28/00	voucher elsewhere	0	1
Ex. with Kny, S. & Co.	voucher elsewhere	0	1
Ex. with Kny[illeg] S & Co.	voucher elsewhere	0	1
Ex. with Louis	voucher elsewhere	0	1
Ex. with Louis Molnar Sept 10 1890	voucher elsewhere	0	1
Ex. with Louis Molnar Sept 10, 1890	voucher elsewhere	0	1
Ex. with Louis Molnar Sept 10,1890	voucher elsewhere	0	1
Ex. with Louis Molnar Sept 1890	voucher elsewhere	0	1
Ex. with Louis Molnar Sept. 10 1890	voucher elsewhere	0	1
Ex. with Louis Molnar Sept. 10, 1890	voucher elsewhere	0	1
Ex. with Louis Molnar Sept. 10,1890	voucher elsewhere	0	1
Ex. with Louis Molnar Sept. 19,1890	voucher elsewhere	0	1
Ex. with Louis Molnar Sept.10 1890	voucher elsewhere	0	1
Ex. with Louis Molnar Sept.10,1890	voucher elsewhere	0	1
Ex. with Louis Molnar, 10 Sep 18[illeg]0	voucher elsewhere	0	1
Ex. with Louis Molnar, 10 Sep 1890	voucher elsewhere	0	1
Ex. with Louis Molnar, Sep.10,1890	voucher elsewhere	0	1
Ex. with Louis Molnar, Sept 10, 1890	voucher elsewhere	0	1
Ex. with Louis Molnar, Sept 10,1890	voucher elsewhere	0	1
Ex. with Louis Molnar, Sept. 10,1890	voucher elsewhere	0	1
Ex. with Louis Molnar, Sept.10,1890	voucher elsewhere	0	1
Ex. with Louis Molnar,Sept. 10,1890	voucher elsewhere	0	1
Ex. with Louis Molnar,Sept.10,1890	voucher elsewhere	0	1
Ex. with M.C.Z., Nov 3, 1913	voucher elsewhere	0	1
Ex. with Mr. E.T. Seton May 24,1928	voucher elsewhere	0	1
Ex. with P.L. Sclater, Sep 1893	voucher elsewhere	0	1
Ex. with P.L. Sclater, Sep 1893; Exch. Museo Nacio	voucher elsewhere	0	1
Ex. with P.L. Sclater, Sep 1893; Exch. with H.K. C	voucher elsewhere	0	1
Ex. with R. Mainerznagen June 1924	voucher elsewhere	0	1
Ex. with R. Meinernagen June 1924	voucher elsewhere	0	1
Ex. with R. Meinerzanagen June 1924	voucher elsewhere	0	1
Ex. with R. Meinerzhagen [illeg.] June 1924	voucher elsewhere	0	1
Ex. with R. Meinerzhagen, Jun 1[illeg][illeg]4	voucher elsewhere	0	1
Ex. with R. Meinerzhagen, Jun 1924	voucher elsewhere	0	1
Ex. with R. Meinerzhagen, June 1924	voucher elsewhere	0	1
Ex. with R. Meinerznagen June [illeg. ?]	voucher elsewhere	0	1
Ex. with R. Meinerznagen June 1921	voucher elsewhere	0	1
Ex. with R. Meinerznagen June 1924	voucher elsewhere	0	1
Ex. with R. Meinerznagen, June 1924	voucher elsewhere	0	1
Ex. with R.C. Mc Gregor, Mar 1898	voucher elsewhere	0	1
Ex. with Rusby, 7/8/1896	voucher elsewhere	0	1
Ex. with S.I. Dec.9/89 in return [illeg.]	voucher elsewhere	0	1
Ex. with S.I. Nov 27 1889	voucher elsewhere	0	1
Ex. with S.I. Nov 27, 1880	voucher elsewhere	0	1
Ex. with S.I. Nov 27, 1889	voucher elsewhere	0	1
Ex. with S.I. Nov 27,1889	voucher elsewhere	0	1
Ex. with S.I. Nov. 1889	voucher elsewhere	0	1
Ex. with S.I. Nov. 27, 1889	voucher elsewhere	0	1
Ex. with S.I. Nov. 27, 1890	voucher elsewhere	0	1
Ex. with S.I. Nov. 27,1889	voucher elsewhere	0	1
Ex. with S.I. Nov. 27,1889; Return  [illeg.] -as w	voucher elsewhere	0	1
Ex. with S.I. Nov.27, 1889	voucher elsewhere	0	1
Ex. with S.I. Nov.27,1880	voucher elsewhere	0	1
Ex. with S.I. Nov.27,1889	voucher elsewhere	0	1
Ex. with S.I. Nov.27,1889; Given to Brooklyn Museu	voucher elsewhere	0	1
Ex. with S.I. Nov.27,1890	voucher elsewhere	0	1
Ex. with S.I. Nov.27,29/90	voucher elsewhere	0	1
Ex. with Stockholm N.H. Mus., May 1927	voucher elsewhere	0	1
Ex. with U.S. Nat. Mus., Sep 1893	voucher elsewhere	0	1
Ex. with Vienna Museum April 15,1890	voucher elsewhere	0	1
Ex. with Vienna Museum, April 15,1890	voucher elsewhere	0	1
Ex. with W. Wheeler May 1920 [illeg.]	voucher elsewhere	0	1
Ex. with W.[illeg]. Wheeler, May 1924	voucher elsewhere	0	1
Ex. with W.C. Wheeler May 1924	voucher elsewhere	0	1
Ex. with W.C. Wheeler May 1924 [illeg.]	voucher elsewhere	0	1
Ex. with W.C. Wheeler, May 1924	voucher elsewhere	0	1
Ex. with Walter Koelz, April 26,-University of Mic	voucher elsewhere	0	1
Ex.-Academy of Natural Sciences, April 1928	voucher elsewhere	0	1
Ex.-Tackapausha Museum	voucher elsewhere	0	1
Ex.with Cleveland Mus. Feb. 1926	voucher elsewhere	0	1
Ex.with Louis Molnar, Sept. 10 [illeg.]	voucher elsewhere	0	1
Exc. Bonn. Mus.	voucher elsewhere	0	1
Exc. Bonn. Mus., 1960	voucher elsewhere	0	1
Excg. sent to Berlin Zool. Mus. Jan 8, 1932	voucher elsewhere	0	1
Exch - Chicago Nat. Hist. Mus. 6 Aug 1959	voucher elsewhere	0	1
Exch - Mr Starrs Olson	voucher elsewhere	0	1
Exch - Tackapausha Museum	voucher elsewhere	0	1
Exch A. Koenig Museum	voucher elsewhere	0	1
Exch Birdcraft Sanctuary, Fairfield, Conn., Mar 19	voucher elsewhere	0	1
Exch Brit. Mus. Sept 1927	voucher elsewhere	0	1
Exch Cleveland Museum, Jun 1923	voucher elsewhere	0	1
Exch for Drymocichla incana 160935	voucher elsewhere	0	1
Exch Nat Mus Kenya - Aug 1983	voucher elsewhere	0	1
Exch Nat Mus Kenya, Aug 1983	voucher elsewhere	0	1
Exch Phila.Acad.Nat.Sci.	voucher elsewhere	0	1
Exch sent to Berlin Zool. Mus., Jan 8, 1932	voucher elsewhere	0	1
Exch sent to Bishop Museum Jan 21, 1932	voucher elsewhere	0	1
Exch sent to Cleveland Mus. Jan 6, 1932	voucher elsewhere	0	1
