preparations,reps
egg (1 broken; parasitized by Cuculus canorus YPM 136115),1
tissue frozen (skin & wing at Moscow State University Zoological Museum),1
egg (intact; parasitized by Tapera naevia (YPM 101239)),1
70% alc. (R wing and neck damaged); tissue frozen,1
70% alc. (head missing); tissue frozen,1
70% alc. (missing 6 rectrices); tissue frozen,1
tissue frozen (voucYPCC-2910 her at KUNHM;),1
egg (host: Hylocichla mustelina YPM 134789; intact),1
"skin, mounted (standing on one foot)",1
egg (parasitized by Molothrus ater YPM 146521),1
egg (intact; host: Seiurus aurocapillus (YPM 116681)),1
"cast (Brain Casts cabinet, drawer 3)",1
"skin, mounted (crouched)",1
skin in EtOH,1
nest (not located at time of cataloguing),1
"skin, mounted (standing, feeding posture?)",1
egg (see conservation notes),1
"skin, mounted (posed as if feeding on something near its feet, a nice mount - SBH)",1
"skeleton (broken R leg, necropsied); tissue frozen",1
"egg (intact, not a clutch?)",1
"skin, mounted (wings open swimming)",1
egg (Host: Seiurus aurocapillus YPM 146520),1
"skin, mounted (poor condition, everything loose -SBH)",1
cleared & stained (embryo 6 days),1
"skin, mounted (young chick, sitting)",1
egg (parasitized by Molthrus ater YPM 146528),1
"skin, mounted (young duckling)",1
skeleton (some bone damage from necropsy); tissue frozen,1
egg (3 intact 1 large hole),1
"egg (single eggs; intact, stained)",1
"skin, mounted (perched on a twig, a few tail feathers separate and in a bag)",1
egg (1 broken in half),1
"skin, mounted (downy young)",1
"skin, round (Exchanged to NM of New Zealand in 1983)",1
egg (5 intact 1 cracked),1
skeleton (captive born); tissue frozen,1
egg (parasitized by Molothrus ater YPM 142295),1
"skin, round (missing); 10% form.->70% alc. (partial)",1
"skin, round (Exchanged toUSNM1963)",1
egg (8 intact 1 broken),1
egg (host: Cardinalis cardinalis YPM 136694; intact),1
egg (parasitized by Molothrus ater YPM 142283),1
egg (host: Tyrannus tyrannus YPM 133192; intact),1
egg (2 - large fragments),1
egg (parasitized by Molothrus ater YPM 134712; intact),1
egg (4: 2 repaired),1
"egg (host: Dumetella carolinensis YPM 142488; single eggs, intact)",1
egg (single intact),1
egg (parasitized by Molothrus ater YPM 142356),1
"egg (2: 1 broken, or 3: 2 broken)",1
egg (2: 1 has enlarged hole),1
"egg (2: intact, very dirty)",1
"egg (3 intact, rest broken)",1
"egg (5: intact, holes enlarged)",1
egg (host: Dendroica pensylvanica YPM 142367),1
skeleton; wing; tissue frozen; gut contents separated (1 frog and 2 salamanders catalog separately),1
"egg (1 broken, 1 a fragment only)",1
egg (1 broken of set of 5),1
egg (parasitized by Molothrus ater YPM 142418),1
egg (host: Dendroica pensylvanica YPM 142363),1
egg (intact; host: Coccyzus americanusYPM 145703),1
egg (parasitized by Molothrus ater YPM 142342),1
"egg (9 intact, 1 with large hole)",1
egg (4: 1 broken; large holes [clearly birds nearly hatched]),1
egg (host: Setophaga ruticilla YPM 142302),1
nest (parasitized by),1
egg (host: Setophaga ruticilla YPM 142300),1
egg (parasitized by Spizells pusilla YPM 142469),1
"skin, round (Exchanged to NM of New Zealand 1985)",1
"egg (1 cracked, 1 small fragment)",1
egg (host: Passerina cyanea YPM 136759; intact),1
skeleton (injured left leg); wing; tissue frozen,1
"skin, mounted (standing, summer plumage)",1
skeleton (discarded),1
"egg (1 broken, all stained)",1
egg (9: intact),1
egg (parasitized by Molothrus ater YPM 136682 intact),1
egg (3?: fragments),1
egg (parasitized by Molothrus ater YPM 142353),1
egg (host: Dendroica pensylvanica YPM 131571),1
egg (intact; parasitized by Molothrus ater YPM 145306),1
egg (parasitized by Molothrus ater YPM 142325),1
egg (parasitized by Molothrus ater YPM 142430),1
"egg (1 broken, 2 w/ large holes)",1
"egg (5: intact, dirty)",1
egg (host: Seiurus motacilla YPM 142324),1
egg (host: Geothlypis trichas YPM 142326),1
"skin, round (Exchanged to Biologic-Pedagogogic Institute, Tel Aviv, Israel iin 1955)",1
"skin, round (exchanged to U.SNM in 1963)",1
egg (2 intact eggs),1
nest (set not located),1
egg (1 repaired),1
"egg (intact, individual sets)",1
"egg (1, slight damage)",1
egg (2 broken; this set more rounded and paler than most),1
"tissue frozen (skin voucher inYPCC-6823 US National Museum of Natural History, Smithsonian;)",1
"tissue frozen (skin voucher inYPCC-6780 US National Museum of Natural History, Smithsonian;)",1
"tissue frozen (skin voucher inYPCC-6738 US National Museum of Natural History, Smithsonian;)",1
"tissue frozen (skin voucher inYPCC-6806 US National Museum of Natural History, Smithsonian;)",1
"tissue frozen (skin voucher inYPCC-6820 US National Museum of Natural History, Smithsonian;)",1
"tissue frozen (skin and wing voucher inYPCC-6792 US National Museum of Natural History, Smithsonian;)",1
"tissue frozen (skin and wing voucher inYPCC-6756 US National Museum of Natural History, Smithsonian;)",1
10% form.->70% alc. (Missing (14 Oct 2015)),1
tissue frozen (skeleton voucher at USNM (637430)),1
"tissue frozen (skin voucher inYPCC-6798 US National Museum of Natural History, Smithsonian;)",1
"tissue frozen (skin voucher inYPCC-6833 US National Museum of Natural History, Smithsonian;)",1
"skin, round (Exchanged to Biologic-Pedagogic Institute, Tel Aviv, Israel iin 19555)",1
"wing (associated skeleton voucher at State Darwin Museum in Moscow, Russia); tissue frozen; tissue frozen",1
nest (empty),1
skeleton (incomplete) (right tarsus & toes missing (amputated by zoo vet)); syrinx; tissue frozen,1
skeleton (incomplete); reproductive organs in formalin (Patricia Brennan research collection); tissue frozen; wing,1
"skin, round (Exchanged to UMMZ in 1976)",1
"skin, round (3)",1
10% form.->70% alc. (not found),1
BONE; INCOMPLETE; &,1
Bone; pes; ungual,1
"Other, feather; incomplete; 2; &",1
BONE; RIB VI; INCOMPLETE; RIGHT,1
Bone; tarsometarsus; proximal part; incomplete,1
Skull partial; incomplete; cranium,1
OTHER; EGG; COMPLETE; &,1
Bone; pes; phalanx; complete; cast,1
BONE; PES; TARSOMETATARSUS; DISTAL PART; INCOMPLETE; LEFT,1
Bone; femur; incomplete; left; &,1
Bone; pes; ungual; incomplete,1
Mandible partial; incomplete; distal part,1
BONE; TIBIOTARSUS; COMPLETE;,1
BONE; FEMUR; COMPLETE,1
BONE; HUMERUS; PROXIMAL PART; COMPLETE; LEFT,1
Skull partial; premaxilla; incomplete,1
Bone; coracoid; posterior part; right,1
right proximal ulna,1
proximal right carpometacarpus,1
proximal end of femur,1
partial phalange (manus),1
distal end humerus,1
distal tibiotarsus (left),1
"SKEL+STUDY | TWO TUBES- MUSCLE, KIDNEY, OVARY",1
SKEL+WING | ONE TISSUE,1
"SKEL+STUDY+WING | TUBE: PECTORAL, LIVER, HEART",1
STUDY+SKEL+W | TWO TUBES,1
STUDY | TWO TISSUES,1
"SKEL+STUDY+WING | TWO TUBES; MUSCLE, LIVER, HEART",1
"SKEL | TWO TUBES, MUSCLE & HEART ONLY",1
"PREMAX, 1 BROKEN HUMERUS -- GROUSE?",1
13 POSTCRANIAL ELEMENTS,1
"DISTAL L TIBIOTARSUS, STERNUM FRAG",1
DISTAL END TIBIOTARSUS,1
PARTIAL L SCAPULA,1
5 HUMERUS; 2 CORACOID; CARPOMETACARPUS; RADIUS; ULNA,1
27 NON-DIAGNOSTIC OR INCOMPLETE ELEMENTS,1
2 L TIBIOTARSUS; 1 R TIBIOTARSUS,1
skin; (2 wings only),1
"Skin (With separate wing), Toe pad sample (With separate wing), Toe pad sample (With separate wing)",1
Skeleton (Partial skeleton) (Partial skeleton) (Partial skeleton),1
"Tissue (DMSO/EDTA Buffer / No Medium) (DMSO/EDTA Buffer / No Medium), Fluid, Syrinx, Skeleton",1
"Skin (Head only) (Head only), Skin sample (Head only), Skin sample",1
Skin (Head and neck only) (Head and neck only),1
"Skin (Head, foot & quills only) (Head, foot & quills only) (Head, foot & quills only), Skin sample, Skin sample",1
"Skeleton, Fluid, Tissue, Muscle, Tissue, Muscle, Fluid",1
"Tissue, Liver, muscle, Liver, muscle, Skin (Schmoo), Liver, muscle, Skin (Schmoo), Skeleton, Skeleton",1
"Skin (Schmoo), Skeleton, Skeleton (Schmoo), Tissue, Heart, liver, muscle (Schmoo), Tissue, Heart, liver, muscle",1
"Skeleton, Skin (Schmoo), Skin (Schmoo), Tissue, Heart, liver, muscle, liver parasite, Tissue, Heart, liver, muscle, liver parasite",1
"Skin, Tissue, Heart, liver, muscle, Skeleton (Partial skeleton), Tissue, Heart, liver, muscle, Skeleton (Partial skeleton)",1
"Tissue, Liver, muscle, Liver, muscle, Skeleton, Skeleton, Liver, muscle",1
"Skin (Spread wing), Skeleton (Spread wing), Tissue, Skeleton (Spread wing), Tissue",1
"Skin, Tissue, Heart, liver, muscle (Ethanol)",1
"Skeleton, Tissue, Heart, liver, muscle, Skin (Wing only), Skin (Wing only), Tissue, Heart, liver, muscle",1
"Skin, Tissue, Heart, liver, muscle, Tissue, Heart, liver, muscle, Skeleton, Skeleton",1
"Skin (Schmoo), Skeleton, Tissue, Liver, muscle (Schmoo), Skeleton, Tissue, Liver, muscle (Schmoo)",1
Sternum + pectoral girdle (damaged),1
Tibio-tarsus + tarso-metatarsus,1
Phalanges,1
Femora + vertebrae,1
Sternum + shoulder girdle (incomplete),1
--/Skel(1981 0429),1
Left wing,1
"SKELETON PARTIAL; PES, LEFT; RIGHT; COMPLETE",1
SKELETON PARTIAL; RADIUS; ULNA; MANUS; LEFT,1
skin; heart (frozen); muscle (frozen); liver (frozen),1
unknown; liver (frozen); heart (frozen),1
skin; heart (frozen); heart (frozen),1
skin; tissue (frozen) sample; liver (frozen),1
heart (frozen); heart (frozen); heart (frozen) sample,1
skull; skeleton; liver (frozen),1
"skin, study; liver; muscle (frozen); skeleton",1
"skin, flat; heart, kidney, liver, muscle (frozen); liver (frozen); liver (frozen)",1
"skin, study; tissue (95% ethanol); skeleton",1
tissue (frozen); stomach content (95% ethanol); skin (frozen); eye (frozen),1
"skull; skull sample; skeleton, postcranial",1
"skull; skull sample; tissue (frozen); skeleton, postcranial",1
skin; tissue (frozen); muscle (frozen),1
skin; tissue (frozen); tissue (frozen) sample; tissue (frozen) sample; blood (slide smear); stomach content (95% ethanol); skeleton,1
"skin; stomach; heart, liver, muscle (frozen)",1
skin; muscle (RNAlater); blood (slide smear),1
"skin; skeleton, partial; blood (slide smear); heart, liver, muscle (frozen); tissue (RNAlater)",1
"skin; blood (flash-frozen); heart, liver, muscle (frozen); muscle (RNAlater); blood (slide smear); muscle (RNAlater) sample",1
"blood (frozen); tissue (RNAlater); heart, liver, muscle (frozen); heart, liver, muscle (frozen) sample; heart, liver, muscle (frozen) sample",1
tissue (RNAlater); blood (slide smear); blood (flash-frozen); tissue (flash-frozen),1
"skin; blood (flash-frozen); muscle (RNAlater); heart, liver, muscle (frozen); muscle (RNAlater); blood (slide smear); muscle (RNAlater) sample",1
"blood (slide smear); liver, muscle (frozen); muscle (RNAlater); skeleton, partial; lung (frozen); blood (flash-frozen); heart",1
"skin; heart; liver, muscle (frozen); muscle (RNAlater); skeleton, partial",1
"skin; heart, liver, muscle (frozen); blood (slide smear); brain (frozen); muscle (RNAlater); blood (flash-frozen)",1
"skin; skeleton, partial; muscle (RNAlater); eye (frozen); heart, liver, muscle (frozen) sample",1
"muscle (RNAlater); blood (flash-frozen); heart, liver, muscle (frozen); blood (slide smear); muscle (RNAlater) sample",1
"skin; skeleton, partial; muscle (RNAlater); blood (slide smear); heart, liver, muscle (frozen); heart, liver, muscle (frozen) sample",1
"muscle (RNAlater); eye (frozen); heart, liver, muscle (frozen); heart, liver, muscle (frozen) sample",1
"skeleton, partial; heart, liver, muscle (frozen); lung (frozen); heart; muscle (RNAlater)",1
"blood (slide smear); skeleton, partial; muscle (RNAlater); heart, liver, muscle (frozen); heart, liver, muscle (frozen) sample",1
"skeleton, partial; blood (frozen); tissue (RNAlater); heart, liver, muscle (frozen)",1
"skin; liver, muscle (frozen); skeleton, partial; blood (slide smear); lung (frozen); tissue (RNAlater); blood (frozen); heart; lung (frozen) sample",1
"skin; muscle (frozen); heart, liver, muscle (frozen); liver; spleen (frozen); ectoparasite (95% ethanol); skeleton",1
"tissue (frozen); tissue (frozen) sample; blood (slide smear); stomach (95% ethanol); skin, flat; skeleton",1
"skin; stomach (95% ethanol); heart, liver, muscle (frozen); spleen (frozen); blood (slide smear); muscle (frozen); skeleton",1
skin; ectoparasite (95% ethanol); muscle (frozen); skeleton,1
skin; stomach; ectoparasite (95% ethanol); blood (slide smear); tissue (95% ethanol); skeleton; tissue (95% ethanol) sample,1
"skin; tissue (frozen); stomach (ethanol); heart, liver, muscle (frozen); ectoparasite (95% ethanol); heart, liver, muscle (frozen) sample",1
skin; tissue (frozen); tissue (frozen) sample; skeleton; stomach content,1
"skin; endoparasite (95% ethanol); heart, liver, muscle (frozen); skeleton",1
"skin; heart, liver, muscle (frozen); eye (frozen); stomach content (95% ethanol); heart, liver, muscle (frozen) sample",1
"skin; blood (slide smear); heart, liver, muscle (frozen); blood (frozen); blood (frozen) sample; heart, liver, muscle (frozen) sample",1
skin; skeleton; stomach content; tissue,1
"skin, study; stomach (95% ethanol); skeleton; heart, liver, muscle (frozen)",1
"skeleton; skin, study; heart, liver, muscle (frozen); wing, spread (dry); ectoparasite (95% ethanol)",1
"skin; tissue (frozen); wing, spread (dry); stomach content (95% ethanol); skeleton",1
"endoparasite (ethanol); skin, study",1
"skin, study; skeleton; muscle (frozen); heart (frozen)",1
skull; feather; muscle (frozen),1
"skin, study; skeleton, postcranial; heart, kidney (frozen); liver (frozen)",1
"feather; skeleton; muscle (frozen); heart, kidney (frozen)",1
"skin, study; heart (frozen); skeleton; endoparasite (ethanol); liver (frozen); muscle (frozen); kidney (frozen)",1
"skeleton; endoparasite (ethanol); muscle (frozen); heart, kidney (frozen); liver (frozen)",1
liver (frozen); heart (frozen); endoparasite (ethanol); kidney (frozen); skeleton; skeleton; muscle (frozen),1
"liver (frozen); heart, kidney (frozen); skin, study; skeleton; muscle (frozen)",1
feather; skeleton; muscle (frozen); kidney (frozen); liver (frozen); heart (frozen),1
"heart, kidney (frozen); skin, study",1
"wing; skeleton; endoparasite (ethanol); heart, kidney (frozen); muscle (frozen); liver (frozen)",1
"skin, study; skeleton; muscle (frozen); heart, kidney, liver (frozen); liver (frozen)",1
"heart, kidney, liver, muscle (frozen); skin, study; skeleton, postcranial",1
"liver (frozen); stomach content (ethanol); muscle (frozen); heart, kidney (frozen)",1
"skin, study; heart, kidney (frozen); liver (frozen); skeleton, postcranial; muscle (frozen)",1
heart (frozen); feather; skeleton; muscle (frozen),1
liver (frozen); heart (frozen); muscle (frozen); kidney (frozen); skeleton; wing (dry); feather,1
"skeleton, partial; wing (dry); muscle (frozen); liver (frozen); heart (frozen)",1
"skin, study; heart, liver (frozen); skeleton",1
"skeleton, postcranial; muscle (frozen); kidney (frozen); heart (frozen); skin, study; liver (frozen)",1
liver (frozen); heart (frozen); muscle (frozen); endoparasite (ethanol); skeleton,1
"skin, study; skeleton, postcranial; ectoparasite (ethanol); liver (frozen); heart, kidney (frozen); muscle (frozen)",1
"skin, study; skeleton, postcranial; liver (frozen); heart (frozen)",1
"skin, study; skeleton, postcranial; heart (frozen); liver (frozen); muscle (frozen)",1
"heart, kidney (frozen); liver (frozen); skeleton, postcranial; skin, study",1
"skeleton; liver (frozen); feather; muscle (frozen); wing; heart, kidney (frozen)",1
wing; heart (frozen); skeleton; liver (frozen); muscle (frozen); kidney (frozen),1
liver (frozen); heart (frozen); feather; kidney (frozen); skeleton,1
"ectoparasite (ethanol); liver (frozen); heart (frozen); skin, study; skeleton, postcranial; muscle (frozen)",1
"liver (frozen); muscle (frozen); whole organism (frozen); heart, kidney (frozen)",1
"tissue; heart, kidney, liver (frozen)",1
skeleton; heart (frozen); kidney (frozen); muscle (frozen); liver (frozen),1
"heart, kidney (frozen); liver (frozen); skin, study; muscle (frozen); skeleton",1
liver (frozen); heart (frozen); muscle (frozen); kidney (frozen); skeleton; wing; ectoparasite (ethanol),1
"ectoparasite (ethanol); kidney (frozen); skeleton, postcranial; skin, study; liver (frozen); muscle (frozen); heart (frozen)",1
liver (frozen); muscle (frozen); wing (dry); heart (frozen),1
"liver (frozen); heart (frozen); kidney (frozen); endoparasite (ethanol); muscle (frozen); skin, study",1
"muscle (frozen); heart (frozen); skin, study; liver (frozen); skeleton; kidney (frozen)",1
skin; wing; skeleton,1
1 PROXIMAL R HUMERUS; 3 PROXIMAL L HUMERI; 2 L TARSOMETATARSUS; 2 R TARSOMETATARSUS; R CARPOMETACARPUS; 3 L CARPOMETACARPUS; 15 OTHER POSTCRANIAL ELEMENTS,1
PROXIMAL HUMERUS; 4 PARTIAL CORACOIDS,1
PARTIAL L HUMERUS; 3 L CARPOMETACARPUS; DISTAL L TARSOMETATARSUS,1
PROXIMAL L HUMERUS; PARTIAL L CORACOID; SYNSACRUM FRAG,1
"L CARPOMETACARPUS, DISTAL L TARSOMETATARSUS",1
Skin [+ Trunk Skeleton ?],1
10 Eggs,1
Skull + Neck Vertebrae,1
Skin + 1 Wing + Skeleton,1
Skin + Limb Bones,1
Tail only,1
Head + Wing,1
2 spread wings and 2 dried feet only,1
paleo: tracheal bulla,1
flat skin + skeleton,1
paleo: phalanx minor digit,1
paleo: hyoid,1
paleo: manual? phalanx fragment,1
maxilla fragment,1
3 eggshell pieces,1
eggshell fragment,1
paleo: manual phalanx (?),1
12 rib fragments,1
rib? fragment,1
misc: rehydrated stomach only,1
"paleo: 3 carpmetacarpus, 2 whole, 1 fragment",1
spread wing (see Comments),1
paleo: 29 bone fragments,1
paleo: 2 feathers,1
paleo: metatarsal,1
paleo: 1 quadrate,1
complete skel *;* Peter Pyle wants PIX,1
part skels (3 individuals),1
+ skel @,1
"""misc: dried tongue and """"gizzard""""""",1
alcholic head,1
"paleo: femur, tibiotarsus and fibula fragments in matrix",1
part skel (skul & scleric ring only),1
misc: 8 regurg. pellets,1
"TARSOMETATARSUS, LACKING PROXIMAL END",1
jaw,1
30 POSTCRANIAL ELEMENTS,1
PARTIAL L HUMERUS; PARTIAL R HUMERUS,1
Lower mandible + tongue + gular pouch (in spirit),1
Mould of humerus,1
Skull with jaw +  sternum + shoulder-girdle,1
Axis,1
"skin; wing; frozen: liver, heart, kidney",1
skin; frozen: heart; muscle,1
"Skin, Skin salted in the field and remade, Y",1
"Skel, October 1945., Y",1
"Skin, washed in Dreft and Stodsol and remade on 2 Jan 1962 by Ford, Norman L, Y",1
"Skel partial, Y; Skin, Y; Tissue, U; Genbank, Y",1
"Skin, 14 Feb 1952, Y",1
"Skin, Washed in Dreft and made up 18 Aug 1952, Y",1
"Skin, Aug 1954, Y",1
"Skin, Exch; Fluid, Exch",1
"Skin, testes preserved, Y",1
"Skin, 24 June 1952 , Y",1
"Skin, Nov 1951, Y",1
"Skin, skinned by Stuart, stuffed by Ford, Y; Skel, Y; Skin/toe clip, N",1
"Skin, 29 Feb 1952 - O. Owre, Y",1
"Skin, 11 May 1951, Y",1
"Skin, Y; Image, Y; Feather, Y",1
"Skel, endoparasites collected, Y",1
"Skin, Y; Tissue, Y; Wings_tail, Y; Skel, Y",1
"Skin, 09/1952, Y",1
"Skin, stomach contents saved, Y",1
"Skin, 20 Dec 1956, Y",1
"Skin, 27 Nov 1956, Y",1
"Skel, data taken, Y",1
"Skin, Ys",1
"Skel, parasites collected, Y",1
"Skin, 1 Aug '52, Y",1
"Skin, relaxed and made up , Y",1
"Skin, March 1951, RWS, Y",1
"Feather, U; Tissue, U; Syrinx, Y; Skin, Y; Skel, Y",1
"Tissue, U; Syrinx, Y; Feather, U; Skin, Y; Genbank, Y; Genbank, Y; Genbank, Y; Skel, Y",1
"Syrinx, Y; Tissue, U; Fluid, Y",1
"Nest, Y; Eggset, Y; Tissue, Y",1
"Syrinx, Y; Tissue; Skin, Y",1
"Skin, Relaxed, scraped, washed in dreft. Soaked in Stodsol. 25 April 1950 RWS, Y",1
"Syrinx, Y; Skel, Y; Tissue, Y; Skin, Y",1
"Skin, ectoparasites collected C. T. Collins, Y",1
"Skin, Label by T. D. Hinshaw, Y",1
"Skin, Y; Tissue, Y; Genbank, Y; Genbank, Y; Genbank, Y; Genbank, Y; Genbank, Y; Genbank, Y; Genbank, Y; Genbank, Y; Genbank, Y; Genbank, Y; Genbank, Y; Genbank, Y; Genbank, Y; Genbank, Y; Genbank, Y",1
"Syrinx, Y; Flat_skin, Y; Tissue, Y; Skel, Y; Fluid, Y",1
"Skin, Relaxed and remade 12 Oct 1955, Y",1
"Tissue, Y; Syrinx, Y; Skel, Y; Skin, Y",1
"Skin, prep by Nik Ford, Y",1
"Skin, March 14 1982, Y",1
"Skin/toe clip, N; Feather, N; Skin, Y",1
"Eggset, Y; Flat_skin, Y; Skel, Y; Fluid, Y",1
"Fluid, viscera examined for parasites; stomach and contents preserved separately, Y; Tissue, N",1
"Skel, stomach and contents preserved separately, Y",1
"Tissue, Y; Skel",1
"Wings_tail, Y; Skel, Y; Flat_skin, Y",1
"Flat_skin, Exch; Skel, Exch; Syrinx, Exch",1
"Skel, Y; Wings_tail, Y; Tissue, Y; Flat_skin, Y",1
"Skel, Y; Wings_tail, Y; Tissue, Y",1
"Skel, stomach contents [saved as?] USNMFS 35689, Y",1
"Wings_tail, Y; Flat_skin, Y; Skel, Y",1
"Skel, Y; Tissue, U; Skin, Y",1
"Skin, washed in Dreft and Stodsol and made up Oct 26, Y",1
"Skin, downy feathers on belly lost when washed, Y",1
"Skin, Mar 1948, Y",1
vísceres (alcohol etílic 96º),1
"fetge, teixit muscular (alcohol etílic 96º)",1
esquelet desarticulat (congelat),1
"tissue (frozen); gonad (ethanol); syrinx (ethanol); skin, study; stomach content (ethanol)",1
tissue (RNAlater); blood (slide smear); blood (RNAlater); tissue (RNAlater); tissue (RNAlater); tissue (RNAlater); tissue (RNAlater),1
"tissue (RNAlater); tissue (RNAlater); blood (RNAlater); tissue (RNAlater); skin, study; tissue (RNAlater); tissue (RNAlater); blood (slide smear)",1
blood (slide smear); tissue (RNAlater); tissue (RNAlater); tissue (RNAlater); blood (RNAlater); tissue (RNAlater); tissue (RNAlater),1
"tissue (frozen); crop content (dry); skin, study",1
"skin, study; tissue (RNAlater); tissue (RNAlater); tissue (RNAlater); tissue (RNAlater); tissue (RNAlater)",1
"blood (Queen Lysis buffer); tissue (RNAlater); tissue (RNAlater); tissue (RNAlater); skin, study",1
skeleton; tissue (RNAlater); tissue (RNAlater),1
tissue (frozen); tissue (RNAlater); ectoparasite (70% ethanol),1
"blood (Queen Lysis buffer); tissue (frozen); tissue (RNAlater); tissue (RNAlater); skin, study",1
"tissue (frozen); tongue (70% ethanol); skin, study; syrinx (70% ethanol)",1
"tissue (frozen); skin, body; stomach content (70% ethanol); skeleton",1
"tissue (frozen); heart; skin, study",1
"tissue (frozen); ovary (70% ethanol); syrinx (70% ethanol); skin, study",1
"tissue (frozen); stomach plus crop (70% ethanol); syrinx (70% ethanol); skin, study",1
tissue (ethanol),1
"tissue (frozen); blood (slide smear); cloacal swab (RNAlater); skin, study; tissue (RNAlater); tissue (RNAlater)",1
tissue (frozen); tissue (frozen); skeleton; wing; stomach plus stomach content (95% ethanol); nasal flush (95% ethanol); syrinx (70% ethanol),1
"tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); endoparasite (95% ethanol); syrinx (70% ethanol); skeleton, postcranial; skin, study",1
"tissue (frozen); skeleton, postcranial",1
"skin, flat; skeleton; skeleton sample",1
tissue (frozen); skeleton; wing; tissue (ethanol),1
