verbatimPreparations	standardPreparations	standard	checked
Element: Scapula, Portion: Caudal Border, Side: L		0	0
Element: Scapula, Portion: Distal 1/2, Side: L		0	0
Element: Scapula, Portion: Distal 1/2, Side: R		0	0
Element: Scapula, Portion: Distal 1/3, Side: L		0	0
Element: Scapula, Portion: Distal 1/3, Side: L, Modifications: Cutmarks		0	0
Element: Scapula, Portion: Distal 1/3, Side: R		0	0
Element: Scapula, Portion: Distal 1/4, Side: ?		0	0
Element: Scapula, Portion: Distal 1/4, Side: L		0	0
Element: Scapula, Portion: Distal 1/4, Side: R		0	0
Element: Scapula, Portion: Distal 1/8, Side: R		0	0
Element: Scapula, Portion: Distal 2/3, Side: R		0	0
Element: Scapula, Portion: Fragment		0	0
Element: Scapula, Portion: Glenoid Fossa, Side: R		0	0
Element: Scapula, Portion: Medial Fragment, Side: L		0	0
Element: Scapula, Portion: Medial Fragment, Side: R		0	0
Element: Scapula, Portion: Nearly Whole, Side: L		0	0
Element: Scapula, Portion: Nearly Whole, Side: R		0	0
Element: Scapula, Portion: Neumatic Foramen, Side: L		0	0
Element: Scapula, Portion: Spine Fragment, Side: L		0	0
Element: Scapula/Precoracoid		0	0
Element: Scapula/Precoracoid, ElementURI: UBERON:0006849; UBERON:0011246, Portion: Fragment		0	0
Element: Scapula/Precoracoid, ElementURI: UBERON:0006849; UBERON:0011246, Portion: Fragment, Side: ?		0	0
Element: Scapula/Precoracoid, ElementURI: UBERON:0006849; UBERON:0011246, Portion: Nearly Whole, Side: R		0	0
Element: Scapula/Precoracoid, Portion: Fragment		0	0
Element: Scapula/Precoracoid, Portion: Fragment, Side: ?		0	0
Element: Scapula/Precoracoid, Portion: Nearly Whole, Side: R		0	0
Element: Scapula?, ElementURI: UBERON:0006849, Portion: Glenoid Fossa?, Side: L?		0	0
Element: Scapula?, Portion: Glenoid Fossa?, Side: L?		0	0
Element: Sesamoid, ElementURI: UBERON:0001479, Portion: Whole		0	0
Element: Sesamoid, ElementURI: UBERON:0001479, Portion: Whole, Burned Notes: Burned black, Burned Notes: Burned black		0	0
Element: Sesamoid, ElementURI: UBERON:0001479, Portion: Whole, Burned specimen count: 1		0	0
Element: Sesamoid, ElementURI: UBERON:0001479, Portion: Whole, Burned specimen count: 1, Burned Notes: Burned black		0	0
Element: Spine, ElementURI: UBERON:0001130, Portion: Fragment		0	0
Element: Spine, Portion: Fragment		0	0
Element: Spinous/Transverse Process, ElementURI: UBERON:0001077, Portion: Fragment		0	0
Element: Spinous/Transverse Process, Portion: Fragment		0	0
Element: Synsacral Vertebrae, ElementURI: UBERON:0007805, Portion: Nearly Whole		0	0
Element: Synscaral Vertebrae, Portion: Nearly Whole		0	0
Element: Tarsometarsus		0	0
Element: Tarsometarsus, ElementURI: UBERON:0008195, Portion: Diaphysis		0	0
Element: Tarsometarsus, ElementURI: UBERON:0008195, Portion: Shaft Fragment		0	0
Element: Tarsometarsus, ElementURI: UBERON:0008195, Portion: Shaft Fragment, Modifications: Shaped, Burned specimen count: 1, Burned Notes: Burned blue-gray		0	0
Element: Tarsometarsus, ElementURI: UBERON:0008195, Portion: Shaft Fragment, Modified specimen count: 1, Modifications: Shaped, Burned Notes: Burned blue-gray, Burned Notes: Burned blue-gray		0	0
Element: Tarsometarsus, ElementURI: UBERON:0008195, Portion: Spur, Side: R		0	0
Element: Tarsometarsus, Portion: Diaphysis		0	0
Element: Tarsometarsus, Portion: Shaft Fragment		0	0
Element: Tarsometarsus, Portion: Spur, Side: R		0	0
Element: Thoracic Vertebra #1, ElementURI: UBERON:0004626, Portion: Body Fragment		0	0
Element: Thoracic Vertebra #1, ElementURI: UBERON:0004626, Portion: Body Fragment, Fused specimen count: 0		0	0
Element: Thoracic Vertebra #1, ElementURI: UBERON:0004626, Portion: Body Fragment, Fused specimen count: No		0	0
Element: Thoracic Vertebra #1, ElementURI: UBERON:0004626, Portion: Body Fragment, Fused: No		0	0
Element: Thoracic Vertebra #1, ElementURI: UBERON:0004626, Portion: Centrum		0	0
Element: Thoracic Vertebra #1, ElementURI: UBERON:0004626, Portion: Nearly Whole		0	0
Element: Thoracic Vertebra #1, ElementURI: UBERON:0004626, Portion: Nearly Whole, Fused specimen count: 0		0	0
Element: Thoracic Vertebra #1, ElementURI: UBERON:0004626, Portion: Nearly Whole, Fused specimen count: No		0	0
Element: Thoracic Vertebra #1, ElementURI: UBERON:0004626, Portion: Nearly Whole, Fused: No		0	0
Element: Thoracic Vertebra #1, Portion: Body Fragment		0	0
Element: Thoracic Vertebra #1, Portion: Centrum		0	0
Element: Thoracic Vertebra #1, Portion: Nearly Whole		0	0
Element: Thoracic Vertebra, ElementURI: UBERON:0002347, Portion: Body		0	0
Element: Thoracic Vertebra, ElementURI: UBERON:0002347, Portion: Centrum		0	0
Element: Thoracic Vertebra, ElementURI: UBERON:0002347, Portion: Centrum Epiphysis		0	0
Element: Thoracic Vertebra, ElementURI: UBERON:0002347, Portion: Fragment		0	0
Element: Thoracic Vertebra, ElementURI: UBERON:0002347, Portion: Nearly Whole		0	0
Element: Thoracic Vertebra, ElementURI: UBERON:0002347, Portion: Nearly Whole, Fused specimen count: 0		0	0
Element: Thoracic Vertebra, ElementURI: UBERON:0002347, Portion: Nearly Whole, Fused specimen count: No		0	0
Element: Thoracic Vertebra, ElementURI: UBERON:0002347, Portion: Nearly Whole, Fused: No		0	0
Element: Thoracic Vertebra, ElementURI: UBERON:0002347, Portion: Spinous Process		0	0
Element: Thoracic Vertebra, Portion: Body		0	0
Element: Thoracic Vertebra, Portion: Centrum		0	0
Element: Thoracic Vertebra, Portion: Centrum Epiphysis		0	0
Element: Thoracic Vertebra, Portion: Fragment		0	0
Element: Thoracic Vertebra, Portion: Nearly Whole		0	0
Element: Thoracic Vertebra, Portion: Spinous Process		0	0
Element: Thoracic/Precaudal Vertebra		0	0
Element: Thoracic/Precaudal Vertebra, ElementURI: UBERON:0002347; UBERON:0011677, Portion: Nearly Whole		0	0
Element: Thoracic/Precaudal Vertebra, Portion: Nearly Whole		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Cochlea, Side: L, Burned Notes: Burned blue/gray, almost Calcined in some places, Burned Notes: Burned blue/gray, almost Calcined in some places		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Cochlea, Side: L, Burned specimen count: 1, Burned Notes: Burned blue/gray, almost Calcined in some places		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Cranial Margin, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Crest, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/2, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/2, Side: L, Modifications: Cutmarks		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/2, Side: L, Modified specimen count: 1, Modifications: Cutmarks		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/3, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/3, Side: R		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/3, Side: R, Modifications: cutmarks		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/3, Side: R, Modifications: Cutmarks?		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/3, Side: R, Modified specimen count: 1, Modifications: cutmarks		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/3, Side: R, Modified specimen count: 1, Modifications: Cutmarks?		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/4 (shaft), Side: R, Modifications: Cutmarks?		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/4 (shaft), Side: R, Modified specimen count: 1, Modifications: Cutmarks?		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/4, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/4, Side: L, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/4, Side: L, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/4, Side: L, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/4, Side: L, Modifications: Cutmarks?		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/4, Side: L, Modified specimen count: 1, Modifications: Cutmarks?		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/4, Side: R		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/4, Side: R, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/4, Side: R, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/4, Side: R, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/8, Side: ?		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/8, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/8, Side: L, Burned Notes: Looks like there is some partial burning on the medial maleus, Burned Notes: Looks like there is some partial burning on the medial maleus		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/8, Side: L, Burned specimen count: 1, Burned Notes: Looks like there is some partial burning on the medial maleus		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/8, Side: L, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/8, Side: L, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/8, Side: L, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/8, Side: R		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/8, Side: R, Burned Notes: Calcined, Burned Notes: Calcined		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/8, Side: R, Burned specimen count: 1		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 1/8, Side: R, Burned specimen count: 1, Burned Notes: Calcined		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal 2/3, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal Epiphysis, Side: R, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal Epiphysis, Side: R, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Distal Epiphysis, Side: R, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Lateral Condyle Fragment, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Lateral Face, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Medial Face, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Medial Face, Side: R, Modifications: Cutmarks		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Medial Face, Side: R, Modified specimen count: 1, Modifications: Cutmarks		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Muscular Line		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Nutrient Foramen, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Nutrient Foramen, Side: R		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Popiteal Line, Side: R		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Popliteal Line, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Popliteal Line, Side: R		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/2, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/3 Caudal Face, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/3, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/3, Side: R		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/3, Side: R, Fused specimen count: ?		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/3, Side: R, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/3, Side: R, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/3, Side: R, Fused specimen count: Unclear		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/3, Side: R, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/3, Side: R, Fused: Unclear		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4 Lat/Caudal Face, Side: L, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4 Lat/Caudal Face, Side: L, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4 Lat/Caudal Face, Side: L, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: L, Fused specimen count: ?		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: L, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: L, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: L, Fused specimen count: Unclear		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: L, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: L, Fused: Unclear		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: L, Modifications: cutmarks		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: L, Modified specimen count: 1, Modifications: cutmarks		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: R		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: R, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: R, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: R, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: R, Modifications: Cutmarks		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/4, Side: R, Modified specimen count: 1, Modifications: Cutmarks		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/8, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/8, Side: L, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/8, Side: L, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/8, Side: L, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/8, Side: R, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/8, Side: R, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal 1/8, Side: R, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Epiphysis, Side: ?, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Epiphysis, Side: ?, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Epiphysis, Side: ?, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Epiphysis, Side: L, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Epiphysis, Side: L, Fused specimen count: 0, Fused Notes: Not fused		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Epiphysis, Side: L, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Epiphysis, Side: L, Fused specimen count: No, Fused Notes: Not fused		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Epiphysis, Side: L, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Epiphysis, Side: L, Fused: No, Fused Notes: Not fused		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Epiphysis, Side: R, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Epiphysis, Side: R, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Epiphysis, Side: R, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Fragment, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Fragment, Side: R, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Fragment, Side: R, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Proximal Fragment, Side: R, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Shaft Fragment		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Shaft Fragment, Side: ?, Modifications: Cutmarks?		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Shaft Fragment, Side: ?, Modified specimen count: 1, Modifications: Cutmarks?		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Shaft Fragment, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Shaft Fragment, Side: L, Modifications: Cutmarks		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Shaft Fragment, Side: L, Modified specimen count: 1, Modifications: Cutmarks		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Shaft Fragment, Side: L?		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Shaft Fragment, Side: R		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Shaft Fragment, Side: R, Burned Notes: Burned black, Burned Notes: Burned black		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Shaft Fragment, Side: R, Burned specimen count: 1, Burned Notes: Burned black		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Shaft Fragment, Side: R, Fused specimen count: 0		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Shaft Fragment, Side: R, Fused specimen count: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Shaft Fragment, Side: R, Fused: No		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Tibial Tuberosity, Side: ?		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Tibial Tuberosity, Side: L		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Tibial Tuberosity, Side: R, Fused specimen count: ?		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Tibial Tuberosity, Side: R, Fused specimen count: Unclear		0	0
Element: Tibia, ElementURI: UBERON:0000979, Portion: Tibial Tuberosity, Side: R, Fused: Unclear		0	0
Element: Tibia, Portion: Cranial Margin, Side: L		0	0
Element: Tibia, Portion: Crest, Side: L		0	0
Element: Tibia, Portion: Distal 1/2, Side: L		0	0
Element: Tibia, Portion: Distal 1/2, Side: L, Modifications: Cutmarks		0	0
Element: Tibia, Portion: Distal 1/3, Side: L		0	0
Element: Tibia, Portion: Distal 1/3, Side: R		0	0
Element: Tibia, Portion: Distal 1/3, Side: R, Modifications: cutmarks		0	0
Element: Tibia, Portion: Distal 1/3, Side: R, Modifications: Cutmarks?		0	0
Element: Tibia, Portion: Distal 1/4 (shaft), Side: R, Modifications: Cutmarks?		0	0
Element: Tibia, Portion: Distal 1/4, Side: L		0	0
Element: Tibia, Portion: Distal 1/4, Side: L, Modifications: Cutmarks?		0	0
Element: Tibia, Portion: Distal 1/4, Side: R		0	0
Element: Tibia, Portion: Distal 1/8, Side: ?		0	0
Element: Tibia, Portion: Distal 1/8, Side: L		0	0
Element: Tibia, Portion: Distal 1/8, Side: R		0	0
Element: Tibia, Portion: Distal 2/3, Side: L		0	0
Element: Tibia, Portion: Distal Epiphysis, Side: R		0	0
Element: Tibia, Portion: Lateral Condyle Fragment, Side: L		0	0
Element: Tibia, Portion: Lateral Face, Side: L		0	0
Element: Tibia, Portion: Medial Face, Side: L		0	0
Element: Tibia, Portion: Medial Face, Side: R, Modifications: Cutmarks		0	0
Element: Tibia, Portion: Muscular Line		0	0
Element: Tibia, Portion: Nutrient Foramen, Side: L		0	0
Element: Tibia, Portion: Nutrient Foramen, Side: R		0	0
Element: Tibia, Portion: Popiteal Line, Side: R		0	0
Element: Tibia, Portion: Popliteal Line, Side: L		0	0
Element: Tibia, Portion: Popliteal Line, Side: R		0	0
Element: Tibia, Portion: Proximal 1/2, Side: L		0	0
Element: Tibia, Portion: Proximal 1/3 Caudal Face, Side: L		0	0
Element: Tibia, Portion: Proximal 1/3, Side: L		0	0
Element: Tibia, Portion: Proximal 1/3, Side: R		0	0
Element: Tibia, Portion: Proximal 1/3, Side: R, Fused: ?		0	0
Element: Tibia, Portion: Proximal 1/4 Lat/Caudal Face, Side: L		0	0
Element: Tibia, Portion: Proximal 1/4, Side: L		0	0
Element: Tibia, Portion: Proximal 1/4, Side: L, Fused: ?		0	0
Element: Tibia, Portion: Proximal 1/4, Side: L, Modifications: cutmarks		0	0
Element: Tibia, Portion: Proximal 1/4, Side: R		0	0
Element: Tibia, Portion: Proximal 1/4, Side: R, Modifications: Cutmarks		0	0
Element: Tibia, Portion: Proximal 1/8, Side: L		0	0
Element: Tibia, Portion: Proximal 1/8, Side: R		0	0
Element: Tibia, Portion: Proximal Epiphysis, Side: ?		0	0
Element: Tibia, Portion: Proximal Epiphysis, Side: L		0	0
Element: Tibia, Portion: Proximal Epiphysis, Side: L, Fused Notes: Not fused		0	0
Element: Tibia, Portion: Proximal Epiphysis, Side: R		0	0
Element: Tibia, Portion: Proximal Fragment, Side: L		0	0
Element: Tibia, Portion: Proximal Fragment, Side: R		0	0
Element: Tibia, Portion: Shaft Fragment		0	0
Element: Tibia, Portion: Shaft Fragment, Side: ?, Modifications: Cutmarks?		0	0
Element: Tibia, Portion: Shaft Fragment, Side: L		0	0
Element: Tibia, Portion: Shaft Fragment, Side: L, Modifications: Cutmarks		0	0
Element: Tibia, Portion: Shaft Fragment, Side: L?		0	0
Element: Tibia, Portion: Shaft Fragment, Side: R		0	0
Element: Tibia, Portion: Tibial Tuberosity, Side: ?		0	0
Element: Tibia, Portion: Tibial Tuberosity, Side: L		0	0
Element: Tibia, Portion: Tibial Tuberosity, Side: R, Fused: ?		0	0
Element: Tibia?, ElementURI: UBERON:0000979, Portion: Fragment		0	0
Element: Tibia?, Portion: Fragment		0	0
Element: Tibiotarsus		0	0
Element: Tibiotarsus, ElementURI: UBERON:0008194, Portion: Hypotarsal Ridge, Side: R?		0	0
Element: Tibiotarsus, ElementURI: UBERON:0008194, Portion: Proximal 1/2, Side: R, Fused specimen count: 0, Fused Notes: Less than a year, but older than 3 months		0	0
Element: Tibiotarsus, ElementURI: UBERON:0008194, Portion: Proximal 1/2, Side: R, Fused specimen count: No, Fused Notes: Less than a year, but older than 3 months		0	0
Element: Tibiotarsus, ElementURI: UBERON:0008194, Portion: Proximal 1/2, Side: R, Fused: No, Fused Notes: Less than a year, but older than 3 months		0	0
Element: Tibiotarsus, ElementURI: UBERON:0008194, Portion: Shaft Fragment, Side: L		0	0
Element: Tibiotarsus, Portion: Hypotarsal Ridge, Side: R?		0	0
Element: Tibiotarsus, Portion: Proximal 1/2, Side: R, Fused Notes: Less than a year, but older than 3 months		0	0
Element: Tibiotarsus, Portion: Shaft Fragment, Side: L		0	0
Element: Tooth		0	0
Element: Tooth, ElementURI: UBERON:0001091, Portion: Crown		0	0
Element: Tooth, ElementURI: UBERON:0001091, Portion: Crown Fragment		0	0
Element: Tooth, ElementURI: UBERON:0001091, Portion: Fragment		0	0
Element: Tooth, ElementURI: UBERON:0001091, Portion: Root Fragment		0	0
Element: Tooth, ElementURI: UBERON:0001091, Portion: Root, Burned Notes: Calcined, Burned Notes: Calcined		0	0
Element: Tooth, ElementURI: UBERON:0001091, Portion: Root, Burned specimen count: 1, Burned Notes: Calcined		0	0
Element: Tooth, ElementURI: UBERON:0001091, Portion: Whole		0	0
Element: Tooth, Portion: Crown		0	0
Element: Tooth, Portion: Crown Fragment		0	0
Element: Tooth, Portion: Fragment		0	0
Element: Tooth, Portion: Root Fragment		0	0
Element: Tooth, Portion: Whole		0	0
Element: UID Bone		0	0
Element: UID Bone , Portion: Fragment		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned Notes: 1 Calcined, Burned Notes: 1 Calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned Notes: 3 Calcined, Burned Notes: 3 Calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned Notes: 4 Calcined, Burned Notes: 4 Calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned Notes: 7 Calcined, Burned Notes: 7 Calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned Notes: Almost all are Calcined, Burned Notes: Almost all are Calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned Notes: Almost Calcined, Burned Notes: Almost Calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned Notes: Burned blue, Burned Notes: Burned blue		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned Notes: Burned gray/blue, Burned Notes: Burned gray/blue		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned Notes: Calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned Notes: Calcined, Burned Notes: Calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned Notes: Majority are calcined, Burned Notes: Majority are calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned Notes: Majority of these are Calcined, Burned Notes: Majority of these are Calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned Notes: Many are calcined, Burned Notes: Many are calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned Notes: Mostly Calcined or close to it, Burned Notes: Mostly Calcined or close to it		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned specimen count: 1		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned specimen count: 1, Burned Notes: Almost Calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned specimen count: 1, Burned Notes: Burned blue		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned specimen count: 1, Burned Notes: Calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned specimen count: 10		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned specimen count: 10, Burned Notes: 3 Calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned specimen count: 10, Burned Notes: Almost all are Calcined		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned specimen count: 10, Burned Notes: Mostly Calcined or close to it		0	0
Element: UID Bone, ElementURI: UBERON:0001474, Portion: Fragment, Burned specimen count: 11, Burned Notes: Calcined		0	0
