verbatimSex	standardSex	standard	checked
♂ young	male	0	1
♂?	in question	0	1
♂? Adult	in question	0	1
0		0	1
0?	unknown	0	1
06-Mar-21	unknown	0	1
07-Oct-26	unknown	0	1
09-Mar-32	unknown	0	1
1	unknown	0	1
1 F, 1 M	female | male	0	1
1 F, 2 M	female | male	0	1
1 F, 3 M	female | male	0	1
1 F, 4 M	female | male	0	1
1 female	female	0	1
1 FEMALE,	female	0	1
1 hemipene, throat white, scales		0	1
1 M,1 F subad, 21 U	female | male	0	1
1 Male	male	0	1
1 Male, 1 Female	female | male	0	1
10 females, 64 males	female | male	0	1
11	unknown	0	1
11 F, 1 M	female | male	0	1
13	unknown	0	1
1360		0	1
152	unknown	0	1
154	unknown	0	1
157	unknown	0	1
16 F, 10 M	female | male	0	1
16 year old female	female	0	1
162	unknown	0	1
166	unknown	0	1
17.5	unknown	0	1
170	unknown	0	1
171	unknown	0	1
173	unknown	0	1
174	unknown	0	1
175	unknown	0	1
176	unknown	0	1
177	unknown	0	1
180	unknown	0	1
184	unknown	0	1
186	unknown	0	1
19-Mar-21	unknown	0	1
1st Year Female	female	0	1
1st Year Male	male	0	1
2	unknown	0	1
2 F, 1 juv	female | unknown	0	1
2 F, 1 M	female | male	0	1
2 F, 2 M	female | male	0	1
2 F, 2 U	female | unknown	0	1
2 female	female	0	1
2 Female, 1 Male	female | male	0	1
2 M, 1 F	female | male	0	1
2 Male	male	0	1
2 Males	male	0	1
2 Males, 2 Females	female | male	0	1
2 Nestlings		0	1
2 Nestlings [Sex ?]	in question	0	1
223	unknown	0	1
227	unknown	0	1
239	unknown	0	1
249	unknown	0	1
263.5	unknown	0	1
274	unknown	0	1
298	unknown	0	1
2F	female	0	1
2nd Year Male	male	0	1
3	unknown	0	1
3 exx.		0	1
3 F, 1 M	female | male	0	1
3 F, 3 M	female | male	0	1
3 Males, Female	female | male	0	1
3207 111/95/iv	unknown	0	1
335	unknown	0	1
340	unknown	0	1
348	unknown	0	1
36010	unknown	0	1
361	unknown	0	1
4		0	1
4 F, 1 M	female | male	0	1
4 F, 2 M	female | male	0	1
4 FEMALE,	female	0	1
46		0	1
47		0	1
48		0	1
5		0	1
5 F, 1 M	female | male	0	1
58	unknown	0	1
5M,2F	female | male	0	1
6	unknown	0	1
6f	female	0	1
7		0	1
7 FEMALE,	female	0	1
7M,6F	female | male	0	1
9+ years old		0	1
A	unknown	0	1
A M	male	0	1
A: FEMALE	female	0	1
ad	unknown	0	1
ad sex ?	in question	0	1
AD. ?	in question	0	1
AD. ? FEMALE	in question	0	1
AD. ? MALE	in question	0	1
AD. FEMALE (LIKELY)	female	0	1
AD. MALE?	in question	0	1
AD.?	in question	0	1
AD.? FEMALE	in question	0	1
AD.? MALE	in question	0	1
AD?	in question	0	1
ADM	unknown	0	1
adult		0	1
Adult (Dry shell)		0	1
Adult [Female ?]	in question	0	1
Adult [Female?]	in question	0	1
Adult [Female]	female	0	1
Adult [Male ?]	in question	0	1
Adult [Male?]	in question	0	1
Adult [Sex ?]	in question	0	1
Adult + [Juvenile]	unknown	0	1
Adult F	female	0	1
adult female	female	0	1
Adult Female (by size)	female	0	1
Adult Female (gravid)	female	0	1
Adult Female [= a Male]	female	0	1
Adult Female w/ 12 eggs (eegs lo	female	0	1
Adult Female, 240-208-80-17	female	0	1
Adult Female, 29.9 g, Skin clip 	female	0	1
Adult Female, 521g, SVL 1120 mm,	female	0	1
Adult Female, gravid	female	0	1
Adult Female, laid 4 eggs 25-26 	female	0	1
Adult Female, liver tissue taken	female	0	1
Adult female, SVL 179 mm, tail 2	female	0	1
Adult Female, SVL 182 mm, Tail 3	female	0	1
Adult Female, SVL 600 mm, tail 1	female	0	1
Adult Female, SVL 673mm, Tail 18	female	0	1
Adult Female, Tissue-liver sampl	female	0	1
Adult Male	male	0	1
Adult Male [= a Female]	in question	0	1
Adult Male [Female ?]	in question	0	1
Adult Male by plumage	male	0	1
adult male(?), gonad shot	male	0	1
Adult Male,  SVL 1020 mm, tail 9	male	0	1
Adult Male, Liver tissue taken	male	0	1
Adult Male, Lver tissue taken	male	0	1
Adult Male, SVL 1453 mm, Tail 51	male	0	1
Adult Male, SVL 163 mm, Tail 32.	male	0	1
Adult Male, SVL 210 mm, tail 259	male	0	1
Adult Male, SVL 560 mm, tail 290	male	0	1
Adult Male, SVL 71 mm	male	0	1
Adult Male, Tissue at LSU	male	0	1
Adult Male, tissue-liver sample 	male	0	1
Adult Male, Tissue-scale clips	male	0	1
Adult Male, total length (visual	male	0	1
Adult SVL 312mm,Tail 144mm		0	1
Adult tail clip tissue		0	1
Adult tail tissue clip		0	1
Adult with tail clip tissue		0	1
Adult with tissue		0	1
Adult,  SVL 216 mm, tail 20 mm, 		0	1
Adult,  SVL 235 mm, tail 30 mm, 		0	1
Adult, 361 mm SVL, Tail 67 mm, 1		0	1
Adult, 43 cm TL		0	1
Adult, 64 cm total length		0	1
Adult, black phase		0	1
Adult, ca 65 cm total length		0	1
Adult, cereberus		0	1
Adult, female?	female	0	1
Adult, female? (short tail; did 	female	0	1
Adult, liver tissue		0	1
Adult, Liver Tissue taken		0	1
Adult, skin clip tissue taken		0	1
Adult, SVL 235 mm		0	1
Adult, SVL 237mm, Tail 41 mm		0	1
Adult, SVL 265 mm, Tail 58 mm		0	1
Adult, SVL 63 mm, Tail 58 mm		0	1
Adult, SVL 633 mm, Tail 102.0 mm		0	1
Adult, tail tissue taken		0	1
Adult, tissue (tail) taken		0	1
Adult, Tissue at LSU		0	1
Adult, Tissue liver sample		0	1
Adult, Tissue- scale clip		0	1
Adult, Tissue scale clips		0	1
Adult, tissue taken from left le		0	1
Adult, tissue taken from right l		0	1
Adult, Tissue-liver		0	1
Adult, Tissue-liver sample		0	1
Adult, Tissue-liver sample taken		0	1
Adult, Tissue-scale clips		0	1
Adult,Liver tissue taken		0	1
adult/female	female	0	1
Adults + Nestlings		0	1
AHY MALE	male	0	1
AHY-M	male	0	1
ALC.	unknown	0	1
Amplexing with UAZ50272		0	1
Amplexing with UAZ50273		0	1
aOR at 0933 hrs, accidentally hi		0	1
AOR at 1705 hrs, accidentally hi		0	1
Apr	unknown	0	1
Banded		0	1
belly mottled; throat dark; narr		0	1
belly mottled; throat salt and p		0	1
bicolored dewlap dark orange bas		0	1
bicolored dewlap-dark orange bas		0	1
black throat		0	1
Black throat with white spots		0	1
BLANK	unknown	0	1
blue belly and throat		0	1
Body with slightly more green th		0	1
Born 7/18/1971 to UAZ34319		0	1
Born 7/19/1971 from UAZ34328		0	1
both	hermaphrodite	0	1
breeding adult female	female	0	1
broad orange line mid-dorsal; th		0	1
brown in life		0	1
Brown nuptial pads, throat yello		0	1
brown nuptial pads, yellow throa		0	1
captive for ca 1 year		0	1
cat. says M, label says M; mount	male	0	1
Chick		0	1
chick 3-6 days		0	1
Cochise		0	1
could not determine	indeterminable	0	1
D	unknown	0	1
dark phase		0	1
desconegut	unknown	0	1
determine	unknown	0	1
dewlap bicolor-darl orange basal		0	1
dewlap tricolored dark orange ba		0	1
died in container		0	1
Discarded		0	1
Dissect	unknown	0	1
dorsum olive with scattered brow		0	1
downy	unknown	0	1
Downy Young [Sex ?]	in question	0	1
EGG		0	1
Egg masses		0	1
Eggs		0	1
EMB 1 emb. 18mm	female	0	1
Embryo		0	1
ETOH tissue sample taken		0	1
F	female	0	1
F-	female	0	1
F  [=M]	unknown	0	1
F  [F struck through]	female	0	1
F  Adult	female	0	1
F  Age 5 yrs.	female	0	1
F  juvenile	female	0	1
F !	female	0	1
F & 2 juv.	female	0	1
F (? M)	in question	0	1
F (?)	in question	0	1
F (=?)	in question	0	1
F (=M)	unknown	0	1
F (1st year)	female	0	1
F (by dissection)	female	0	1
f (by plumage)	female	0	1
F (cat. lists as F juv.)	female	0	1
F (cat. says none, looks like F)	female	0	1
F (cataloged M)	female	0	1
F (dark)	female	0	1
F (flacid)	female	0	1
F (full dev. eggs)	female	0	1
f (gran)	female	0	1
f (Gran.)	female	0	1
F (HY)	female	0	1
F (LF 15x8)	female	0	1
F (LF=0.7)	female	0	1
F (light)	female	0	1
F (M ?)	in question	0	1
F (M juv.)	unknown	0	1
F (M)	unknown	0	1
f (mp)	female	0	1
f (no emb)	female	0	1
F (originally cataloged as F)	female	0	1
F (OSE)	female	0	1
F (Perf)	female	0	1
F (probably)	female	0	1
F (with curved line resting on t	female	0	1
F )?)	in question	0	1
F *	female	0	1
F ?	in question	0	1
F ? (M ?)	in question	0	1
F ? (M J)	in question	0	1
F ? (M)	in question	0	1
F ? [=F]	in question	0	1
F ? [=M]	in question	0	1
F ? [M]	in question	0	1
F ? ARP	in question	0	1
F ? IMM	in question	0	1
F ? JUV	in question	0	1
F ? M	in question	0	1
F ? or M?	in question	0	1
F ??	in question	0	1
F ?[=M]	in question	0	1
F [!]	female	0	1
F [?]	in question	0	1
F [= M]	unknown	0	1
F [=almost sure M]	male	0	1
F [=M ?]	in question	0	1
F [=M?]	in question	0	1
F [=M]	unknown	0	1
'F' [=M]	unknown	0	1
F [01710 cataloged as M, 35517 a	female	0	1
F [F M]	unknown	0	1
F [F]	female	0	1
F [illeg.]	female	0	1
F [illeg]	female	0	1
f [juvenile]	female	0	1
F [likely a M]	male	0	1
F [M ?]	in question	0	1
F [M listed on tag]	female	0	1
F [M!]	unknown	0	1
F [M?]	in question	0	1
F [M]	unknown	0	1
'F' [M]	unknown	0	1
F [M] ?	in question	0	1
F [M] CHECK	female	0	1
F [M]!	unknown	0	1
F [M=]	unknown	0	1
F [perhaps M ?]	in question	0	1
F [Sign not very legible]	female	0	1
F [sure=M]	male	0	1
F +	female	0	1
F ++	female	0	1
F =	female	0	1
F = [M Juv.]?	in question	0	1
F = [M]	unknown	0	1
F = M	unknown	0	1
F =[M]	unknown	0	1
F =M ?	in question	0	1
F 10 days old	female	0	1
F 1971HY	female	0	1
F 1976 HY	female	0	1
F 1977HY	female	0	1
F 1979HY	female	0	1
F 1980 HY	female	0	1
F 1980HY	female	0	1
F 1981 HY	female	0	1
F 1981HY	female	0	1
F 1st year	female	0	1
F 1st yr.	female	0	1
F 1st yr. HY	female	0	1
F 3 yrs.	female	0	1
F 5 yr.	female	0	1
F 6 days old	female	0	1
F 6 yrs.	female	0	1
F 74HY	female	0	1
F AD	female	0	1
F Ad.	female	0	1
F Adu.	female	0	1
F adult	female	0	1
F Age 3 yrs.	female	0	1
F age 31 days	female	0	1
F Age 7 yrs.	female	0	1
F Age 8 yrs.	female	0	1
F age 9 yrs.	female	0	1
F AHY	female	0	1
F br	female	0	1
F br.	female	0	1
F by diseection	female	0	1
F by dissection	female	0	1
F -class Ia-b	female	0	1
F F	female	0	1
F hatched about 1 June, 1979	female	0	1
F IMM	female	0	1
F imm.	female	0	1
F Imm. YY	female	0	1
F immature	female	0	1
F JUV	female	0	1
F JUV.	female	0	1
F juv. winter phase	female	0	1
F juv.nestl	female	0	1
F JUV?	in question	0	1
F juvenile	female	0	1
F M	female | male	0	1
F M ?	in question	0	1
F mate of #358	female	0	1
F nestling	female	0	1
f no emb	female	0	1
f no Pl. Sc.	female	0	1
F o.n.e.	female	0	1
F o.s.e.	female	0	1
F or (M juv)	unknown	0	1
F OR IMM	unknown	0	1
F OR JUV	unknown	0	1
F or M	unknown	0	1
F or M juv	unknown	0	1
F partial imm.	female	0	1
F pregnant	female	0	1
F prob.	female	0	1
F S.Ad.	female	0	1
F subad.	female	0	1
F subadult	female	0	1
F with eggs	female	0	1
f	female	0	1
Ffemale	female	0	1
Fmalefemale	female | male	0	1
F!	female	0	1
F! [M]	unknown	0	1
F(?)	in question	0	1
f(?), adult	in question	0	1
F(?)/sub-adult	female	0	1
F(?)M	in question	0	1
F(?M juv)	in question	0	1
F(?M)	in question	0	1
F(a M im - L.F)	unknown	0	1
f(by Plumage)	female	0	1
F(HY)	female	0	1
F(M juv.)	unknown	0	1
F(M)	unknown	0	1
F(M?)	in question	0	1
F*	female	0	1
F, "juv"	female	0	1
F, 1st year	female	0	1
f, adult	female	0	1
F, ägg	female	0	1
F, by dissection	female	0	1
F, imm.	female	0	1
f, immature	female	0	1
f, juvenile	female	0	1
F, M, U	female | male | unknown	0	1
F, NESTLING	female	0	1
F, prob.	female	0	1
F, U	female | unknown	0	1
F.	female	0	1
f. adult	female	0	1
F.female	female	0	1
F/(yearling)	female	0	1
F/08 days old	female	0	1
F/1 day old	female	0	1
F/10 days	female	0	1
F/10 days old	female	0	1
F/13 days	female	0	1
F/14 days old	female	0	1
F/17 months	female	0	1
F/19 months	female	0	1
F/2 days	female	0	1
F/2 years	female	0	1
F/20 days	female	0	1
F/21 days	female	0	1
F/25 days	female	0	1
F/3 days old	female	0	1
F/30 days	female	0	1
F/4 yrs.GON=3.5x1.8	female	0	1
F/40 days	female	0	1
F/41 days	female	0	1
F/42 days old	female	0	1
F/6 days	female	0	1
F/6 years	female	0	1
F/8 days old	female	0	1
F/8 years	female	0	1
F/86 days	female	0	1
F/9 days old	female	0	1
F/AD	female	0	1
F/adult	female	0	1
F/class Ia	female	0	1
F/first year	female	0	1
F/FLEDGLING	female	0	1
F/HY	female	0	1
F/IMM	female	0	1
F/imm.	female	0	1
F/imm.GON=16.1x5.2	female	0	1
F/immature	female	0	1
F/J	female	0	1
F/JUV	female	0	1
F/juv.	female	0	1
F/juvenile	female	0	1
F/M	unknown	0	1
F/NA	female	0	1
F/NESTLING	female	0	1
F/yearling	female	0	1
F/ylg.	female	0	1
F/yrlg.	female	0	1
F; confirmed by dissection	female	0	1
F; imm.	female	0	1
F?	in question	0	1
F-?	in question	0	1
F? M juv	in question	0	1
F? M? [M]		0	1
F?(M juv)	in question	0	1
F?(M)	in question	0	1
F?)	in question	0	1
F?*	in question	0	1
F?, imm.	female	0	1
F?, juv	in question	0	1
F?/AD	in question	0	1
F?/FLEDGLING	in question	0	1
F?/IMM	in question	0	1
F??	in question	0	1
F?[=M]	in question	0	1
F?[M]	in question	0	1
F?adult-short tusks	female	0	1
F?M	in question	0	1
F[* with ? below *]	in question	0	1
F[?]	in question	0	1
F-[?](See Remarks)	in question	0	1
F[?]*	in question	0	1
F[=M ad]	unknown	0	1
F[=M?]	in question	0	1
F[=M]	unknown	0	1
'F'[=M]	unknown	0	1
F[almost surely a M from size]	male	0	1
F[illeg]	female	0	1
F[M ?]	in question	0	1
F[M juv.]	unknown	0	1
F[M juv]	unknown	0	1
F[M?]	in question	0	1
F[M]	unknown	0	1
F[M]?!	in question	0	1
F]	female	0	1
F`	female	0	1
F~	female	0	1
F~ JUV	female	0	1
F+	female	0	1
F4	female	0	1
Fall Male	male	0	1
Fby dissection	female	0	1
F'CHICK'	female	0	1
FD	female	0	1
FELMALE	female	0	1
FEMAL	female	0	1
FEMALAE	female	0	1
female	female	1	1
Female - ?	female	0	1
Female - Adult	female	0	1
Female - HY	female	0	1
Female - S.Ad.	female	0	1
female (? - see note)/male (? - 	in question	0	1
Female (?)	in question	0	1
female (?, see note)	female	0	1
female (1 day old)	female	0	1
female (2yrs)	female	0	1
female (3 days old)	female	0	1
Female (A.R. Phillips)	female	0	1
female (believed to be)	female	0	1
female (but see notes)	female	0	1
female (by gonads)	female	0	1
Female (by gonads))	female	0	1
female (by plumage)	female	0	1
female (fide Sclater 1888, Cat. 	female	0	1
female (fide Sclater, 1888, Cat.	female	0	1
female (HY)	female	0	1
female (identified later as)	female	0	1
female (imm.)	female	0	1
female (immature)	female	0	1
female (imp.)	female	0	1
female (in register)	female	0	1
female (juv.)	female	0	1
female (juv?)	female	0	1
female (juvenile)	female	0	1
female (lac.)	female	0	1
female (lact)	female	0	1
female (later identified as)	female	0	1
Female (LF=1.8)	female	0	1
Female (LF=3.9)	female	0	1
Female (likely)	female	0	1
female (M)	unknown	0	1
female (male, on label)	female	0	1
female ('may be')	female	0	1
female ('not breeding' on label)	female	0	1
female (on label)	female	0	1
female (on label)/male (in text)	female	0	1
female (on plumage)	female	0	1
female (or immature)	female	0	1
female (preg.)	female	0	1
Female (probably)	female	0	1
female ('probably')	female	0	1
female (sa)	female	0	1
female (see note)	female	0	1
female (see notes)	female	0	1
female (sub-adult)	female	0	1
female (subsequently considered 	female	0	1
female (subsequently sexed as)	female	0	1
female , female	female	0	1
Female ?	in question	0	1
Female [?]	in question	0	1
Female [= Male ?]	in question	0	1
Female [Adult]	female	0	1
Female [Immature]	female	0	1
Female [Male ?]	in question	0	1
Female [Male?]	in question	0	1
Female [Male]	female | male	0	1
Female + Male + Nest	female | male	0	1
FEMALE 23	female	0	1
Female 42 mm SVL	female	0	1
Female adult	female	0	1
Female and 1 newborn	female	0	1
female and male	female | male	0	1
Female br.	female	0	1
Female by plumage	female	0	1
Female eggs N=11	female	0	1
Female eggs N=15	female	0	1
female female	female	0	1
female fledgling	female	0	1
Female full od well developed eg	female	0	1
Female gravid	female	0	1
Female neonate	female	0	1
Female No Emb-vascular	female	0	1
Female of pair	female	0	1
female or male?	in question	0	1
Female plumage. Sex ?	in question	0	1
Female subadult	female	0	1
FEMALE W/	female	0	1
Female w/ 11 embryos	female	0	1
Female w/ 3 eggs	female	0	1
Female w/ 4 eggs 7X12mm	female	0	1
Female w/ 8 eggs	female	0	1
Female with 3 eggs	female	0	1
Female with 6 eggs	female	0	1
Female with eggs	female	0	1
Female with embryos	female	0	1
Female with four eggs, liver tis	female	0	1
Female with six eggs	female	0	1
femalemale	female | male	0	1
femaleundet.	female | unknown	0	1
Female(?)	in question	0	1
female(imm)	female	0	1
female(s)-certain	in question	0	1
female(s)-uncertain	in question	0	1
female, 11 eggs removed	female	0	1
Female, 2 ova 13mm	female	0	1
Female, 2 ova 6mm no shell	female	0	1
Female, 3 eggs	female	0	1
Female, 4 eggs	female	0	1
Female, 4 large ova 4X5 mm	female	0	1
Female, 51 mm SVL	female	0	1
Female, 6 eggs	female	0	1
female, adult	female	0	1
Female, birth to 12 8/14-18/1989	female	0	1
Female, but has male plumage	female	0	1
Female, ca 70 cm total length	female	0	1
Female, coll gravid	female	0	1
Female, eggs laid 8-9 May 1979	female	0	1
Female, eggs N=8	female	0	1
Female, flaccid	female	0	1
Female, gave birth 08/19-19/1989	female	0	1
Female, gave birth 09/11-15/1989	female	0	1
female, granular	female	0	1
Female, gravid	female	0	1
Female, gravid w/ 42 eggs	female	0	1
female, imm	female	0	1
female, immature	female	0	1
female, immature?	female	0	1
Female, laid 27 eggs Aug 24, 198	female	0	1
female, male	female | male	1	1
Female, nest	female	0	1
Female, ova 5mm	female	0	1
Female, ova enlarged	female	0	1
Female, ova small	female	0	1
female, post-lactating	female	0	1
Female, scale tissue taken	female	0	1
Female, shed skin taken as tissu	female	0	1
Female, SVL 198 mm, Tail 24 mm	female	0	1
Female, SVL 33 mm, tail 31 mm	female	0	1
Female, with 10 large eggs	female	0	1
female.male	female | male	0	1
female.undet.	female | unknown	0	1
female/male	female | male	0	1
female/male (on label)	female | male	0	1
female; based on plumage	female	0	1
female?	in question	0	1
Female[illeg]	female	0	1
female-adult	female	0	1
Femalegave birth to 5 live, 2 st	female	0	1
female-granular	female	0	1
Female-Gravid	female	0	1
female-HY	female	0	1
female-imm.	female	0	1
female-juv	female	0	1
females	female	0	1
FEMAMLE	female	0	1
femella	female	0	1
femella | mascle	female | male	0	1
femenino	female	0	1
FF	female	0	1
FG	unknown	0	1
First Year Male	male	0	1
first year subadult		0	1
flat skin		0	1
Fledgling [Female ?]	in question	0	1
Fledgling [Sex ?]	in question	0	1
Fledgling Female	female	0	1
Fledgling Male	male	0	1
fledgling/unknown	unknown	0	1
fm		0	1
Fn.	female	0	1
F-not stated on tag	female	0	1
found dead at campsite		0	1
found DOR		0	1
FR	female	0	1
froglet		0	1
F's	female	0	1
G	unknown	0	1
