verbatimLifeStage	standardLifeStage	standard	checked
#21; eggshell fragment collected ca. 25 feet high		0	0
#27; whole egg collected that ha		0	0
#27; whole egg collected that had rolled out of ne		0	0
#28; whole egg; broken after col		0	0
#28; whole egg; broken after collection		0	0
#3, 6 Fresh, #4 Slight trace of 		0	0
#3, 6 Fresh, #4 Slight trace of blood, #2 Trace of		0	0
#3:Fresh, #2:Very Slight Trace Of Blood, #1:Slight		0	0
#3; eggshell fragments of two eg		0	0
#3; eggshell fragments of two eggs		0	0
#4:Fresh, #1,#6:Very Slight Trace Of Blood; #2,#5:		0	0
#5, fragments only, eggshell thi		0	0
#5, fragments only, eggshell thickness measured		0	0
#5; eggshell fragments collected		0	0
#5; eggshell fragments collected from 3 different 		0	0
#57 fragments only, eggshell thi		0	0
#57 fragments only, eggshell thickness measured		0	0
#6 Fresh, #4, 5 Slight trace of 		0	0
#6 Fresh, #4, 5 Slight trace of blood, #1,2,3 Trac		0	0
#6 Slight trace of blood, #3 Tra		0	0
#6 Slight trace of blood, #3 Trace of blood, #1,2,		0	0
#6; eggshell fragments collected		0	0
#6; eggshell fragments collected from one site		0	0
#60, fragments only, eggshell th		0	0
#60, fragments only, eggshell thickness measured		0	0
#61 fragments only, eggshell thi		0	0
#61 fragments only, eggshell thickness measured		0	0
#65, fragments only, eggshell th		0	0
#65, fragments only, eggshell thickness measured		0	0
#66, fragments only, eggshell th		0	0
#66, fragments only, eggshell thickness measured		0	0
#67 fragments only, eggshell thi		0	0
#67 fragments only, eggshell thickness measured		0	0
#7, fragments only, eggshell thi		0	0
#7, fragments only, eggshell thickness measured		0	0
#7; fragments from three sites w		0	0
#7; fragments from three sites within "Cave B"		0	0
#8 water checked		0	0
#8; eggshell fragments collected		0	0
#8; eggshell fragments collected from two sites wi		0	0
#84 fragments only, eggshell thi		0	0
#84 fragments only, eggshell thickness measured		0	0
#86 Hatched,#88 Hatched,#87 Died		0	0
#9 Addled, #10 Hatched		0	0
#9 fragments only, eggshell thic		0	0
#9 fragments only, eggshell thickness measured		0	0
#91, fragments only, eggshell th		0	0
#91, fragments only, eggshell thickness measured		0	0
#94, fragments only, 1 egg, eggs		0	0
#94, fragments only, 1 egg, eggshell thickness mea		0	0
#'s 1,2,4,5 and 6 small embryos,		0	0
#'s 1,2,4,5 and 6 small embryos, 3 fresh		0	0
#'s1,2,4 Showing blood, #3 fresh		0	0
(?)		0	0
(?)juv.		0	0
(1 broken) Fresh		0	0
(1 yr.)		0	0
(1) day old		0	0
(10) days		0	0
(10) days old		0	0
(11-12) days		0	0
(12) days old		0	0
(13) days old		0	0
(16) days old		0	0
(19) days old		0	0
(1st yr) Juv.		0	0
(2) 3 Days		0	0
(22) days old		0	0
(2-3 eggs full clutch)		0	0
(2-3 weeks incubation) Abandoned		0	0
(4-5 yrs old)		0	0
(48 hours old) yg.		0	0
(9) days old		0	0
(about) 1/3		0	0
(Ad ?)	adult	0	1
(ad)	adult	0	1
(Ad. ?)	adult	0	1
(Ad.)	adult	0	1
(Ad.?)	adult	0	1
(ad?)	adult	0	1
(breeding)	adult	0	1
(check mark)		0	1
(checkmark)		0	0
(chick)	chick	0	1
(Downy chick)		0	0
(F)		0	0
(Fh)		0	0
(Fh-) see card		0	0
(finally) Vble trace to s. embry		0	0
(finally) Vble trace to s. embryo		0	0
(FL)		0	0
(fledgling)		0	0
(Fresh) Brought to WFVZ in 1993		0	0
(gummy) one week		0	0
(Im ?)	immature	0	1
(im)	immature	0	1
(Im. ?)	immature	0	1
(im.)	immature	0	1
(im?)	immature	0	1
(imm)	immature	0	1
(imm.)	immature	0	1
(j?)	juvenile	0	1
(Jh)	juvenile	0	1
(juv)	juvenile	0	1
(juv)?		0	0
(Juv. ?)	juvenile	0	1
(Juv.)	juvenile	0	1
(juv.)?		0	0
(juv.?)		0	0
(juv?)	juvenile	0	1
(juvenal X 1st winter)	juvenile	0	1
(laying)	adult	0	1
(nestl.)	nestling	0	1
(nestling)	nestling	0	1
(newly hatched)		0	0
(over 2 days)		0	0
(S/1)		0	0
(see card)		0	1
(see original data card)		0	1
(sub?)adult		0	0
(subad)		0	0
(Subadult)		0	0
(Yg)		0	0
(Yg.)		0	0
(Young)		0	0
*	unknown	0	1
*[1st nupt. ?]		0	0
*[Juv.]		0	0
*fledgling		0	0
*juvenile		0	0
.	unknown	0	1
..		0	1
.0		0	0
.1		0	0
.1.		0	0
.15		0	0
.2		0	0
.2 (fertility = nil)		0	0
.25		0	0
.3		0	0
.4		0	0
.5		0	0
.6		0	0
.7		0	0
.8		0	0
/adykt		0	0
:130; EXT:200 mm.; age by plumag		0	0
:134; EXT:180mm.; age by plumage		0	0
:4&1/8"; EXT:7&3/8"; WCH:2&5/16"		0	0
:6&7/8in; EXT:11&7/8in; age by p		0	0
; OVIDUCT 3 MM WIDE, CONVOLUTED		0	0
?	unknown	0	1
-?	unknown	0	1
? - HY		0	1
? 1971HY		0	1
? 2nd yr.		0	1
? Adult	adult	0	1
? age 2 days		0	1
? age 6 days		0	1
? chick	chick	0	1
? chick 3 days old	chick	0	1
? chick, 3 days old	chick	0	1
? chick, almost fledged	chick	0	1
? Imm.	immature	0	1
? Juv.		0	0
? Juvenile		0	0
? Nest fell from a tree, probabl		0	0
? Nest fell from a tree, probably during storm		0	0
? Subad		0	0
? Young	young	0	1
?/5 days old		0	1
?/imm.	immature	0	1
?/juv.	juvenile	0	1
??	unknown	0	1
?Ad		0	0
?Adult		0	0
?im		0	0
?Juvenile		0	0
?Young		0	0
@ 8 days		0	0
[ breeding dress]		0	0
[ or Immature]		0	0
[(im?)]		0	0
[? M Juv.]		0	0
[?]		0	0
[?Immature]		0	0
[[illeg]i[illeg] ad]		0	0
[=Ad.]		0	0
[=Im.?]		0	0
[=M]		0	0
[1st nupt.]		0	0
[1st nupt.]*		0	0
[1st nupt]		0	0
[2 yrs]		0	0
[5-10]		0	0
[a[illeg]]		0	0
[Ad ?]		0	0
[ad or subad]		0	0
[ad)		0	0
[Ad. ?]		0	0
[Ad. Im]		0	0
[Ad.?]		0	0
[ad.]		0	0
[Ad.] "Juv."		0	0
[Ad.] ?		0	0
[Ad.]*		0	0
[ad?]		0	0
[Ad]		0	0
[ad]?		0	0
[Adult ?] [Female ?]	adult	0	1
[Adult ?] Female	adult	0	1
[Adult ?] Male	adult	0	1
[Adult Female ?]	adult	0	1
[Adult*]		0	0
[Adult, Summer]		0	0
[Adult, Winter]		0	0
[Adult]	adult	0	1
[Adult] + young		0	0
[Adult] Female	adult	0	1
[Adult]*		0	0
[aestiv.]		0	0
[Age ?] [Sex ?]	unknown	0	1
[Age ?] Male	unknown	0	1
[AHY]		0	0
[Albino]		0	0
[app. a dull Ad.]		0	0
[Autumn or Immature]		0	0
[Autumn]		0	0
[breeding dress]		0	0
[chick]		0	0
[dark phase]		0	0
[domestic]		0	0
[downy chick]		0	0
[downy young]		0	0
[Embryo]		0	0
[F]		0	0
[Female ?]		0	1
[First Winter]		0	0
[Fledgling]		0	0
[Foetus]		0	0
[head only]		0	0
[hepatic]		0	0
[HY]		0	0
[illeg]?		0	0
[im - ad]		0	0
[Im.		0	0
[Im. ?]		0	0
[Im. changing]		0	0
[Im. if M]		0	0
[Im.!]		0	0
[Im.?]		0	0
[Im.]		0	0
[Im.] by plumage		0	0
[Im.] Molting to Ad. ?		0	0
[Im.] or [Ad.]		0	0
[Im.]*		0	0
[im?]		0	0
[im]		0	0
[Imm J.T.Z}		0	0
[Imm. J.T.Z.]		0	0
[Imm.]		0	0
[Imm.] ?		0	0
[imm?]		0	0
[Imm]		0	0
[imm]?		0	0
[imm+]		0	0
[Immature ?] [Sex ?]	immature	0	1
[Immature ?] Female	immature	0	1
[Immature ?] Male	immature	0	1
[Immature Male ?]	immature	0	1
[Immature*]		0	0
[Immature, autumn]		0	0
[Immature, first plumage]		0	0
[Immature, hepatic]		0	0
[Immature, second plumage]		0	0
[Immature?]		0	0
[Immature]	immature	0	1
[Immature] *		0	0
[Immature] or [Off-season]		0	0
[Immature]*		0	0
[Judging by size]		0	0
[Juv.		0	0
[Juv. ?]		0	0
[juv. chick]		0	0
[juv.(chick)]		0	0
[Juv.?]*		0	0
[Juv.]		0	0
[Juv.] ?		0	0
[Juv.] [Ad.]		0	0
[Juv.]?		0	0
[Juv.}		0	0
[juv?]		0	0
[juv]		0	0
[juv] written below crossed-out 		0	0
[Juvenile ?] Female	juvenile	0	1
[Juvenile ?] Male	juvenile	0	1
[Juvenile]	juvenile	0	1
[Juvenile]?		0	0
[jv.]		0	0
[light phase]		0	0
[M]		0	0
[Male ?]		0	1
[molting im-ad]		0	0
[Nestling]		0	0
[off-season]		0	0
[or Immature]		0	0
[Part winter]		0	0
[partial breeding dress]		0	0
[Partial Immature]		0	0
[partial summer, faded]		0	0
[partial summer]		0	0
[partially feathered nestling]		0	0
[prob. Ad. ?]		0	0
[pullus] ?		0	0
[see eggs]		0	0
[Sex ?]		0	1
[spring]		0	0
[sub ad]		0	0
[sub.adult]		0	0
[subad]		0	0
[sub-ad]		0	0
[Subadult ?] Male	subadult	0	1
[Sub-adult Female ?]	subadult	0	1
[Subadult]		0	0
[Sub-adult]		0	0
[summer dress]		0	0
[Summer]		0	0
[Summer-winter]		0	0
[sure im.]		0	0
[ud]		0	0
[underlined ad]		0	0
[vix ad]		0	0
[winter -]		0	0
[winter dress]		0	0
[Winter or Immature]		0	0
[winter*]		0	0
[Winter,adult]		0	0
[Winter]		0	0
[Winter-summer]		0	0
[Yg.]		0	0
[yg]		0	0
[Young]		0	0
\		0	0
_		0	0
`		0	0
{½ Ad.]		0	0
{downy nestling}		0	0
{juv}		0	0
~ 12 days		0	0
~ 18 days		0	0
~ 20 days		0	0
~ 20 years		0	0
~ 3 mo.		0	0
~1 day		0	0
~10days, Originally Seen 12 July		0	0
~10days, Originally Seen 12 July 72		0	0
~12 days		0	0
~46 days old		0	0
+/- 1 year		0	0
+/- 11 mos.		0	0
+/- 4 days: forelimb buds and ey		0	0
+/- 4 days: forelimb buds and eye capsules startin		0	0
< 1 day		0	0
< 1 K		0	0
< 1 year		0	0
< 1 yr		0	0
< 1 yr old		0	0
< 1K		0	0
< 2 days		0	0
< 31 hours		0	0
< 9 months		0	0
<1 yr		0	0
<12 år		0	0
<1yr		0	0
<2 år		0	0
<3 år		0	0
<3 mån		0	0
<3.år		0	0
<4 år		0	0
> 2 yr		0	0
> 410 days		0	0
> 512 days		0	0
> 93 days		0	0
>= 3 K		0	0
>1 år		0	0
>10 years		0	0
>12 years		0	0
>2 år		0	0
>20 mån		0	0
>3 år		0	0
>3 mån		0	0
>4 år		0	0
>439 days		0	0
>6 mån		0	0
>7 år		0	0
>8 år		0	0
>90% pneumatized		0	0
± 7 days		0	0
± 8 days		0	0
✓		0	0
0		0	1
0 - (deserted)		0	0
0 - 0 - 0		0	0
0 - Fresh		0	0
0 [days]		0	0
0 0 0		0	0
0 0 0 0		0	0
0 0 0 b		0	0
0 0 b b b		0	0
0 0 b B e E E; bird on nest		0	0
0 chicks, 3 bad eggs #2		0	0
0 days		0	0
0 juv		0	0
0 to 1/3		0	0
0 to 4 days		0	0
0 to 5 days		0	0
0 to commenced		0	0
0 to well begun		0	0
0% ossified		0	0
0, unbef.		0	0
0.		0	0
0.0.t.b=0 to begun		0	0
0.4		0	0
0.5		0	0
0.5 mm embryo		0	0
0.6		0	0
0.8		0	0
0.t-b-B		0	0
0; egg taken from bird		0	0
0?		0	1
00		0	0
0-0-0		0	0
0000		0	0
0-0-0-0		0	0
0-0-0-0-0 (All fresh)		0	0
0-0-0-3		0	0
0-0-0-b-B-e		0	0
0-0-b		0	0
0-2e-5B-3E		0	0
0-3 Days		0	0
0-4 days		0	0
0-4 veckor		0	0
06may1947		0	0
0-b-b		0	0
0-b-b-I		0	0
½ Ad. 2nd yr.		0	0
½ Br.		0	0
½ Im.		0	0
½ Imm.		0	0
1		0	0
-1		0	0
1 - 1/3; 3 - 1/4		0	0
1 - 1/4; 1 - 1/3; 2 - 1/2		0	0
1 - fresh (had yolk); 7  - norma		0	0
1 - fresh, 1 - showing blood, 1 		0	0
1 - fresh, 1 - showing blood, 1 - small embryo		0	0
1 - no embryo; 2 - fledged		0	0
1 & 2 Showing Blood; 3 Fresh		0	0
1 & 2 yr.		0	0
1 & 2: large embryos; 4: inferti		0	0
1 & 2: large embryos; 4: infertile		0	0
1 (found outside of nest fresh) 		0	0
1 (found outside of nest fresh) 2 very slight		0	0
1 1 1 1		0	0
1- 1/2 inc, 2 soft embryos		0	0
1 30 day old male banded		0	0
1 4 days, 1 2 days, Black-billed		0	0
1 5 days, others less		0	0
1- 80%, 2 no signs of developmen		0	0
1- 80%, 2 no signs of development		0	0
1 about 1/3, 1 addled		0	0
1 about 1/3, 4 about 1/4		0	0
1 about 2/5 4 addled		0	0
1 about 5 days and 1 about 2 day		0	0
1 about 5 days and 1 about 2 days		0	0
1 about fresh, 3 incubated		0	0
1 ad + 2 juv		0	0
1 ad.	adult	0	1
1 added, 2 fresh, 2 showing bloo		0	0
1 added, 2 fresh, 2 showing blood		0	0
1 addled		0	0
1 addled - 1 started		0	0
1 addled 2 1/2		0	0
1 addled 2 advanced		0	0
1 addled 3 well started		0	0
1 addled and 1 hatched egg colle		0	0
1 addled and 1 hatched egg collected		0	0
1 addled and infertile egg		0	0
1 Addled Egg + 2(10 Day Old Chic		0	0
1 Addled Egg + 2(10 Day Old Chicks)		0	0
1 addled egg + 3 chicks within 1		0	0
1 addled egg + 3 chicks within 1 week of fledging		0	0
1 Addled Egg And 1 Fully Fledged		0	0
1 Addled Egg And 1 Fully Fledged Ch		0	0
1 addled egg and half a shell		0	0
1 addled egg of a 5 egg clutch		0	0
1 addled egg, 1 young 2.5 weeks 		0	0
1 addled egg, 1 young 2.5 weeks old		0	0
1 addled, 1 3/4 inc		0	0
1 addled, 1 begun		0	0
1 addled, 1 live bird		0	0
1 addled, 1 month-old juvenile b		0	0
1 addled, 10 days		0	0
1 addled, 2 about half		0	0
1 addled, 2 apparently freshly l		0	0
1 addled, 2 begun		0	0
1 addled, 2 feathered		0	0
1 addled, 2 fresh		0	0
1 addled, 2 hatched in lab		0	0
1 addled, 2 large embryos		0	0
1 addled, 2 well begun		0	0
1 addled, 2 young; infertile		0	0
1 addled, 3 feathered embryos		0	0
1 addled, 3 nearly over		0	0
1 addled, 3 over 1/2		0	0
1 addled, 3 w/ large embryos. Ad		0	0
1 addled, 3 w/ large embryos. Advanced incubation.		0	0
1 addled, 3 weeks		0	0
1 addled, 4 advanced		0	0
1 addled, 4 half		0	0
1 addled, 5 slight		0	0
1 addled, ready to hatch		0	0
1 addled, two highly incubated		0	0
1 addled; 1 about half		0	0
1 addled; 1 fresh; 1 with fair i		0	0
1 addled; 2 w/ large embryos		0	0
1 addled; 3 advanced		0	0
1 addled; 4 about 1 week		0	0
1 addled; 7 ready to hatch		0	0
1 adult		0	0
1 adult & 1 metamorphosing larva		0	0
1 adult (large)		0	0
1 adult (medium)		0	0
1 adult (small)		0	0
1 adult and 1 juvenile		0	0
1 adult female with eggs		0	0
1 ADULT FEMALE; 2 LAR		0	0
1 adult male, 1 juvenile		0	0
1 ADULT MALE; 1 LARVA		0	0
1 adult, 1 juv.(Sierra Nevada x 		0	0
1 adult, 1 juvenile		0	0
1 adult, 1 larva		0	0
1 adult, 1 near adult		0	0
1 adult, 2 juveniles		0	0
1 adult, 2 larvae		0	0
1 adult, 3 juveniles		0	0
1 adult, 3 subadults		0	0
1 adult, 4 juveniles		0	0
1 adult, 8 immature adults, 5 ju		0	0
1 ADULT; 18 JUVENILE		0	0
1 ADULT; 23 JUVENILE		0	0
1 ADULT; 29 JUVENILE		0	0
1 ADULT; 3 JUVENILE		0	0
1 ADULT; 8 JUVENILE		0	0
1 adult|6 eggs		0	0
1 adv., 3 infertile?		0	0
1 advancec; 1 addled		0	0
1 advanced 2 addled		0	0
1 advanced 2 infertile		0	0
1 Advanced, 1 Addled		0	0
1 advanced, 1 addled.		0	0
1 advanced, 1 infertile		0	0
1 Advanced, 2 addled		0	0
1 advanced, 2 commenced, 2 barel		0	0
1 advanced, 2 commenced, 2 barely commenced		0	0
1 advanced, 4 rotten		0	0
1 äggk.		0	0
1 and 2 days		0	0
1 and 2 infertile; 3,4,5 small e		0	0
1 and 2 infertile; 3,4,5 small embryos		0	0
1 and 2 medium embryos, 3 fresh		0	0
1 apparently fresh, 5 advanced		0	0
1 begun		0	0
1 begun; 1 fresh		0	0
1 begun; 1 infertile		0	0
1 blood - 1 fresh		0	0
1 blood, 1 bones		0	0
1 broken		0	0
1 broken egg + 2 young approx. 3		0	0
1 broken egg + 2 young approx. 3 weeks old.		0	0
1 broken, 1 egg, 3 very small yo		0	0
1 broken, 1 slight trace of bloo		0	0
1 chick & 1 egg in nest		0	0
1 chick & 2 eggs (1/2 had formed		0	0
1 chick & 2 eggs (1/2 had formed embryo)		0	0
1 chick (5wks) 2 eggs		0	0
1 chick + 1 egg		0	0
1 chick + 1 egg (oldest RTHA fem		0	0
1 chick + 1 egg (oldest RTHA female)		0	0
1 chick + 1 egg in nest		0	0
1 chick + 2 eggs		0	0
1 chick 1 egg		0	0
1 chick 2.5 weeks old + 1 egg		0	0
1 chick- 3 wk, 1 egg collected		0	0
1 chick 4-4.5 wks old in nest.		0	0
1 chick, 2 weeks old + 1 egg pip		0	0
1 chick, 2 weeks old + 1 egg pipped but deceased.		0	0
1 com- 3 fresh		0	0
1 Commenced 2 Fresh		0	0
1 commenced 2 weeks; 2 infertile		0	0
1 commenced; 1 infertele		0	0
1 con sangre- 5 frescos		0	0
1 cowbird egg showing blood, 3 i		0	0
1 cowbird fresh, 4 blackbird lar		0	0
1 day		0	0
1 day (deserted)		0	0
1 day (nest held 3 eggs May 20)		0	0
1 day complete June 9		0	0
1 day fresh		0	0
1 Day incubated		0	0
1 day Nest held 3 eggs May 19		0	0
1 day old	1 day old	0	1
1 day old; Downy chick		0	0
1 day, 2 eggs in nest on the 24t		0	0
1 day, a little blood		0	0
1 day. Nest held 3 eggs May 19		0	0
1 day-fresh (bird on)		0	0
1 day-heard singing Apr1, comple		0	0
1 day-heard singing Apr1, complete nest found 24 A		0	0
1 decomposing small embryo, 2 la		0	0
1 decomposing small embryo, 2 large embryos		0	0
1 died in lab		0	0
1 dry and old, 5 very far advanc		0	0
1 dry and old, 5 very far advanced		0	0
1 egg & 1 young 3 weeks old.		0	0
1 egg & 1 young 6.5 weeks		0	0
1 egg & 2 young 3.5 weeks old		0	0
1 egg (contained feathered embry		0	0
1 egg (contained feathered embryo) +2 3 weeks old 		0	0
1 egg +		0	0
1 egg + 1 chick		0	0
1 egg + 1 young		0	0
1 egg + 1 young 4 weeks old		0	0
1 egg + 1 young 4.5 weeks old		0	0
1 egg + 2 chicks		0	0
1 egg + 2 young		0	0
1 egg + 2 young 3.5 weeks		0	0
1 egg + 2 young 3.5-4 weeks old		0	0
1 egg + 2 young 4-4.5 weeks old		0	0
1 egg + 3 young		0	0
1 egg + 3 young, 2-2.5 weeks old		0	0
1 egg + 4 young 3 weeks old		0	0
1 egg + fragments		0	0
1 egg 5 days, 2 eggs infertile		0	0
1 egg 6 days. Others Fresh.		0	0
1 egg about 3/4 incubated, 1 egg		0	0
1 egg about 5 days; 1 fresh		0	0
1 egg addled; 1 egg large embryo		0	0
1 egg and 1 young; two weeks old		0	0
1 egg badly incubated		0	0
1 egg- box failed.  Was a clutch		0	0
1 egg- box failed.  Was a clutch of 8 eggs.		0	0
1 egg clear, 1 young		0	0
1 egg containing feathered embry		0	0
1 egg containing feathered embryo		0	0
1 egg containing feathered embryo + 1 chick 2.5 we		0	0
1 egg exactly 13 days, other app		0	0
