verbatimIdentificationQualifier	standardIdentificationQualifier	standard	checked
LJH magnolia sp.2	LJH magnolia sp.2	0	1
LJH n.sp.IIIa	LJH n.sp.IIIa	0	1
LJH n.sp.IV	LJH n.sp.IV	0	1
LJH n.sp.IVa	LJH n.sp.IVa	0	1
LJH n.sp.VII	LJH n.sp.VII	0	1
LJH n.sp.X	LJH n.sp.X	0	1
LJH n.sp.XIV	LJH n.sp.XIV	0	1
LJH n.sp.XIX	LJH n.sp.XIX	0	1
LJH n.sp.XV	LJH n.sp.XV	0	1
LJH n.sp.XVII	LJH n.sp.XVII	0	1
LJH n.sp.XVIII	LJH n.sp.XVIII	0	1
LJH n.sp.XX	LJH n.sp.XX	0	1
LJH n.sp.XXI	LJH n.sp.XXI	0	1
LJH n.sp.XXIX	LJH n.sp.XXIX	0	1
LJH n.sp.XXX	LJH n.sp.XXX	0	1
LJH n.sp.XXXI	LJH n.sp.XXXI	0	1
lutrensa X sp.	lutrensa X sp.	0	1
macrochirus X sp.	macrochirus X sp.	0	1
male		0	1
malthe x sp.	malthe x sp.	0	1
mauldinensis sp. nov.	mauldinensis sp. nov.	0	1
megalotis X sp.	megalotis X sp.	0	1
n sp.	sp. nov.	0	1
n sp. "L402"	sp. nov.	0	1
n. gen. n. sp.	n. gen. n. sp.	0	1
n. sp.	sp. nov.	0	1
n. sp. #1	sp. nov.	0	1
n. sp. #2	sp. nov.	0	1
n. sp. (cf. achirus)	sp. nov. (cf. achirus)	0	1
n. sp. (cf. fitzsimonsi)	sp. nov. (cf. fitzsimonsi)	0	1
n. sp. (cf. pusillus)	sp. nov. (cf. pusillus)	0	1
n. sp. (cf. regani)	sp. nov. (cf. regani)	0	1
n. sp. (cf. signifera)	sp. nov. (cf. signifera)	0	1
n. sp. (cf. theta)	sp. nov. (cf. theta)	0	1
n. sp. (ms)	sp. nov.	0	1
n. sp. (yucatana group)	sp. nov. (yucatana group)	0	1
n. sp. [blue-spotted]	sp. nov.	0	1
n. sp. “bimaculatus”	sp. nov.	0	1
n. sp. “Congo”	sp. nov.	0	1
n. sp. “negro/alto orinoco”	sp. nov.	0	1
n. sp. “Rufiji”	sp. nov.	0	1
n. sp. “tailspot”	sp. nov.	0	1
n. sp. 1		0	1
n. sp. 10	sp. nov.	0	1
n. sp. 2	sp. nov.	0	1
n. sp. 3	sp. nov.	0	1
n. sp. 4	n. sp. 4	0	1
n. sp. 5	n. sp. 5	0	1
n. sp. 6	sp. nov.	0	1
n. sp. 7	sp. nov.	0	1
n. sp. 8	sp. nov.	0	1
n. sp. a	sp. nov.	0	1
n. sp. b	sp. nov.	0	1
n. sp. B (short gland)	sp. nov.	0	1
n. sp. c	sp. nov.	0	1
n. sp. d	sp. nov.	0	1
n. sp. D of Klapper	n. sp. D of Klapper	0	1
n. sp. E of Klapper	n. sp. E of Klapper	0	1
n. sp. F of Klapper	n. sp. F of Klapper	0	1
n. sp. J	sp. nov.	0	1
n. sp. ms	sp. nov.	0	1
n. sp. Q	sp. nov.	0	1
n.sp.	sp. nov.	0	1
n.sp. "common"	sp. nov.	0	1
n.sp. "tavi"	sp. nov.	0	1
n.sp. (cf. reticulatus)	sp. nov. (cf. reticulatus)	0	1
n.sp. (ms)	sp. nov.	0	1
n.sp. 1		0	1
n.sp. a	sp. nov.	0	1
n.sp. cf novaecaledoniae	sp. nov.	0	1
n.sp. 'common'	sp. nov.	0	1
n.sp. Coral Sea	sp.	0	1
n.sp.1	sp.	0	1
n.sp.2	sp.	0	1
n.sp.3		0	1
n.sp.sp.2	sp. nov.	0	1
n.sp.sp.3	sp. nov.	0	1
n.sp.sp.5	sp. nov.	0	1
n.sp.sp.7	sp. nov.	0	1
near sp	cf.	0	1
near sp.	cf.	0	1
new sp.	sp. nov.	0	1
not id-able to sp. (Weil 2004)		0	1
nov sp.1	sp. nov.	0	1
nov. subsp.	ssp. nov.	0	1
novecrinita n.	sp. nov.	0	1
nr	cf.	0	1
nr gn	cf.	0	1
nr sp	cf.	0	1
nr.	cf.	0	1
oi ?	id in question	0	1
oi cf	id in question	0	1
okra sp.1	okra sp.1	0	1
or ?	order in question	0	1
or ? ;fa ?	order, family in question	0	1
or ? ;fa ? ;ge ?	order, family, genus in question	0	1
or ? ;sp ?	order in question	0	1
or ? ;sp cf	cf.	0	1
or ?, fa ?	order, family in question	0	1
or ?, worn	order in question	0	1
or ?; fa ?	order, family in question	0	1
or ?; sp ?	order in question	0	1
or Carnivora	order in question	0	1
or cf	cf.	0	1
or M. seminoensis	species in question	0	1
or nr	cf.	0	1
or Pliohippus	genus in question	0	1
oreas x Nocomis sp.	oreas x Nocomis sp.	0	1
Otophryne sp.	sp.	0	1
palm sp. 1	palm sp. 1	0	1
palm sp.1	palm sp.1	0	1
pandora X R. sp.	pandora X R. sp.	0	1
PATZNERI N. SP.	sp. nov.	0	1
paulsoni ssp. tasmai	ssp.	0	1
perlates (subsp.)	ssp.	0	1
pipilodryas sp.	sp. nov.	0	1
possibly gen	genus in question	0	1
possibly gen +sp	genus, species in question	0	1
possibly sp.	species in question	0	1
potomacensis sp. nov.	potomacensis sp. nov.	0	1
probable	in question	0	1
probably	id in question	0	1
proserpina x Notropis sp.	proserpina X Notropis sp.	0	1
Q sp	species in question	0	1
quadrimucronatus ssp. indet.	quadrimucronatus ssp. indet.	0	1
regani (n. ssp.)	ssp. nov. (regani)	0	1
regularis x sp.	sp.	0	1
remarks:2 = W.D. Dodd. No. 451.B1002, B1003 PARATYPES of Pachycephala rufiventris minor, Zietz, 1914 (see SAOA 1(1):15. W.D. Dodd No. 519.		0	1
rhamnophyll sp.1	rhamnophyll sp.1	0	1
rhina,binoculata,inornata	species in question	0	1
rw sp. 18	sp.	0	1
rw sp. 23	sp.	0	1
rw sp. 25	sp.	0	1
rw sp. 26	sp.	0	1
rw sp. 28	sp.	0	1
rw sp. 34	sp.	0	1
rw sp. 50	sp.	0	1
rw sp. 62	sp.	0	1
rw sp. 68	sp.	0	1
rw sp.36	sp.	0	1
rw sp.50	sp.	0	1
rw sp.62	sp.	0	1
rw sp.63	sp.	0	1
S. ellioti X G. sp.	S. ellioti X G. sp.	0	1
s.l.sp.	s.l.sp.	0	1
samara-sp. 2	samara-sp. 2	0	1
samara-sp.2	samara-sp.2	0	1
Scinax lescurei sp. nov.	sp. nov.	0	1
See notes for references		0	1
seed gen. A sp. A	seed gen. A sp. A	0	1
seed gen. A sp. B	seed gen. A sp. B	0	1
seed gen. B sp. A	seed gen. B sp. A	0	1
seed gen. B sp. B	seed gen. B sp. B	0	1
seed gen. C sp. A	seed gen. C sp. A	0	1
seed gen. D sp. A	seed gen. D sp. A	0	1
sensu lato	s.l.	0	1
sg ?	genus, species in question	0	1
sg cf	cf.	0	1
sg cf;sp cf	cf.	0	1
Sigmodontinae		0	1
small		0	1
small sp.	small sp.	0	1
Some uncertainty as to identification		0	1
sp	sp.	0	1
sp ?	species in question	0	1
sp cf	cf.	0	1
sp cf. ss cf	cf.	0	1
sp cf; worn	cf.	0	1
SP D	sp.	0	1
sp near	cf.	0	1
sp nr	cf.	0	1
sp.	sp.	1	1
sp. "6"	sp. nov.	0	1
sp. "A"		0	1
sp. "atrox/patrox"	sp.	0	1
sp. "B"		0	1
sp. "b&w"	sp. nov.	0	1
sp. "b+w"	sp. nov.	0	1
sp. "big eyes"	sp. nov.	0	1
sp. "black&white"	sp. nov.	0	1
sp. "blotch"	sp. nov.	0	1
sp. "broad stripe"	sp. nov.	0	1
sp. "C"		0	1
sp. "corta"	sp. nov.	0	1
sp. "dark spots"	sp. nov.	0	1
sp. "flat"	sp. nov.	0	1
sp. "freckled"	sp. nov.	0	1
sp. "humphead"	sp. nov.	0	1
sp. "kazumbe"	sp.	0	1
sp. "linea"	sp. nov.	0	1
sp. "long adipose fin"	sp. nov.	0	1
sp. "marbled"	sp. nov.	0	1
sp. "moshi"	sp.	0	1
sp. "mottled"	sp. nov.	0	1
sp. "pintado"	sp. nov.	0	1
sp. "saddle"	sp. nov.	0	1
sp. "sawfin shiner"	sp.	0	1
sp. "short adipose fin"	sp. nov.	0	1
sp. "urique"	sp.	0	1
sp. "walteri"	sp.	0	1
sp. "white caudal edge"	sp. nov.	0	1
sp. # 1	sp.	0	1
sp. #1	sp. nov.	0	1
sp. #2	sp. nov.	0	1
sp. #4	sp. nov.	0	1
sp. (? alba)	sp.	0	1
sp. (? azureus)	sp.	0	1
sp. (? fernandezianus)	sp.	0	1
sp. (? hollandi)	sp.	0	1
sp. (? lispus)	sp.	0	1
sp. (? n. sp.)	sp.	0	1
sp. (? newnesi)	sp.	0	1
sp. (? sinensis)	sp.	0	1
sp. (?palumbus)	sp.	0	1
sp. (albino)	sp.	0	1
sp. (alnorum or trailli ?)	sp.	0	1
sp. (altamazonica complex)	sp.	0	1
sp. (ammoceotes)	sp.	0	1
sp. (ammocoete)	sp.	0	1
sp. (ammocoetes)	sp.	0	1
sp. (arfakiana group)	sp.	0	1
sp. (basin form)	sp.	0	1
sp. (bicolor complex)	sp.	0	1
sp. (bogotensis group)	sp.	0	1
sp. (broad head)	sp.	0	1
sp. (broadtail madtom)	sp.	0	1
sp. (c.f. europaeus)	sp.	0	1
sp. (calamarina-group)	sp.	0	1
sp. (catharinae-group)	sp.	0	1
sp. (Caura, Orinoco)	sp.	0	1
sp. (cephalica-clade)	sp.	0	1
sp. (cf. brevispinis)	cf. brevispinis	0	1
sp. (cf. eos)	cf. eos	0	1
sp. (cf. flavobrunneus)	cf. flavobrunneus	0	1
sp. (cf. limbatus)	cf. limbatus	0	1
sp. (cf. mediterraneus)	cf. mediterraneus	0	1
sp. (cf. melanostoma)	cf. melanostoma	0	1
sp. (cf. minutilus)	cf. minutilus	0	1
sp. (cf. mollis)	cf. mollis	0	1
sp. (cf. paradoxum)	cf. paradoxum	0	1
sp. (cf. platophrys)	cf. platophrys	0	1
sp. (cf. pulcher)	cf. pulcher	0	1
sp. (cf. valdiviae)	cf. valdiviae	0	1
sp. (cf. vexillaris)	cf. vexillaris	0	1
sp. (chalconota-group)	sp.	0	1
sp. (cocos long-nose)	sp.	0	1
sp. (coelomys)	sp.	0	1
sp. (dendriticus ?)	species in question	0	1
sp. (draco group)	cf. draco group	0	1
sp. (E. umbrinus or E. quadrivittatus)	sp.	0	1
sp. (ebelingi ?)	species in question	0	1
sp. (fuscoauratus-group)	sp.	0	1
sp. (fuscus complex)	sp.	0	1
sp. (grammicus-group)	sp.	0	1
sp. (group I)	sp.	0	1
sp. (group II)	sp.	0	1
sp. ('group ii')	sp.	0	1
sp. (group III)	sp.	0	1
sp. (Holston)	sp.	0	1
sp. (hybrid)	sp.	0	1
sp. (hybrid?)	sp.	0	1
sp. (jobiensis group)	sp.	0	1
sp. (larva)	sp.	0	1
sp. (lateralis group)	sp.	0	1
sp. (lemniscatus-group)	sp.	0	1
sp. (lesueurii complex)	sp.	0	1
sp. (macconnelli / oleagineus)	sp.	0	1
sp. (macronema)	cf. macronema	0	1
sp. (margaritifera-complex)	sp.	0	1
sp. (melanoleucus-group)	sp.	0	1
sp. (melanonotus group)	sp.	0	1
sp. (migrans?)	sp.	0	1
sp. (notatus-group)	sp.	0	1
sp. (ocellatus-group)	sp.	0	1
sp. (ocellifer-group)	sp.	0	1
sp. (ochrophaeus-complex)	sp.	0	1
sp. (papua group)	sp.	0	1
sp. (parviceps group)	sp.	0	1
sp. (peregrina or ruficapilla ?)	sp.	0	1
sp. (perpusillus group)	sp.	0	1
sp. (philadelphia X tolmei)	philadelphia X tolmei	0	1
sp. (pipiens complex)	sp.	0	1
sp. (podicipinus-wagneri complex)	sp.	0	1
sp. (possibly bifilis)	cf. bifilis	0	1
sp. (possibly tolmiei)	sp.	0	1
sp. (pratti group)	sp.	0	1
sp. (prob. hybrid elegans X flaveolus)	sp.	0	1
sp. (quechua-group)	sp.	0	1
sp. (redband)	sp.	0	1
sp. (rk sp3)	sp.	0	1
sp. (ruber group)	sp.	0	1
sp. (sajori)	cf. sajori	0	1
sp. (schmidti-group)	cf. schmidti-group	0	1
sp. (shag)	sp.	0	1
sp. (speciosa or trichas)	sp.	0	1
sp. (spumarius-complex)	sp.	0	1
sp. (stanleyana group)	sp.	0	1
sp. (stauriphora)	sp.	0	1
sp. (taeniura)	sp.	0	1
sp. (Tallapoosa sculpin)	sp.	0	1
sp. (temporaria-group)	sp.	0	1
sp. (trailii / alnorum [?])	sp.	0	1
sp. (Type A)	sp.	0	1
sp. (type B)	sp.	0	1
sp. (urunguensis-group)	sp.	0	1
sp. (variegatus-group)	sp.	0	1
