"verbatimReproductiveCondition","standardReproductiveCondition","uri","checked","opinionBy","opinionDate"
"(incub. 3 eggs)",,,0,"John Wieczorek","2017-08-25"
"(lactating)","adult",,1,"John Wieczorek","2017-08-25"
"(mammae: 0 : 2 = 4)",,,0,"John Wieczorek","2017-08-25"
"(mammae: 0 +2 = 4)",,,0,"John Wieczorek","2017-08-25"
"(mammae: 0:2 = 4)",,,0,"John Wieczorek","2017-08-25"
"(mammae: 1 pr + 2 pr = 6)",,,0,"John Wieczorek","2017-08-25"
"(mammae: 1 pr, 2 pr = 6)",,,0,"John Wieczorek","2017-08-25"
"(mammae: 1:2 = 6)",,,0,"John Wieczorek","2017-08-25"
"(no eggs)",,,0,"John Wieczorek","2017-08-25"
"(No Emb)",,,0,"John Wieczorek","2017-08-25"
"(no emb) 1:2 = 6 mammae",,,0,"John Wieczorek","2017-08-25"
"(no emb, mam: 3pec, 3ing)",,,0,"John Wieczorek","2017-08-25"
"(no embs)",,,0,"John Wieczorek","2017-08-25"
"(no gonad data)",,,0,"John Wieczorek","2017-08-25"
"(no gonad meas)",,,0,"John Wieczorek","2017-08-25"
"(no gonad meas.)",,,0,"John Wieczorek","2017-08-25"
"(no gonads found)",,,0,"John Wieczorek","2017-08-25"
"(no pouch young)",,,0,"John Wieczorek","2017-08-25"
"(no repro data)",,,0,"John Wieczorek","2017-08-25"
"(per necropsy report)",,,0,"John Wieczorek","2017-08-25"
"(per necropsy rpt)",,,0,"John Wieczorek","2017-08-25"
"(s) 5.0 mm",,,0,"John Wieczorek","2017-08-25"
"(see Comment)",,,1,"John Wieczorek","2017-08-25"
"(spur present on tarsus)",,,0,"John Wieczorek","2017-08-25"
"(t = 3 mm) abdom.",,,0,"John Wieczorek","2017-08-25"
"(t = 5 mm) desc.",,,0,"John Wieczorek","2017-08-25"
"(testes noted, not meas)",,,0,"John Wieczorek","2017-08-25"
"(testes= 34x28mm)",,,0,"John Wieczorek","2017-08-25"
"(vagina imperforate)",,,0,"John Wieczorek","2017-08-25"
"(vagina perforate)",,,0,"John Wieczorek","2017-08-25"
"(vocal slits present)",,,0,"John Wieczorek","2017-08-25"
"*","unknown",,1,"John Wieczorek","2017-08-25"
"*Post lactating male",,,0,"John Wieczorek","2017-08-25"
".",,,1,"John Wieczorek","2017-08-25"
"?","unknown",,1,"John Wieczorek","2017-08-25"
"??","unknown",,1,"John Wieczorek","2017-08-25"
"[ no gonad data]",,,0,"John Wieczorek","2017-08-25"
"[ no gonad meas]",,,0,"John Wieczorek","2017-08-25"
"[by plumage and metrics]",,,0,"John Wieczorek","2017-08-25"
"[by plumage]",,,0,"John Wieczorek","2017-08-25"
"[ext male]",,,0,"John Wieczorek","2017-08-25"
"[ext]",,,0,"John Wieczorek","2017-08-25"
"[external]",,,0,"John Wieczorek","2017-08-25"
"[externally female]",,,0,"John Wieczorek","2017-08-25"
"[externally M]",,,0,"John Wieczorek","2017-08-25"
"[externally male]",,,0,"John Wieczorek","2017-08-25"
"[gonad mentioned]",,,0,"John Wieczorek","2017-08-25"
"[gonad mentioned}",,,0,"John Wieczorek","2017-08-25"
"[gonads mentioned]",,,0,"John Wieczorek","2017-08-25"
"[gonads not found]",,,0,"John Wieczorek","2017-08-25"
"[M by plumage?]",,,0,"John Wieczorek","2017-08-25"
"[no gonad  data]",,,0,"John Wieczorek","2017-08-25"
"[no gonad daa]",,,0,"John Wieczorek","2017-08-25"
"[no gonad dara]",,,0,"John Wieczorek","2017-08-25"
"[no gonad data",,,0,"John Wieczorek","2017-08-25"
"[no gonad data]",,,0,"John Wieczorek","2017-08-25"
"[no gonad data}",,,0,"John Wieczorek","2017-08-25"
"[no gonad datra]",,,0,"John Wieczorek","2017-08-25"
"[no gonad meas.]",,,0,"John Wieczorek","2017-08-25"
"[no gonad meas]",,,0,"John Wieczorek","2017-08-25"
"[no gonad mentioned]",,,0,"John Wieczorek","2017-08-25"
"[no gonad or mammary data]",,,0,"John Wieczorek","2017-08-25"
"[no gonads mentioned]",,,0,"John Wieczorek","2017-08-25"
"[no gonas data]",,,0,"John Wieczorek","2017-08-25"
"[no gond data]",,,0,"John Wieczorek","2017-08-25"
"[no gpnad data]",,,0,"John Wieczorek","2017-08-25"
"[no meas]",,,0,"John Wieczorek","2017-08-25"
"[no repro data]",,,0,"John Wieczorek","2017-08-25"
"[not checked]",,,0,"John Wieczorek","2017-08-25"
"[ova not obvious, CHECK on return from loan]",,,0,"John Wieczorek","2017-08-25"
"[ovary noted, ova not meas.]",,,0,"John Wieczorek","2017-08-25"
"[Scrotal]",,,0,"John Wieczorek","2017-08-25"
"[see Comment]",,,0,"John Wieczorek","2017-08-25"
"[sexed by plumage]",,,0,"John Wieczorek","2017-08-25"
"[testes noted, not meas.]",,,0,"John Wieczorek","2017-08-25"
"{no gonad data]",,,0,"John Wieczorek","2017-08-25"
"~3L, 3R placental scars",,,0,"John Wieczorek","2017-08-25"
"+ 2 foetuses",,,0,"John Wieczorek","2017-08-25"
"+ baculum",,,0,"John Wieczorek","2017-08-25"
"+ embryos",,,0,"John Wieczorek","2017-08-25"
">9 uterine scars",,,0,"John Wieczorek","2017-08-25"
"0 : 2 = 4 mammae",,,0,"John Wieczorek","2017-08-25"
"0 emb.",,,0,"John Wieczorek","2017-08-25"
"0 embryoa",,,0,"John Wieczorek","2017-08-25"
"0 embryos",,,0,"John Wieczorek","2017-08-25"
"0 X 2, CR = 28",,,0,"John Wieczorek","2017-08-25"
"0,0",,,0,"John Wieczorek","2017-08-25"
"0:2 = 4 mammae",,,0,"John Wieczorek","2017-08-25"
"0:2= 4 mammae",,,0,"John Wieczorek","2017-08-25"
"0L+4R embryos, 13mm SW, 8mm CR",,,0,"John Wieczorek","2017-08-25"
"0R, 4L placental scars",,,0,"John Wieczorek","2017-08-25"
"0R,0L plac scar",,,0,"John Wieczorek","2017-08-25"
"0R,1L emb",,,0,"John Wieczorek","2017-08-25"
"0R,1L plac scar",,,0,"John Wieczorek","2017-08-25"
"0R,2L plac scar",,,0,"John Wieczorek","2017-08-25"
"1 E",,,0,"John Wieczorek","2017-08-25"
"1 emb",,,0,"John Wieczorek","2017-08-25"
"1 emb (CR=18mm)",,,0,"John Wieczorek","2017-08-25"
"1 emb ?",,,0,"John Wieczorek","2017-08-25"
"1 emb [R], CR=6 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb = 12mm",,,0,"John Wieczorek","2017-08-25"
"1 emb = 18 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb = 33, no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb = 6mm",,,0,"John Wieczorek","2017-08-25"
"1 emb X  mm, no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb X 1 mm, no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb X 1.5 mm, not lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb X 10, no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb X 11 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb X 11 mm/no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb X 11, no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb X 13 mm/no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb X 15 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb X 17, no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb X 19 mm/no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb x 19mm, no lact",,,0,"John Wieczorek","2017-08-25"
"1 emb X 2.5 mm, no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb X 21 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb X 27 mm, no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb X 3.0 mm, no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb X 31, no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb X 5 mm/no lact",,,0,"John Wieczorek","2017-08-25"
"1 emb X 52, non-lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb X 53, no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb X 6 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb X 7, no lact.",,,0,"John Wieczorek","2017-08-25"
"1 emb, 1L X 4 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb, cr = X 13 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb, cr = X 14 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb, cr = X 18 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb, cr = X 8 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb, CR=16mm, female",,,0,"John Wieczorek","2017-08-25"
"1 emb, CR=17mm, female",,,0,"John Wieczorek","2017-08-25"
"1 emb, CR=19mm, female",,,0,"John Wieczorek","2017-08-25"
"1 emb, cr=20 well dev",,,0,"John Wieczorek","2017-08-25"
"1 emb, CR=21mm, female",,,0,"John Wieczorek","2017-08-25"
"1 emb, L, 3 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.",,,0,"John Wieczorek","2017-08-25"
"1 emb. (20 mm) 1 aborted?",,,0,"John Wieczorek","2017-08-25"
"1 emb. CR = 13 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb. izq. 13 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb. izq. 30.55 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb. small",,,0,"John Wieczorek","2017-08-25"
"1 emb. X 2",,,0,"John Wieczorek","2017-08-25"
"1 emb. X 4",,,0,"John Wieczorek","2017-08-25"
"1 emb. X 5",,,0,"John Wieczorek","2017-08-25"
"1 emb. X 6",,,0,"John Wieczorek","2017-08-25"
"1 emb. X 8",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=10 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=12 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=125 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=14 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=147 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=150 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=16 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=17 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=18 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=19 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=2 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=20 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=21 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=22 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=24 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=25 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=26 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=28 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=29 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=3 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=30 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=32 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=33 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=35 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=37 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=4 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=46 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=5 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=50 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=50mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=6 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=68 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=8 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=85 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb.; CR=9 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb/1 X 8",,,0,"John Wieczorek","2017-08-25"
"1 emb:1(R),0(L)",,,0,"John Wieczorek","2017-08-25"
"1 emb:1L, 1R; CR=1 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1L, 1R; CR=25 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1L; CR=25 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1L; CR=28 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1L; CR=37 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1L; CR=5 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1R, 1L; CR=33 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1R, 1L; CR=5 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1R, 1L; CR=7 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1R, 1L; CR=74 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1R; CR=11 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1R; CR=15 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1R; CR=19 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1R; CR=21 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1R; CR=24 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1R; CR=26 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1R; CR=40 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:1R; CR=6 mm",,,0,"John Wieczorek","2017-08-25"
"1 emb:CR = 24",,,0,"John Wieczorek","2017-08-25"
"1 emb:CR = 25",,,0,"John Wieczorek","2017-08-25"
"1 emb; CR<1mm",,,0,"John Wieczorek","2017-08-25"
"1 emb; CR=16mm",,,0,"John Wieczorek","2017-08-25"
"1 emb; CR=18mm",,,0,"John Wieczorek","2017-08-25"
"1 emb; CR=19mm",,,0,"John Wieczorek","2017-08-25"
"1 emb; CR=21mm",,,0,"John Wieczorek","2017-08-25"
"1 emb; CR=24mm",,,0,"John Wieczorek","2017-08-25"
"1 emb; CR=26mm",,,0,"John Wieczorek","2017-08-25"
"1 emb; CR=30mm",,,0,"John Wieczorek","2017-08-25"
"1 emb; CR-3",,,0,"John Wieczorek","2017-08-25"
"1 embryo",,,0,"John Wieczorek","2017-08-25"
"1 embryo - male, 67 cm, 4.8 kg",,,0,"John Wieczorek","2017-08-25"
"1 embryo (L), 9mmSW",,,0,"John Wieczorek","2017-08-25"
"1 embryo 16mm;",,,0,"John Wieczorek","2017-08-25"
"1 embryo in R uterine horn, 1 in L",,,0,"John Wieczorek","2017-08-25"
"1 embryo, 15mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo, 17mm",,,0,"John Wieczorek","2017-08-25"
"1 Embryo, 20 mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo, 20x13mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo, 21mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo, 21x12mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo, 21x14mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo, 25mm",,,0,"John Wieczorek","2017-08-25"
"1 Embryo, 28 mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo, 3.5mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo, 7mm; mammae 2 pect.",,,0,"John Wieczorek","2017-08-25"
"1 embryo, 8mm CR",,,0,"John Wieczorek","2017-08-25"
"1 embryo, CR (crown-rump length) 14",,,0,"John Wieczorek","2017-08-25"
"1 embryo, CR (crown-rump length) 18",,,0,"John Wieczorek","2017-08-25"
"1 embryo, L, CR (crown-rump length) = 19.1",,,0,"John Wieczorek","2017-08-25"
"1 embryo, N>, CR (crown-rump length) = 14.5",,,0,"John Wieczorek","2017-08-25"
"1 embryo, NL",,,0,"John Wieczorek","2017-08-25"
"1 embryo, NL, CR (crown-rump length) = 10.4",,,0,"John Wieczorek","2017-08-25"
"1 embryo, NL, CR (crown-rump length) = 11.7",,,0,"John Wieczorek","2017-08-25"
"1 embryo, NL, CR (crown-rump length) = 13.5",,,0,"John Wieczorek","2017-08-25"
"1 embryo, NL, CR (crown-rump length) = 14.1",,,0,"John Wieczorek","2017-08-25"
"1 embryo, NL, CR (crown-rump length) = 19.9",,,0,"John Wieczorek","2017-08-25"
"1 embryo, NL, CR (crown-rump length) = 6.1",,,0,"John Wieczorek","2017-08-25"
"1 embryo, NL, CR (crown-rump length) =13.5",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 10mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 11mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 13mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 15mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 16mm;",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 18mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 19mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 20mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 21mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 22mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 23mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 24mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 25mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 26mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 27mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 28mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 29mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 30mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 31mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 32mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 54mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 8mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 9mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo: 9mm;",,,0,"John Wieczorek","2017-08-25"
"1 embryo: R(17)",,,0,"John Wieczorek","2017-08-25"
"1 embryo; 12mm;",,,0,"John Wieczorek","2017-08-25"
"1 embryo; 3.5mm;",,,0,"John Wieczorek","2017-08-25"
"1 embryo; 8mm",,,0,"John Wieczorek","2017-08-25"
"1 embryo; NL",,,0,"John Wieczorek","2017-08-25"
"1 embryo?",,,0,"John Wieczorek","2017-08-25"
"1 embryo-L",,,0,"John Wieczorek","2017-08-25"
"1 embryos 12mm;",,,0,"John Wieczorek","2017-08-25"
"1 embryos 13mm;",,,0,"John Wieczorek","2017-08-25"
"1 F emb: cr= 76.3mm *",,,0,"John Wieczorek","2017-08-25"
"1 fetus L horn",,,0,"John Wieczorek","2017-08-25"
"1 fetus L horn, 1 fetus R  horn",,,0,"John Wieczorek","2017-08-25"
"1 fetus L horn, 1 fetus R horn",,,0,"John Wieczorek","2017-08-25"
"1 fetus L horn, 1 fetus R horn, CR=8mm",,,0,"John Wieczorek","2017-08-25"
"1 fetus L horn, 2 fetus R horn",,,0,"John Wieczorek","2017-08-25"
"1 fetus L horn, 3 fetus R horn",,,0,"John Wieczorek","2017-08-25"
"1 fetus R horn",,,0,"John Wieczorek","2017-08-25"
"1 fetus; CR (crown-rump length) = 41 mm",,,0,"John Wieczorek","2017-08-25"
"1 L emb",,,0,"John Wieczorek","2017-08-25"
"1 L emb, CR=2.9mm",,,0,"John Wieczorek","2017-08-25"
"1 large embryo",,,0,"John Wieczorek","2017-08-25"
"1 lt. plac. scar, 1 rt emb: CR: 16 mm",,,0,"John Wieczorek","2017-08-25"
"1 M emb: cr= 212.7 mm *",,,0,"John Wieczorek","2017-08-25"
"1 M emb: cr=108.3mm *",,,0,"John Wieczorek","2017-08-25"
"1 maduro (05), 3 inmaduros (03, 06, 07)",,,0,,"2017-11-07"
"1 male suckling",,,0,"John Wieczorek","2017-08-25"
"1 neonate",,,0,"John Wieczorek","2017-08-25"
"1 neonate; mother of ROMM 43919",,,0,"John Wieczorek","2017-08-25"
"1 neonate; mother of ROMM 74058",,,0,"John Wieczorek","2017-08-25"
"1 neonate; mother of ROMM 78874",,,0,"John Wieczorek","2017-08-25"
"1 oviductal egg in left ovary ca. 5 mm",,,0,"John Wieczorek","2017-08-25"
"1 oviductal egg, yolking follicles lt & rt ovaries",,,0,"John Wieczorek","2017-08-25"
"1 ovum 3.0cm + ~ 3d other",,,0,"John Wieczorek","2017-08-25"
"1 plac scar 1L 0R",,,0,"John Wieczorek","2017-08-25"
"1 plac scar, L",,,0,"John Wieczorek","2017-08-25"
"1 plac. scar rt. horn",,,0,"John Wieczorek","2017-08-25"
"1 pouch yg (78-27-14-07)",,,0,"John Wieczorek","2017-08-25"
"1 pouch yg (89-32-16-08)",,,0,"John Wieczorek","2017-08-25"
"1 pouch yg.",,,0,"John Wieczorek","2017-08-25"
"1 pouch young",,,0,"John Wieczorek","2017-08-25"
"1 R emb",,,0,"John Wieczorek","2017-08-25"
"1 R emb, CR=6.8mm",,,0,"John Wieczorek","2017-08-25"
"1 R emb, FA=4.2 CR=10.3mm",,,0,"John Wieczorek","2017-08-25"
"1 R placental scar",,,0,"John Wieczorek","2017-08-25"
"1 Rt emb",,,0,"John Wieczorek","2017-08-25"
"1 scar (R); 1 emb (L)",,,0,"John Wieczorek","2017-08-25"
"1 scar: rt",,,0,"John Wieczorek","2017-08-25"
"1 shelled egg in oviduct",,,0,"John Wieczorek","2017-08-25"
"1 sm emb",,,0,"John Wieczorek","2017-08-25"
"1 testis/epididymis WT-0.90",,,0,"John Wieczorek","2017-08-25"
"1 testis/epididymis WT-1.01",,,0,"John Wieczorek","2017-08-25"
"1 tubal egg",,,0,"John Wieczorek","2017-08-25"
"1 uterine scar",,,0,"John Wieczorek","2017-08-25"
"1 X 1, CR = 9mm",,,0,"John Wieczorek","2017-08-25"
"1 young",,,0,"John Wieczorek","2017-08-25"
"1 young; CR-37",,,0,"John Wieczorek","2017-08-25"
"1 young; CR-40",,,0,"John Wieczorek","2017-08-25"
"1 young; mother of ROMM 32086",,,0,"John Wieczorek","2017-08-25"
"1 young; mother of ROMM 59129",,,0,"John Wieczorek","2017-08-25"
"1 young; mother of ROMM 69842",,,0,"John Wieczorek","2017-08-25"
"1.5 mm tubes",,,0,"John Wieczorek","2017-08-25"
"1:2 = 6 mammae",,,0,"John Wieczorek","2017-08-25"
"1:2= 6 mamae",,,0,"John Wieczorek","2017-08-25"
"10 emb",,,0,"John Wieczorek","2017-08-25"
"10 ova; largest 10X10 mm",,,0,"John Wieczorek","2017-08-25"
"10 ova; largest 7X7 mm",,,0,"John Wieczorek","2017-08-25"
"10 plac scar",,,0,"John Wieczorek","2017-08-25"
"10 plac scar 5L 5R 2 sets; mammary tissue present; not lactating",,,0,"John Wieczorek","2017-08-25"
"10 plac scar 7L 3R",,,0,"John Wieczorek","2017-08-25"
"10 plac scar 8L 2R",,,0,"John Wieczorek","2017-08-25"
"10 pouch young",,,0,"John Wieczorek","2017-08-25"
"10 well developed embs",,,0,"John Wieczorek","2017-08-25"
"10mm",,,0,"John Wieczorek","2017-08-25"
"10x8,7x12",,,0,"John Wieczorek","2017-08-25"
"11 eggs in oviducts",,,0,"John Wieczorek","2017-08-25"
"11 embryos",,,0,"John Wieczorek","2017-08-25"
"11 embs",,,0,"John Wieczorek","2017-08-25"
"11 embs/6R/5L/cr=2mm",,,0,"John Wieczorek","2017-08-25"
"11 embs: 3mm",,,0,"John Wieczorek","2017-08-25"
"11 pac scars: 7(R)&4(L)",,,0,"John Wieczorek","2017-08-25"
"11 plac scar",,,0,"John Wieczorek","2017-08-25"
"11 pouch young; CR-33",,,0,"John Wieczorek","2017-08-25"
"1-13mm embryo",,,0,"John Wieczorek","2017-08-25"
"11mmCR, Litter size =6",,,0,"John Wieczorek","2017-08-25"
"12",,,0,"John Wieczorek","2017-08-25"
"12 emb 6L 6R; MAM",,,0,"John Wieczorek","2017-08-25"
"12 plac scar",,,0,"John Wieczorek","2017-08-25"
"12 placental scars",,,0,"John Wieczorek","2017-08-25"
"12 undev emb in oviducts",,,0,"John Wieczorek","2017-08-25"
"12 x 8 mm",,,0,"John Wieczorek","2017-08-25"
"13",,,0,"John Wieczorek","2017-08-25"
"13 ova; largest 4X4 mm",,,0,"John Wieczorek","2017-08-25"
"13 plac scar 2 sets",,,0,"John Wieczorek","2017-08-25"
"13 pouch young; CR-63",,,0,"John Wieczorek","2017-08-25"
"14 X 19 (right testis), epid-",,,0,"John Wieczorek","2017-08-25"
"15 20mm eggs",,,0,"John Wieczorek","2017-08-25"
"15 February 1952",,,0,"John Wieczorek","2017-08-25"
"15 kg",,,0,"John Wieczorek","2017-08-25"
"15.5 kg",,,0,"John Wieczorek","2017-08-25"
"16mm yolk",,,0,"John Wieczorek","2017-08-25"
"17mm egg in oviduct",,,0,"John Wieczorek","2017-08-25"
"18 kg",,,0,"John Wieczorek","2017-08-25"
"18x10;",,,0,"John Wieczorek","2017-08-25"
"19.5 kg",,,0,"John Wieczorek","2017-08-25"
"193-58-26-5=[>100]",,,0,"John Wieczorek","2017-08-25"
"19x9, 8x6",,,0,"John Wieczorek","2017-08-25"
"1emb 28x18","pregnant",,1,"John Wieczorek","2017-08-25"
"1emb 28x21","pregnant",,1,"John Wieczorek","2017-08-25"
"1emb 4.5x2.5 mm","pregnant",,1,"John Wieczorek","2017-08-25"
