"verbatimSex","standardSex","uri","checked","opinionBy","opinionDate"
"""F"" [=M]?","in question",,1,"John Wieczorek","2017-08-25"
"""F"" [app. M]","unknown",,1,"John Wieczorek","2017-08-25"
"""F"" [M]","unknown",,1,"John Wieczorek","2017-08-25"
"""F"" M","unknown",,1,"John Wieczorek","2017-08-25"
"""F""(M)","unknown",,1,"John Wieczorek","2017-08-25"
"""F""[=app. M]","unknown",,1,"John Wieczorek","2017-08-25"
"""F""[=M?[im]]","in question",,1,"John Wieczorek","2017-08-25"
"""F""[=M?]","in question",,1,"John Wieczorek","2017-08-25"
"""F""[=M]","unknown",,1,"John Wieczorek","2017-08-25"
"""F""[Bill scratch indicates M]","unknown",,1,"John Wieczorek","2017-08-25"
"""F""[from size is a M]","unknown",,1,"John Wieczorek","2017-08-25"
"""F""[is size of M]","unknown",,1,"John Wieczorek","2017-08-25"
"""F""[M*]","unknown",,1,"John Wieczorek","2017-08-25"
"""F""[M]","unknown",,1,"John Wieczorek","2017-08-25"
"""F(?)""","in question",,1,"John Wieczorek","2017-08-25"
"""F?""","in question",,1,"John Wieczorek","2017-08-25"
"""F?""[=F]","in question",,1,"John Wieczorek","2017-08-25"
"""F?""[=M]","in question",,1,"John Wieczorek","2017-08-25"
"""hor, F'","female",,1,"John Wieczorek","2017-08-25"
"""Im. F""; Sex ambiguous","in question",,1,"John Wieczorek","2017-08-25"
"""M (?) [=M]","in question",,1,"John Wieczorek","2017-08-25"
"""M [F]","unknown",,1,"John Wieczorek","2017-08-25"
"""M or F ?""","in question",,1,"John Wieczorek","2017-08-25"
"""M""","male",,1,"John Wieczorek","2017-08-25"
"""M"" ?","in question",,1,"John Wieczorek","2017-08-25"
"""M"" [=F ?]","in question",,1,"John Wieczorek","2017-08-25"
"""M"" [=F app.]","unknown",,1,"John Wieczorek","2017-08-25"
"""M"" [=F surely]","female",,1,"John Wieczorek","2017-08-25"
"""M"" [=F?]","in question",,1,"John Wieczorek","2017-08-25"
"""M"" [=F]","unknown",,1,"John Wieczorek","2017-08-25"
"""M"" [app. F]","unknown",,1,"John Wieczorek","2017-08-25"
"""M"" [app. M]","unknown",,1,"John Wieczorek","2017-08-25"
"""M"" [little doubt =F]","female",,1,"John Wieczorek","2017-08-25"
"""M"" app.[=F]","unknown",,1,"John Wieczorek","2017-08-25"
"""M""[=F?]","in question",,1,"John Wieczorek","2017-08-25"
"""M""[=F]","unknown",,1,"John Wieczorek","2017-08-25"
"""M""[F?]","in question",,1,"John Wieczorek","2017-08-25"
"""M""=F ?","in question",,1,"John Wieczorek","2017-08-25"
"""M""F","unknown",,1,"John Wieczorek","2017-08-25"
"""M: [apparently =F]","unknown",,1,"John Wieczorek","2017-08-25"
"""M?""","in question",,1,"John Wieczorek","2017-08-25"
"""M?""[=M]","in question",,1,"John Wieczorek","2017-08-25"
"""M?""[=underlined M]","in question",,1,"John Wieczorek","2017-08-25"
"""Male""","male",,1,"John Wieczorek","2017-08-25"
"""O""","unknown",,1,"John Wieczorek","2017-08-25"
"""O""[=F]","female",,1,"John Wieczorek","2017-08-25"
"""t",,,1,"John Wieczorek","2017-08-25"
"""upside down F symbol""","female",,1,"John Wieczorek","2017-08-25"
"(""M ad"")No! is juv","male",,1,"John Wieczorek","2017-08-25"
"(?)","in question",,1,"John Wieczorek","2017-08-25"
"(?) six","in question",,1,"John Wieczorek","2017-08-25"
"(F ?)","in question",,1,"John Wieczorek","2017-08-25"
"(F)","female",,1,"John Wieczorek","2017-08-25"
"(F) ?","in question",,1,"John Wieczorek","2017-08-25"
"(F)=[M]","unknown",,1,"John Wieczorek","2017-08-25"
"(F?)","in question",,1,"John Wieczorek","2017-08-25"
"(Female)","female",,1,"John Wieczorek","2017-08-25"
"(Female?)","in question",,1,"John Wieczorek","2017-08-25"
"(M ?)","in question",,1,"John Wieczorek","2017-08-25"
"(M ?) [F]","in question",,1,"John Wieczorek","2017-08-25"
"(M =)[F]","unknown",,1,"John Wieczorek","2017-08-25"
"(M apparantly)","male",,1,"John Wieczorek","2017-08-25"
"(M Im ?)","in question",,1,"John Wieczorek","2017-08-25"
"(M)","male",,1,"John Wieczorek","2017-08-25"
"(M) ?","in question",,1,"John Wieczorek","2017-08-25"
"(M) ?)","in question",,1,"John Wieczorek","2017-08-25"
"(m) see note","male",,1,"John Wieczorek","2017-08-25"
"(M)=(F)","unknown",,1,"John Wieczorek","2017-08-25"
"(M)=F","unknown",,1,"John Wieczorek","2017-08-25"
"(M/F?)","in question",,1,"John Wieczorek","2017-08-25"
"(M?)","in question",,1,"John Wieczorek","2017-08-25"
"(M?)=[F]","in question",,1,"John Wieczorek","2017-08-25"
"(Male or Female ?)","in question",,1,"John Wieczorek","2017-08-25"
"(Male)","male",,1,"John Wieczorek","2017-08-25"
"(Male)?","in question",,1,"John Wieczorek","2017-08-25"
"(N)","unknown",,1,"John Wieczorek","2017-08-25"
"(not determined)","unknown",,1,"John Wieczorek","2017-08-25"
"(not determined), juvenile","unknown",,1,"John Wieczorek","2017-08-25"
"(Sex Unknown)","unknown",,1,"John Wieczorek","2017-08-25"
"(sex?)","in question",,1,"John Wieczorek","2017-08-25"
"(undetermined)","unknown",,1,"John Wieczorek","2017-08-25"
"(undetermined), juvenile","unknown",,1,"John Wieczorek","2017-08-25"
"(unsexed)","unknown",,1,"John Wieczorek","2017-08-25"
"*","unknown",,1,"John Wieczorek","2017-08-25"
"--*","unknown",,1,"John Wieczorek","2017-08-25"
",",,,1,"John Wieczorek","2017-08-25"
".",,,1,"John Wieczorek","2017-08-25"
"/","unknown",,1,"John Wieczorek","2017-08-25"
"?","in question",,1,"John Wieczorek","2017-08-25"
"--?","in question",,1,"John Wieczorek","2017-08-25"
"-?-","in question",,1,"John Wieczorek","2017-08-25"
"? - HY",,,1,"John Wieczorek","2017-08-25"
"? (F)","in question",,1,"John Wieczorek","2017-08-25"
"? (M)","in question",,1,"John Wieczorek","2017-08-25"
"? (sign blurred)","in question",,1,"John Wieczorek","2017-08-25"
"? *","in question",,1,"John Wieczorek","2017-08-25"
"? [=F]","in question",,1,"John Wieczorek","2017-08-25"
"? [=M?]","in question",,1,"John Wieczorek","2017-08-25"
"? [=M]","in question",,1,"John Wieczorek","2017-08-25"
"? [M]","in question",,1,"John Wieczorek","2017-08-25"
"? [Male]","in question",,1,"John Wieczorek","2017-08-25"
"? [surely F]","in question",,1,"John Wieczorek","2017-08-25"
"? = F","in question",,1,"John Wieczorek","2017-08-25"
"? = M","in question",,1,"John Wieczorek","2017-08-25"
"? 1971HY",,,1,"John Wieczorek","2017-08-25"
"? 2nd yr.",,,1,"John Wieczorek","2017-08-25"
"? AD.","in question",,1,"John Wieczorek","2017-08-25"
"? age 2 days",,,1,"John Wieczorek","2017-08-25"
"? age 6 days",,,1,"John Wieczorek","2017-08-25"
"? br.","in question",,1,"John Wieczorek","2017-08-25"
"? chick",,,1,"John Wieczorek","2017-08-25"
"? chick 3 days old",,,1,"John Wieczorek","2017-08-25"
"? chick, 3 days old",,,1,"John Wieczorek","2017-08-25"
"? chick, almost fledged",,,1,"John Wieczorek","2017-08-25"
"? F","in question",,1,"John Wieczorek","2017-08-25"
"? IMM","unknown",,1,"John Wieczorek","2017-08-25"
"? Imm.",,,1,"John Wieczorek","2017-08-25"
"? JUV","in question",,1,"John Wieczorek","2017-08-25"
"? juv.","unknown",,1,"John Wieczorek","2017-08-25"
"? M","in question",,1,"John Wieczorek","2017-08-25"
"? M.","in question",,1,"John Wieczorek","2017-08-25"
"? young",,,1,"John Wieczorek","2017-08-25"
"?*","in question",,1,"John Wieczorek","2017-08-25"
"?, adult","in question",,1,"John Wieczorek","2017-08-25"
"?, immature","in question",,1,"John Wieczorek","2017-08-25"
"?, juvenile","in question",,1,"John Wieczorek","2017-08-25"
"?. Adult","in question",,1,"John Wieczorek","2017-08-25"
"?/5 days old",,,1,"John Wieczorek","2017-08-25"
"?/imm.",,,1,"John Wieczorek","2017-08-25"
"?/juv.",,,1,"John Wieczorek","2017-08-25"
"??","in question",,1,"John Wieczorek","2017-08-25"
"--?[=F]","in question",,1,"John Wieczorek","2017-08-25"
"?[=Female]","in question",,1,"John Wieczorek","2017-08-25"
"--?[=M]","in question",,1,"John Wieczorek","2017-08-25"
"?[F]","in question",,1,"John Wieczorek","2017-08-25"
"?[Female]","in question",,1,"John Wieczorek","2017-08-25"
"?[illeg] [M]","in question",,1,"John Wieczorek","2017-08-25"
"?[M]","in question",,1,"John Wieczorek","2017-08-25"
"?=F","in question",,1,"John Wieczorek","2017-08-25"
"?=M","in question",,1,"John Wieczorek","2017-08-25"
"?F","in question",,1,"John Wieczorek","2017-08-25"
"?Female","in question",,1,"John Wieczorek","2017-08-25"
"?M","in question",,1,"John Wieczorek","2017-08-25"
"?M*","in question",,1,"John Wieczorek","2017-08-25"
"?Male","in question",,1,"John Wieczorek","2017-08-25"
"[""M"" or F ?]","in question",,1,"John Wieczorek","2017-08-25"
"[?]","in question",,1,"John Wieczorek","2017-08-25"
"[?F]","in question",,1,"John Wieczorek","2017-08-25"
"[?Female]","in question",,1,"John Wieczorek","2017-08-25"
"[[illeg]]","unknown",,1,"John Wieczorek","2017-08-25"
"[=F?]M","in question",,1,"John Wieczorek","2017-08-25"
"--[=F]","female",,1,"John Wieczorek","2017-08-25"
"[=M ?]","in question",,1,"John Wieczorek","2017-08-25"
"[=M]","male",,1,"John Wieczorek","2017-08-25"
"--[=M]","male",,1,"John Wieczorek","2017-08-25"
"[=M] F","unknown",,1,"John Wieczorek","2017-08-25"
"[=M]F","unknown",,1,"John Wieczorek","2017-08-25"
"[1st spring Male]","male",,1,"John Wieczorek","2017-08-25"
"[Ad.]","unknown",,1,"John Wieczorek","2017-08-25"
"[ADM]","unknown",,1,"John Wieczorek","2017-08-25"
"[Adult ?] [Female ?]","in question",,1,"John Wieczorek","2017-08-25"
"[Adult ?] Female","female",,1,"John Wieczorek","2017-08-25"
"[Adult ?] Male","male",,1,"John Wieczorek","2017-08-25"
"[Adult Female ?]","in question",,1,"John Wieczorek","2017-08-25"
"[Adult] Female","female",,1,"John Wieczorek","2017-08-25"
"[Age ?] [Sex ?]","in question",,1,"John Wieczorek","2017-08-25"
"[Age ?] Male","male",,1,"John Wieczorek","2017-08-25"
"[almost surely a F]","female",,1,"John Wieczorek","2017-08-25"
"[app F]","female",,1,"John Wieczorek","2017-08-25"
"--[app. F]","female",,1,"John Wieczorek","2017-08-25"
"[F ?]","in question",,1,"John Wieczorek","2017-08-25"
"[F ?] M","in question",,1,"John Wieczorek","2017-08-25"
"[F ]","female",,1,"John Wieczorek","2017-08-25"
"[F M]","unknown",,1,"John Wieczorek","2017-08-25"
"[F or M]","unknown",,1,"John Wieczorek","2017-08-25"
"--[F or M]","unknown",,1,"John Wieczorek","2017-08-25"
"[F pract. certainly]","female",,1,"John Wieczorek","2017-08-25"
"[F?]","in question",,1,"John Wieczorek","2017-08-25"
"--[F?]","in question",,1,"John Wieczorek","2017-08-25"
"[f]","female",,1,"John Wieczorek","2017-08-25"
"--[F]","female",,1,"John Wieczorek","2017-08-25"
"[F]-","female",,1,"John Wieczorek","2017-08-25"
"[F] ""M""","unknown",,1,"John Wieczorek","2017-08-25"
"[F] ?","in question",,1,"John Wieczorek","2017-08-25"
"[F] ? M","in question",,1,"John Wieczorek","2017-08-25"
"[F] [M]","unknown",,1,"John Wieczorek","2017-08-25"
"[F] F","female",,1,"John Wieczorek","2017-08-25"
"[F] M","unknown",,1,"John Wieczorek","2017-08-25"
"[F] see Collector's notes","female",,1,"John Wieczorek","2017-08-25"
"[f], adult","female",,1,"John Wieczorek","2017-08-25"
"[f], immature","female",,1,"John Wieczorek","2017-08-25"
"[F]?","in question",,1,"John Wieczorek","2017-08-25"
"[F]=(M)","unknown",,1,"John Wieczorek","2017-08-25"
"[F]M","unknown",,1,"John Wieczorek","2017-08-25"
"[F]sic","female",,1,"John Wieczorek","2017-08-25"
"[F}","female",,1,"John Wieczorek","2017-08-25"
"[Female ?]","in question",,1,"John Wieczorek","2017-08-25"
"[Female?]","in question",,1,"John Wieczorek","2017-08-25"
"[Female?] by plumage","in question",,1,"John Wieczorek","2017-08-25"
"[Female]","female",,1,"John Wieczorek","2017-08-25"
"[Female]?","in question",,1,"John Wieczorek","2017-08-25"
"[illeg.]","unknown",,1,"John Wieczorek","2017-08-25"
"[illeg]","unknown",,1,"John Wieczorek","2017-08-25"
"[illeg] F","female",,1,"John Wieczorek","2017-08-25"
"[illeg] light pencil markings","unknown",,1,"John Wieczorek","2017-08-25"
"[illeg].","unknown",,1,"John Wieczorek","2017-08-25"
"[illeg]?","in question",,1,"John Wieczorek","2017-08-25"
"[illeg]F","female",,1,"John Wieczorek","2017-08-25"
"--[illeg]F","female",,1,"John Wieczorek","2017-08-25"
"[illeg]M","male",,1,"John Wieczorek","2017-08-25"
"[Im.]","unknown",,1,"John Wieczorek","2017-08-25"
"[Immature ?] [Sex ?]","unknown",,1,"John Wieczorek","2017-08-25"
"[Immature ?] Female","female",,1,"John Wieczorek","2017-08-25"
"[Immature ?] Male","male",,1,"John Wieczorek","2017-08-25"
"[Immature Male ?]","in question",,1,"John Wieczorek","2017-08-25"
"[juv. chick]","unknown",,1,"John Wieczorek","2017-08-25"
"[juv. Male]","male",,1,"John Wieczorek","2017-08-25"
"[Juv.]","unknown",,1,"John Wieczorek","2017-08-25"
"[Juvenile ?] Female","female",,1,"John Wieczorek","2017-08-25"
"[Juvenile ?] Male","male",,1,"John Wieczorek","2017-08-25"
"[M","male",,1,"John Wieczorek","2017-08-25"
"[M ?]","in question",,1,"John Wieczorek","2017-08-25"
"[M ?] (illeg.)","in question",,1,"John Wieczorek","2017-08-25"
"[M imm.]F","unknown",,1,"John Wieczorek","2017-08-25"
"[M imm]","male",,1,"John Wieczorek","2017-08-25"
"[M pract. certainly]","male",,1,"John Wieczorek","2017-08-25"
"[M?]","in question",,1,"John Wieczorek","2017-08-25"
"[m]","male",,1,"John Wieczorek","2017-08-25"
"--[M]","male",,1,"John Wieczorek","2017-08-25"
"[M] ?","in question",,1,"John Wieczorek","2017-08-25"
"[M] F","unknown",,1,"John Wieczorek","2017-08-25"
"[M] see Collector's notes","male",,1,"John Wieczorek","2017-08-25"
"[M]""F""","unknown",,1,"John Wieczorek","2017-08-25"
"[m], adult","male",,1,"John Wieczorek","2017-08-25"
"[M]?","in question",,1,"John Wieczorek","2017-08-25"
"[M]F","unknown",,1,"John Wieczorek","2017-08-25"
"[M]ns","male",,1,"John Wieczorek","2017-08-25"
"[M=] F","unknown",,1,"John Wieczorek","2017-08-25"
"[Male ?]","in question",,1,"John Wieczorek","2017-08-25"
"[Male?]","in question",,1,"John Wieczorek","2017-08-25"
"[Male]","male",,1,"John Wieczorek","2017-08-25"
"[Male] by plumage","male",,1,"John Wieczorek","2017-08-25"
"[Sex ?]","in question",,1,"John Wieczorek","2017-08-25"
"[size Female]","female",,1,"John Wieczorek","2017-08-25"
"[Subadult ?] Male","male",,1,"John Wieczorek","2017-08-25"
"[Sub-adult Female ?]","in question",,1,"John Wieczorek","2017-08-25"
"[surely F]","female",,1,"John Wieczorek","2017-08-25"
"[u]","unknown",,1,"John Wieczorek","2017-08-25"
"]","unknown",,1,"John Wieczorek","2017-08-25"
"_","unknown",,1,"John Wieczorek","2017-08-25"
"`","unknown",,1,"John Wieczorek","2017-08-25"
"{F}","female",,1,"John Wieczorek","2017-08-25"
"{Female}","female",,1,"John Wieczorek","2017-08-25"
"{M]","male",,1,"John Wieczorek","2017-08-25"
"{M}","male",,1,"John Wieczorek","2017-08-25"
"{Male}","male",,1,"John Wieczorek","2017-08-25"
"~","unknown",,1,"John Wieczorek","2017-08-25"
"<","unknown",,1,"John Wieczorek","2017-08-25"
"<no data>",,,1,"John Wieczorek","2017-08-25"
"=[F]M","unknown",,1,"John Wieczorek","2017-08-25"
">",,,1,"John Wieczorek","2017-08-25"
"♀","female",,1,"John Wieczorek","2017-08-25"
"♀ imm.","female",,1,"John Wieczorek","2017-08-25"
"♀ immature","female",,1,"John Wieczorek","2017-08-25"
"♀ young","female",,1,"John Wieczorek","2017-08-25"
"♀&♂","female | male",,1,"John Wieczorek","2017-08-25"
"♀?","in question",,1,"John Wieczorek","2017-08-25"
"♂","male",,1,"John Wieczorek","2017-08-25"
"♂ immature","male",,1,"John Wieczorek","2017-08-25"
"♂ young","male",,1,"John Wieczorek","2017-08-25"
"♂?","in question",,1,"John Wieczorek","2017-08-25"
"♂? Adult","in question",,1,"John Wieczorek","2017-08-25"
"0",,,1,"John Wieczorek","2017-08-25"
"0?","unknown",,1,"John Wieczorek","2017-08-25"
"06-Mar-21","unknown",,1,"John Wieczorek","2017-08-25"
"07-Oct-26","unknown",,1,"John Wieczorek","2017-08-25"
"09-Mar-32","unknown",,1,"John Wieczorek","2017-08-25"
"1","unknown",,1,"John Wieczorek","2017-08-25"
"1 F, 1 M","female | male",,1,"John Wieczorek","2017-08-25"
"1 F, 2 M","female | male",,1,"John Wieczorek","2017-08-25"
"1 F, 3 M","female | male",,1,"John Wieczorek","2017-08-25"
"1 F, 4 M","female | male",,1,"John Wieczorek","2017-08-25"
"1 female","female",,1,"John Wieczorek","2017-08-25"
"1 FEMALE,","female",,1,"John Wieczorek","2017-08-25"
"1 hemipene, throat white, scales",,,1,"John Wieczorek","2017-08-25"
"1 M,1 F subad, 21 U","female | male",,1,"John Wieczorek","2017-08-25"
"1 Male","male",,1,"John Wieczorek","2017-08-25"
"1 Male, 1 Female","female | male",,1,"John Wieczorek","2017-08-25"
"10 females, 64 males","female | male",,1,"John Wieczorek","2017-08-25"
"11","unknown",,1,"John Wieczorek","2017-08-25"
"11 F, 1 M","female | male",,1,"John Wieczorek","2017-08-25"
"13","unknown",,1,"John Wieczorek","2017-08-25"
"1360",,,1,"John Wieczorek","2017-08-25"
"152","unknown",,1,"John Wieczorek","2017-08-25"
"154","unknown",,1,"John Wieczorek","2017-08-25"
"157","unknown",,1,"John Wieczorek","2017-08-25"
"16 F, 10 M","female | male",,1,"John Wieczorek","2017-08-25"
"16 year old female","female",,1,"John Wieczorek","2017-08-25"
"162","unknown",,1,"John Wieczorek","2017-08-25"
"166","unknown",,1,"John Wieczorek","2017-08-25"
"17.5","unknown",,1,"John Wieczorek","2017-08-25"
"170","unknown",,1,"John Wieczorek","2017-08-25"
"171","unknown",,1,"John Wieczorek","2017-08-25"
"173","unknown",,1,"John Wieczorek","2017-08-25"
"174","unknown",,1,"John Wieczorek","2017-08-25"
"175","unknown",,1,"John Wieczorek","2017-08-25"
"176","unknown",,1,"John Wieczorek","2017-08-25"
"177","unknown",,1,"John Wieczorek","2017-08-25"
"180","unknown",,1,"John Wieczorek","2017-08-25"
"184","unknown",,1,"John Wieczorek","2017-08-25"
"186","unknown",,1,"John Wieczorek","2017-08-25"
"19-Mar-21","unknown",,1,"John Wieczorek","2017-08-25"
"1st Year Female","female",,1,"John Wieczorek","2017-08-25"
"1st Year Male","male",,1,"John Wieczorek","2017-08-25"
"2","unknown",,1,"John Wieczorek","2017-08-25"
"2 F, 1 juv","female | unknown",,1,"John Wieczorek","2017-08-25"
"2 F, 1 M","female | male",,1,"John Wieczorek","2017-08-25"
"2 F, 2 M","female | male",,1,"John Wieczorek","2017-08-25"
"2 F, 2 U","female | unknown",,1,"John Wieczorek","2017-08-25"
"2 female","female",,1,"John Wieczorek","2017-08-25"
"2 Female, 1 Male","female | male",,1,"John Wieczorek","2017-08-25"
"2 M, 1 F","female | male",,1,"John Wieczorek","2017-08-25"
"2 Male","male",,1,"John Wieczorek","2017-08-25"
"2 Males","male",,1,"John Wieczorek","2017-08-25"
"2 Males, 2 Females","female | male",,1,"John Wieczorek","2017-08-25"
"2 Nestlings",,,1,"John Wieczorek","2017-08-25"
"2 Nestlings [Sex ?]","in question",,1,"John Wieczorek","2017-08-25"
"223","unknown",,1,"John Wieczorek","2017-08-25"
"227","unknown",,1,"John Wieczorek","2017-08-25"
"239","unknown",,1,"John Wieczorek","2017-08-25"
"249","unknown",,1,"John Wieczorek","2017-08-25"
"263.5","unknown",,1,"John Wieczorek","2017-08-25"
"274","unknown",,1,"John Wieczorek","2017-08-25"
"298","unknown",,1,"John Wieczorek","2017-08-25"
"2F","female",,1,"John Wieczorek","2017-08-25"
"2nd Year Male","male",,1,"John Wieczorek","2017-08-25"
"3","unknown",,1,"John Wieczorek","2017-08-25"
"3 exx.",,,1,"John Wieczorek","2017-08-25"
"3 F, 1 M","female | male",,1,"John Wieczorek","2017-08-25"
"3 F, 3 M","female | male",,1,"John Wieczorek","2017-08-25"
"3 Males, Female","female | male",,1,"John Wieczorek","2017-08-25"
"3207 111/95/iv","unknown",,1,"John Wieczorek","2017-08-25"
"335","unknown",,1,"John Wieczorek","2017-08-25"
"340","unknown",,1,"John Wieczorek","2017-08-25"
"348","unknown",,1,"John Wieczorek","2017-08-25"
"36010","unknown",,1,"John Wieczorek","2017-08-25"
"361","unknown",,1,"John Wieczorek","2017-08-25"
"4",,,1,"John Wieczorek","2017-08-25"
"4 F, 1 M","female | male",,1,"John Wieczorek","2017-08-25"
"4 F, 2 M","female | male",,1,"John Wieczorek","2017-08-25"
"4 FEMALE,","female",,1,"John Wieczorek","2017-08-25"
"4 Machos;  4 Hembras; 1 Indeterm","4 males | 4 females | 1 unknown",,1,"John Wieczorek","2017-08-25"
"46",,,1,"John Wieczorek","2017-08-25"
"47",,,1,"John Wieczorek","2017-08-25"
"48",,,1,"John Wieczorek","2017-08-25"
"5",,,1,"John Wieczorek","2017-08-25"
"5 F, 1 M","female | male",,1,"John Wieczorek","2017-08-25"
"58","unknown",,1,"John Wieczorek","2017-08-25"
"5M,2F","female | male",,1,"John Wieczorek","2017-08-25"
"6","unknown",,1,"John Wieczorek","2017-08-25"
"6f","female",,1,"John Wieczorek","2017-08-25"
"7",,,1,"John Wieczorek","2017-08-25"
"7 FEMALE,","female",,1,"John Wieczorek","2017-08-25"
"7M,6F","female | male",,1,"John Wieczorek","2017-08-25"
"9+ years old",,,1,"John Wieczorek","2017-08-25"
"A","unknown",,1,"John Wieczorek","2017-08-25"
"A M","male",,1,"John Wieczorek","2017-08-25"
"A: FEMALE","female",,1,"John Wieczorek","2017-08-25"
"ad","unknown",,1,"John Wieczorek","2017-08-25"
"ad sex ?","in question",,1,"John Wieczorek","2017-08-25"
"AD. ?","in question",,1,"John Wieczorek","2017-08-25"
"AD. ? FEMALE","in question",,1,"John Wieczorek","2017-08-25"
"AD. ? MALE","in question",,1,"John Wieczorek","2017-08-25"
"AD. FEMALE (LIKELY)","female",,1,"John Wieczorek","2017-08-25"
"AD. MALE?","in question",,1,"John Wieczorek","2017-08-25"
"AD.?","in question",,1,"John Wieczorek","2017-08-25"
"AD.? FEMALE","in question",,1,"John Wieczorek","2017-08-25"
"AD.? MALE","in question",,1,"John Wieczorek","2017-08-25"
"AD?","in question",,1,"John Wieczorek","2017-08-25"
"ADM","unknown",,1,"John Wieczorek","2017-08-25"
"adult",,,1,"John Wieczorek","2017-08-25"
"Adult (Dry shell)",,,1,"John Wieczorek","2017-08-25"
"Adult [Female ?]","in question",,1,"John Wieczorek","2017-08-25"
"Adult [Female?]","in question",,1,"John Wieczorek","2017-08-25"
"Adult [Female]","female",,1,"John Wieczorek","2017-08-25"
"Adult [Male ?]","in question",,1,"John Wieczorek","2017-08-25"
"Adult [Male?]","in question",,1,"John Wieczorek","2017-08-25"
"Adult [Sex ?]","in question",,1,"John Wieczorek","2017-08-25"
"Adult + [Juvenile]","unknown",,1,"John Wieczorek","2017-08-25"
"Adult F","female",,1,"John Wieczorek","2017-08-25"
"adult female","female",,1,"John Wieczorek","2017-08-25"
"Adult Female (by size)","female",,1,"John Wieczorek","2017-08-25"
"Adult Female (gravid)","female",,1,"John Wieczorek","2017-08-25"
"Adult Female [= a Male]","female",,1,"John Wieczorek","2017-08-25"
"Adult Female w/ 12 eggs (eegs lo","female",,1,"John Wieczorek","2017-08-25"
"Adult Female, 240-208-80-17","female",,1,"John Wieczorek","2017-08-25"
"Adult Female, 29.9 g, Skin clip ","female",,1,"John Wieczorek","2017-08-25"
"Adult Female, 521g, SVL 1120 mm,","female",,1,"John Wieczorek","2017-08-25"
"Adult Female, gravid","female",,1,"John Wieczorek","2017-08-25"
"Adult Female, laid 4 eggs 25-26 ","female",,1,"John Wieczorek","2017-08-25"
"Adult Female, liver tissue taken","female",,1,"John Wieczorek","2017-08-25"
"Adult female, SVL 179 mm, tail 2","female",,1,"John Wieczorek","2017-08-25"
"Adult Female, SVL 182 mm, Tail 3","female",,1,"John Wieczorek","2017-08-25"
"Adult Female, SVL 600 mm, tail 1","female",,1,"John Wieczorek","2017-08-25"
"Adult Female, SVL 673mm, Tail 18","female",,1,"John Wieczorek","2017-08-25"
"Adult Female, Tissue-liver sampl","female",,1,"John Wieczorek","2017-08-25"
"Adult Male","male",,1,"John Wieczorek","2017-08-25"
"Adult Male [= a Female]","in question",,1,"John Wieczorek","2017-08-25"
"Adult Male [Female ?]","in question",,1,"John Wieczorek","2017-08-25"
"Adult Male by plumage","male",,1,"John Wieczorek","2017-08-25"
"adult male(?), gonad shot","male",,1,"John Wieczorek","2017-08-25"
"Adult Male,  SVL 1020 mm, tail 9","male",,1,"John Wieczorek","2017-08-25"
"Adult Male, Liver tissue taken","male",,1,"John Wieczorek","2017-08-25"
"Adult Male, Lver tissue taken","male",,1,"John Wieczorek","2017-08-25"
"Adult Male, SVL 1453 mm, Tail 51","male",,1,"John Wieczorek","2017-08-25"
"Adult Male, SVL 163 mm, Tail 32.","male",,1,"John Wieczorek","2017-08-25"
