"verbatimDay","dayNumber","checked","opinionBy","opinionDate"
"probably",,1,"John Wieczorek","2017-12-03"
"purchased",,1,"John Wieczorek","2018-04-13"
"R",,1,"John Wieczorek","2018-05-18"
"rc'd",,1,"John Wieczorek","2017-12-03"
"Rec",,1,"John Wieczorek","2018-04-29"
"rec'd",0,1,"David Bloom","2018-06-11"
"Received",,1,"John Wieczorek","2018-05-18"
"Sent",,1,"John Wieczorek","2018-04-29"
"Sep",,1,"John Wieczorek","2018-04-29"
"Sep 1839",0,1,"David Bloom","2018-06-14"
"Sept",,1,"John Wieczorek","2017-12-03"
"September",,1,"John Wieczorek","2018-04-30"
"Septembre",,1,"John Wieczorek","2018-04-30"
"Set",,1,"John Wieczorek","2018-04-30"
"skeletonized",0,1,"David Bloom","2018-06-11"
"Spring",,1,"John Wieczorek","2017-11-01"
"Summer",,1,"John Wieczorek","2017-12-03"
"V",,1,"John Wieczorek","2018-05-18"
"VII",,1,"John Wieczorek","2017-12-03"
"VIII",,1,"John Wieczorek","2018-04-28"
"Winter",,1,"John Wieczorek","2018-04-29"
"Wk",,1,"John Wieczorek","2017-11-01"
"X",,1,"John Wieczorek","2018-04-30"
"XII",,1,"John Wieczorek","2018-04-30"
"XX",,1,"John Wieczorek","2017-12-02"
