lifestage	standard	vetted
LARVAL TRAY	larva	1
LARVE	larva	1
LEPTO.	larva	1
LV	larva	1
M	unknown	1
M (10X5)		1
M (10X6.78)		1
M (12X4)		1
M (18X9.6)		1
M (2X1)		1
M (3X5)		1
M (4.3X3.5)		1
M (5*2)		1
M (5*3 LING)		1
M (6X2)		1
M (8*3)		1
M (9*5)		1
M (9X7)		1
M (BASED ON PLUMAGE)	unknown	1
M (GRAN)		1
M (HY)		1
M (IMM 3.9X1.2)		1
M (LAP)		1
M (LT:1X1)		1
M (TSE)		1
M 1971 HY		1
M 1977 HY		1
M 1978 HY		1
M 1978HY		1
M 1979 HY		1
M 1979HY		1
M 1980HY		1
M 1981 HY		1
M 1981HY		1
M 1984HY		1
M 1ST SPRING		1
M 1ST WINTER		1
M 1ST YEAR		1
M 1ST YR.		1
M 2-3 DAYS OLD		1
M 3.5 YRS.		1
M 3RD WINTER		1
M 3X1		1
M 4YRS.		1
M ABDOMINAL		1
M AD	adult	1
M AD.	adult	1
M ADULT.	adult	1
M AGE 10 YRS.		1
M AGE 12 YRS.		1
M AGE 18 DAYS		1
M AGE 3 DAYS		1
M AGE 4 YRS		1
M AGE 4 YRS.		1
M AGE 7 YRS		1
M ASULT	adult	1
M BASED ON BILL LENGTH		1
M CHICK	chick	1
M FLEDGLING	fledgling	1
M HY		1
M HY'76		1
M JUV	juvenile	1
M L.T (8.3*5.6)		1
M LT (2X1.5)		1
M M	adult	1
M NESTLING	nestling	1
M S.ADULT?	subadult	1
M SA	subadult	1
M SCROTAL		1
M SUBAD.	subadult	1
M SUBADULT	subadult	1
M YY		1
M(3X2)		1
M(HY)		1
M(LAP)		1
M, JUV	juvenile	1
M/08 DAYS OLD		1
M/1 DAY		1
M/1 DAY OLD		1
M/10 DAYS		1
M/15 DAYS OLD		1
M/17 DAYS OLD		1
M/19 DAYS OLD		1
M/1ST YEAR		1
M/2 DAYS		1
M/2 DAYS OLD		1
M/2 YEARS		1
M/24 DAYS OLD		1
M/3 DAYS OLD		1
M/30 DAYS		1
M/31 DAYS OLD		1
M/4 DAYS		1
M/41 DAYS		1
M/42 DAYS OLD		1
M/6 DAYS OLD		1
M/66 DAYS		1
M/AD	adult	1
M/ADULT	adult	1
M/ADULT (?)	adult	1
M/F	unknown	1
M/FIRST YEAR		1
M/FLEDGLING	fledgling	1
M/HY		1
M/IMM	immature	1
M/IMM.	immature	1
M/IMMATURE	immature	1
M/JUV	juvenile	1
M/JUV.	juvenile	1
M/JUVENILE	juvenile	1
M/NA	unknown	1
M/NESTLING	nestling	1
M/SECOND YEAR		1
M/SUB-AD.	subadult	1
M/SUB-ADULT	subadult	1
M/THIRD YEAR		1
M/YEARLING	yearling	1
M/YRLG.	yearling	1
M?	unknown	1
M?, JUV	juvenile	1
M~	unknown	1
MACHO	unknown	1
MACHO A	adult	1
MACHO AD	adult	1
MACHO AD TA	adult	1
MACHO AD TES	adult	1
MACHO AD TES 3X4	adult	1
MACHO AD TES 6X4	adult	1
MACHO AD TES 7X4	adult	1
MACHO AD TEST 9X5	adult	1
MACHO INM	immature	1
MACHO J	juvenile	1
MACHO JUV	juvenile	1
MACHO JUV TEST 5X3	juvenile	1
MACHO SA TES 5X3	subadult	1
MACHO SUBAD	subadult	1
MACHO TES 10X6	adult	1
MACHO TEST	unknown	1
MACHO TEST 15X9	unknown	1
MACHO TEST 16X9	unknown	1
MACHO TEST 18X13	unknown	1
MACHO TEST 20X13	unknown	1
MACHO TEST 20X14	unknown	1
MACHO TEST 5X3	unknown	1
MACHO TEST 5X4	unknown	1
MACHO TEST 8X4	unknown	1
MACHO TEST ESC	adult	1
MAKE		1
MALE		1
MALE - 6 MONTHS	6 months	1
MALE (1ST YEAR)		1
MALE (3.7X2.4)		1
MALE (6.0X4.4)		1
MALE (HY)		1
MALE (IMM.)	immature	1
MALE (IMMATURE)	immature	1
MALE (JUV.)	juvenile	1
MALE (JUVENILE)	juvenile	1
MALE (LAP)		1
MALE (SUB-ADULT)	subadult	1
MALE (T=10MM)		1
MALE (T=4MM)		1
MALE (YOUNG)	young	1
MALE ?		1
MALE [ADULT]	adult	1
MALE [FEMALE ?]		1
MALE ADULT	adult	1
MALE BY PLUMAGE		1
MALE DOWNY YOUNG	chick	1
MALE INCUBATING ABOUT 10 AM		1
MALE INCUBATING. EGGS MISSING.		1
MALE JUVENILE	juvenile	1
MALE(IMM.)	immature	1
MALE, ?	unknown	1
MALE, 2ND WINTER		1
MALE, ADULT	adult	1
MALE, HY		1
MALE, HY?		1
MALE, IMM.	immature	1
MALE, IMMATURE	immature	1
MALE, TESTES 2 X 3 MM		1
MALE, YY		1
MALE/ADULT	adult	1
MALE?		1
MALE[		1
MALE6		1
MALES + FEMALES		1
METAMORPH, ADULT	adult | metamorph	1
MIN. 2.5Y		1
MIXED SEXES		1
MLE		1
MM	unknown	1
N	unknown	1
NA (HY)		1
NA 3RD YEAR		1
NA AD.	adult	1
NA CHICK	chick	1
NA IMM.	immature	1
NA JUV.	juvenile	1
NA/1 DAY		1
NA/1 DAY OLD		1
NA/1 MONTH		1
NA/10 DAYS OLD		1
NA/11 DAYS OLD		1
NA/3 DAYS OLD		1
NA/3 WEEKS		1
NA/4 DAYS OLD		1
NA/5 DAYS		1
NA/5 DAYS OLD		1
NA/5 MONTHS		1
NA/6 DAYS		1
NA/7 DAYS OLD		1
NA/9 DAYS		1
NA/IMM.	immature	1
NA/JUV.	juvenile	1
NA/NESTLING	nestling	1
NA/SUB-ADULT	subadult	1
NATAL	natal	1
ND	unknown	1
NEAR HOLE IN ROCKS, CAUGHT ON BR		1
NEONATAL		1
NEONATE	neonate	1
NEONATO	neonate	1
NESTING COLONY	nesting colony	1
NESTLING	nestling	1
NESTLING [FEMALE ?]	nestling	1
NESTLING [SEX ?]	nestling	1
NESTLING FEMALE	nestling	1
NESTLING MALE	nestling	1
NESTLINGS	nestling	1
NESTLINGS [SEX ?]	nestlings	1
NEWLY HATCHED CHICK	chick	1
NIL		1
-NIL-		1
NL	larva	1
NO ADDITIONAL INFORMATION AVAILA	unknown	1
NO BURSA	no bursa	1
NONE		1
NT	natal	1
O~	unknown	1
OLDER JUVENILE	juvenile	1
OMM		1
OVARIAN EGGS	ovarian egg	1
PIMA		1
POSSIBLY ADULT	adult	1
POSSIBLY IMMATURE	immature	1
POSSIBLY IMMATURE MALE		1
POSSIBLY JUVENILE	juvenile	1
POST LARVAEJUVENILES	juvenile	1
PREADULTO	juvenile	1
PROB		1
PROBABLY		1
PROBABLY AD		1
PROBABLY ADULT	adult	1
PROBABLY FEMALE		1
PROBABLY IMMATURE	immature	1
PROBABLY JUVENILE	juvenile	1
PROBABLY MALE		1
PROBABLY SECOND YEAR	second year	1
PROBABLY YEARLING OR OLDER		1
PUPS	juvenile	1
RECENTLY FLEDGED		1
RYE SHOCK, ON OATS		1
S&S		1
SECOND YEAR	Second year	1
SEN		1
SEX	unknown	1
SEX ?		1
SEX ? - MALE PLUMAGE		1
SKEL		1
SKEL.		1
SKELETAL ELEMENTS		1
SL	juvenile	1
SMALL AD.	young adult	1
SOME FRESH, SOMES PARTLY.		1
SS		1
SUB ADT		1
SUB ADULT?	subadult	1
SUB-ADT		1
SUB-ADT-MAYBE		1
SUBADULT	subadult	1
SUB-ADULT (GRAY ON THIGHS)	subadult	1
SUB-ADULT [MALE ?]	subadult	1
SUB-ADULT [SEX ?]	subadult	1
SUBADULT FEMALE	subadult	1
SUB-ADULT FEMALE	subadult	1
SUBADULT MALE	subadult	1
SUB-ADULT MALE	subadult	1
SUB-ADULTS	subadult	1
SYM	SYM	1
THIRD YEAR	third year	1
TO	unknown	1
TRANSITIONAL JUV-BASIC 2	transitional Juv-basic 2	1
TY	third year	1
U	unknown	1
UKN	unknown	1
UKNOWN	unknown	1
UN	unknown	1
UNDER BUSHES NEAR ROAD		1
UNDER RYE SHOCK, ON OATS		1
UNDER RYE SHOCK, ON ROLLED OATS		1
UNK	unknown	1
UNK  JUV.	juvenile	1
UNK - JUV. OR NEONATAL		1
UNK (IMM. ?)	immature	1
UNK IMM.	immature	1
UNK, ADULT	adult	1
UNK, IMM	adult	1
UNK, IMM.	adult	1
UNK, MIXED SYMBOL	unknown	1
UNK, PROBABLY M	unknown	1
UNK.	unknown	1
UNK. - IMM	immature	1
UNK. (IMM.)	immature	1
UNK. (JUVENILE)	juvenile	1
UNK. JUVENILE	juvenile	1
UNK., (HY)		1
UNK., JUV.	juvenile	1
UNKNOWN	unknown	1
UNKNOWN (DOWNY YOUNG 1-3 DAYS OL	chick	1
UNKNOWN (JUVENILE)	juvenile	1
UNKNOWN ADULT	adult	1
UNKNOWN AGE	unknown	1
UNKNOWN DOWNY YOUNG	chick	1
UNKNOWN FLEDGLING	fledgling	1
UNKNOWN JUVENILE	juvenile	1
UNKNOWN(IMM.)	immature	1
UNKNOWN/ADULT	adult	1
UNKOWN	unknown	1
UR	unknown	1
VERY IMMATURE	immature	1
XXX	unknown	1
Y		1
Y.O.Y. FEMALE	young	1
YEAR		1
YEARLING	yearling	1
YEARLING TO AD.	yearling, adult	1
YEARLING-MAYBE		1
YES		1
YES (CHECKMARK)		1
YES, ADVANCED		1
YOLK SAC	yolk sac	1
YOLK-SAC	yolk sac	1
YOUNG	juvenile	1
YOUNG [FEMALE ?]	young	1
YOUNG [SEX ?]	young	1
YOUNG ADLT	adult	1
YOUNG ADULT MALE	young adult	1
YOUNG ADULTS	young adult	1
YOUNG BUT EPIP ARE FUSED		1
YOUNG CAN FLY		1
YOUNG CAN’T FLY		1
YOUNG CANÆT FLY		1
YOUNG FEMALE	young	1
YOUNG FOUND IN SAME BAG AS OTHER		1
YOUNG IN SAME BAG AS JOB-054 AND		1
YOUNG IN SAME BAG AS OTHERS		1
YOUNG MALE	young	1
YOUNG OF JOB-096		1
YOUNG OF LITTER		1
YOUNG, CAN FLY		1
YOUNG, EPIP NOT FUSED		1
YOUNG, EPIP. WHITE		1
YOUNG, IN SAME BAG AS OTHERS FRO		1
YRLING		1
YRLNG		1
YS	yolk sac	1
YY MALE		1
