identificationqualifier	standard	vetted
? GN	genus in question	1
? ID	id in question	1
? ORD	order in question	1
? ORDER	order in question	1
? ORDER ? FAM	order, family in question	1
? ORDER ? FAMILY	order, family in question	1
? ORDER ?FAM	order, family in question	1
? ORDER, FAM	order, family in question	1
? ORDER; TENT. GEN&SP.	order in question	1
? ORDR	order in question	1
? ORDR ? FAM	order, family in question	1
? OTHER ID	id in question	1
? OTHERID	id in question	1
? SP	species in question	1
? SP.	species in question	1
? SP.; NOT AVAILABLE TO GPW	species in question	1
? SPECIES	species in question	1
? SUBFAM	subfamily in question	1
? SUBFAMILY	subfamily in question	1
? TAXON	id in question	1
?, ?GENUS	genus in question	1
?, ?GENUS, ?SP	genus, species in question	1
?, ?SP	species in question	1
?, ?SP, WORN	species in question	1
?, ?SP.	species in question	1
?, CF SP	species in question	1
?, WORN	species in question	1
?CL	class in question	1
?CLASS	class in question	1
?ELE	id in question	1
?ELE (DP4/), ?SP	species in question	1
?FAM	family in question	1
?FAM ?GEN	family, genus in question	1
?FAMILY	family in question	1
?FM	family in question	1
?FORMOSA?THOMPS.; (WEIL 2004)	id in question	1
?GE	genus in question	1
?GEN	genus in question	1
?GEN ?SP	genus, species in question	1
?GEN.	genus in question	1
?GEN; L > 4MM (WEIL 2004)	genus in question	1
?GENUS	genus in question	1
?GENUS, ?SP	genus, species in question	1
?GENUS, BIG	genus in question	1
?GN	genus in question	1
?GN ?SP	genus, species in question	1
?GN?SP	genus, species in question	1
?ORD?FM	order, family in question	1
?ORDER	order in question	1
?ORDER ?GEN	genus in question	1
?OTHER ID	id in question	1
?SP	species in question	1
?SP ?TROCHUUS	species in question	1
?SP, ?GENUS	genus, species in question	1
?SP, BIG	species in question	1
?SP, SMALL	species in question	1
?SP, WORN	species in question	1
?SP.	species in question	1
?SP.; NOT AVAILABLE TO GPW	species in question	1
?SP; BIG	species in question	1
?SP; M. SEMINOENSIS OR E. BROWNI	species in question	1
?SP; NOT AVAILABLE TO GPW	species in question	1
?SP; SMALL	species in question	1
?SP; VERY BIG	species in question	1
?SPECIES	species in question	1
?SUBFAM	subfamily in question	1
[N. GEN., N. SP.]	gen. nov.	1
`		1
{BILLSI N. SP.}	sp. nov.	1
{CHILALA N. SP.}	sp. nov.	1
{CONGO N. SP.}	sp. nov.	1
{KALUNGWISHI N. SP.}	sp. nov.	1
{L. KYOGO N. SP.}	sp. nov.	1
{MALAGARASI N. SP.}	sp. nov.	1
{MANGULA N. SP.}	sp. nov.	1
{MOTTLED N. SP. 2.}	sp. nov.	1
{NTUMBACHUSHI N. SP.}	sp. nov.	1
{RUIKI N. SP.}	sp. nov.	1
{RUVU N. SP.}	sp. nov.	1
{RUZIZI N. SP.}	sp. nov.	1
{UBANGI 1 N. SP.}	sp. nov.	1
{ZAKONI N. SP.}	sp. nov.	1
1(1):15. W.D. DODD NO. 559.		1
14.5 IN. S.L.		1
155 M.M. S.L.		1
180MM S.L., (DRIED)		1
190 M.M. S.L.		1
200 M.M. S.L.		1
212 M.M. S.L.		1
215 M.M. S.L.		1
220 M.M. S.L.		1
225 M.M. S.L.		1
234 M.M. S.L.		1
243 M.M. S.L.		1
250 M.M. S.L.		1
255 M.M. S.L.		1
258 M.M. S.L.		1
260 M.M. S.L.		1
262 M.M. S.L.		1
294 M.M. S.L.		1
300 M.M. S.L.		1
310MM S.L.,HEAD=78MM		1
315MM S.L.,HEAD=84MM		1
344 M.M. S.L.		1
370 M.M. S.L.		1
4 SAMA PARATYPES (NUMBERS UNKNOWN) MISSING		1
400 M.M. T.L.		1
435 M.M. S.L.		1
44.5 C.M. T.L.		1
451 M.M. S.L.		1
480 M.M. S.L.		1
490 M.M. T.L.		1
670 M.M. S.L.		1
740M.M.S.L.TIP OF TAIL AB		1
AEGYPTIACA X SP.	aegyptiaca X sp.	1
AFF SP	aff.	1
AFF.	aff.	1
ALONG WITH B548 & B549 SYNTYPE OF SERICORNIS MACULATUS HOUTMANENSIS, ZIETZ, 1921, (SEE SAOA 6(2): 44-5). W.D. DODD NO. 119.		1
AMERICANA OR CRASSIDENS	species in question	1
ARGYROPLEURON SP. 1	sp. nov.	1
ARGYROPLEURON SP. 2	sp. nov.	1
ARVICOLINAE		1
ASH.SP.A	sp.	1
ASH.SP.B	sp.	1
ASH.SP.C	sp.	1
ASPER  N. GEN,	gen. nov.	1
AURICEPS LARGE BLACK TAILED SP.	sp.	1
B SP.	sp.	1
B1336 HOLOTYPE OF APROSMICTUS ERYTHROPTERUS MELVILLENSIS, ZIETZ, 1914 (SEE SAOA 1(1):14		1
B1365 TYPE SPECIMEN OF CHALCOPHAPS CHRYSOCHLORA MELVILLENSIS, ZIETZ, 1914 (SEE SAOA 1(1):12). W.D. DODD NO. 630.		1
B2237 HOLOTYPE OF PSEPHOTUS HAEMATONOTUS CAERULEUS, CONDON, 1941 (SEE RECORDS SAM 7:141)		1
B2303 TYPE OF CLIMACTERIS WAITEI,WHITE, 1917 (SEE EMU 16:168-9); B2304 PARATYPE OF CLIMACTERIS WAITEI, WHITE, 1917 (SEE EMU 16:168-9)		1
B4506 HOLOTYPE OF ZOSTEROPS WESTERNENSIS FLINDERSENSIS, ASHBY, 1925 (SEE EMU 25:117)		1
B547,  B548 & B549 SYNTYPE OF SERICORNIS MACULATUS HOUTMANENSIS, ZIETZ, 1921, (SEE SAOA 6(2): 44-5). W.D. DODD NO. 119.		1
B547, B548 & B549 SYNTYPE OF SERICORNIS MACULATUS HOUTMANENSIS, ZIETZ, 1921, (SEE SAOA 6(2): 44-5). W.D. DODD NO. 119.		1
B5669 HOLOTYPE OF CALAMANTHUS FULIGINOSUS SUTTONI, CONDON, 1951 (SEE SAOA 20:51)		1
B5673  HOLOTYPE OF CINCLOSOMA CASTANOTUSM MORGANI, CONDON, 1951 (SEE SAOA 20:42)		1
BAILEYI N. SP.	sp. nov.	1
BALSODICHTHYS X SP.	balsodichthys X sp.	1
BELLENDENENSIS N.SP.	sp. nov.	1
BIG		1
BROKEN		1
BUFO SP.	sp.	1
C		1
C SP.1	sp.	1
C. SP. X G. NYCTHEMERUS	C. sp. X G. nycthemerus	1
C. SP. X P. COLCHICUS	C. sp. X P. colchicus	1
C.F. CANADENSIS	cf. canadensis	1
C.F. CHAETODIPUS	cf. Chaetodipus	1
C.F. CINEREA	cf. cinerea	1
C.F. MARMOTA FLAVIVENTRIS	cf. Marmota flaviventris	1
C.F. NEOTOMA	cf. Neotoma	1
C.F. OVIS C.F. CANADENSIS	cf. canadensis	1
C.F. SPILOGALE	cf. Spilogale	1
C.F. TIGRIS	cf. tigris	1
CACTORUM SP. NOV.	sp. nov.	1
CF	cf.	1
CF CHAETODIPUS	cf. Chaetodipus	1
CF CINEREA	cf. cinerea	1
CF CINEREOARGENTEUS	cf. cinereoargenteus	1
CF CLASS	cf.	1
CF FAM	cf.	1
CF FAM CF GEN	cf.	1
CF FAMILY	cf.	1
CF FLAVIVENTRIS	cf. flaviventris	1
CF FM	cf.	1
CF GEN	cf.	1
CF GEN + SP	cf.	1
CF GEN CF SP	cf.	1
CF GEN, ?SP	cf.	1
CF GEN+SP	cf.	1
CF GENUS	cf.	1
CF GENUS AND SPECIES	cf.	1
CF GN	cf.	1
CF GN CF SP	cf.	1
CF ORDER	cf.	1
CF OTHER_ID	cf.	1
CF OTHERID	cf.	1
CF OVIS CANADENSIS	cf. Ovis canadensis	1
CF RHABDOGNATHUS RARUS.	cf. Rhabdognathus rarus	1
CF SP	cf.	1
CF SP CF GN	cf.	1
CF SP, ?GENUS, WORN	cf.	1
CF SP, VERY WORN	cf.	1
CF SP, WORN	cf.	1
CF SP.	cf.	1
CF SP; ?GENUS	cf.	1
CF SPECIES	cf.	1
CF SPILOGALE	cf. Spilogale	1
CF SUBFAM	cf.	1
CF SUBORDER	cf.	1
CF SUBSP	cf.	1
CF SUBSPECIES	cf.	1
CF, SO,	cf.	1
CF.	cf.	1
CF. A. NOBILIS	cf. nobilis	1
CF. AETIOCETIDAE	cf. Aetiocetidae	1
CF. BUROLETTI	cf. buroletti	1
CF. C. OCCIDENTALIS	cf. occidentalis	1
CF. FAM.	cf.	1
CF. FAMILY	cf.	1
CF. FAMILY, CF. GENUS	cf.	1
CF. FAMILY, GE. CF.	cf.	1
CF. FAMILY, SUBFAMILY	cf.	1
CF. G. MORINGA	cf. moringa	1
CF. GEN	cf.	1
CF. GEN.	cf.	1
CF. GENUS	cf.	1
CF. MORETONENSIS (SP. B)	cf. moretonensis	1
CF. N. SP. F OF KLAPPER	cf. n. sp. F of Klapper	1
CF. ORDER	cf.	1
CF. OTHER_ID	cf.	1
CF. OTHERID	cf.	1
CF. SP	cf.	1
CF. SP, SPP	cf.	1
CF. SP.	cf.	1
CF. SP., ?SP.	cf.	1
CF. SP.; WORN	cf.	1
CF. SPECIES	cf.	1
CF. SUBFAMILY	cf.	1
CF.GN	cf.	1
CF.GN SP	cf.	1
CF.SP	cf.	1
CFSP	cf.	1
CHIASMOCLEIS SP.	sp.	1
CHRYSOCEPHALA S	sp. nov.	1
CHRYSOCEPHALUS X SP.	chrysocephalus X sp.	1
CL ?	class in question	1
CL ? ;OR ?	class, order question in order	1
CL CF	class in question	1
CL?	class in question	1
CLASS ?	class in question	1
CLASS CF	cf.	1
COLCHICUS MONGOLICUS X COLCHICUS SSP.	colchicus mongolicus X colchicus ssp.	1
CRYPTODIRA		1
CURIOSUS SP. NO	sp. nov.	1
CYANELLUS X L. SP.	cyanellus x L. sp.	1
CYANELLUS X SP.	cyanellus X sp.	1
DARWINI N.SP.	sp. nov.	1
DFH  SP. 18	sp.	1
DFH  SP. 34	sp.	1
DFH  SP. 36	sp.	1
DFH N.SP.	sp.	1
DFH SP. 12	sp.	1
DFH SP. 36	sp.	1
DFH SP.16	sp.	1
DFH SP.17	sp.	1
DFH SP.4	sp.	1
DFH SP.6	sp.	1
DFH SP.8	sp.	1
DFH SP.9	sp.	1
EGREGIA OR SP. NOV.	species in question	1
EMYDIDC		1
ERINACEOIDEA		1
ERYOPS ALSO		1
EURYODUS ALSO		1
FA ?	family in question	1
FA ? ;GE ?	family, genus in question	1
FA ? ;GE ? ;SP ?	family, genus, species in question	1
FA ? ;GE CF	cf.	1
FA ? ;OI ?	family in question	1
FA ? ;SP CF	cf.	1
FA CF	cf.	1
FA CF;GE ?	cf.	1
FAM ?	family in question	1
FAM. ?	family in question	1
FEMALE, 505M.M. S.L.		1
FEMALE?		1
FL=80M.M.		1
FM ?	family in question	1
FM CF	cf.	1
FM GN ?	family, genus in question	1
FM?	family in question	1
FUSCA N. SP.	sp. nov.	1
GALBULA SSP. BULLOCKII	ssp.	1
GARDINERI N.SP.	sp. nov.	1
GE ?	genus in question	1
GE ? ;OI ?	genus in question	1
GE ? ;SP ?	genus, species in question	1
GE ? ;SP CF	genus, species in question	1
GE ? OR DESMOSTYLUS?	genus in question	1
GE CF	cf.	1
GE CF.	cf.	1
GE CF;SP ?	cf.	1
GE CF;SP CF	cf.	1
GE NR	cf.	1
GE. CF.	cf.	1
GE. CF. SP. CF.	cf.	1
GE?	genus in question	1
GEN	genus in question	1
GEN CF.	cf.	1
GEN IN QUOTES	genus in question	1
GEN INDET	gen. indet.	1
GEN NR	genus in question	1
GEN. ?	genus in question	1
GEN. A SP. A	Gen. A sp. A	1
GEN. A, SP. A	gen. A, sp. A	1
GEN?	genus in question	1
GENUS ?	genus in question	1
GENUS AND SPECIES UNCERTAIN, FAMILY IDENTIFIED		1
GENUS AND SPECIES UNKNOWN, FAMILY IDENTIFIED		1
GENUS IDENTIFIED, SPECIES UNCERTAIN		1
GENUS IDENTIFIED, SPECIES UNKNOWN		1
GENUS IN QUESTION	genus in question	1
GENUS IN QUESTION, SPECIES IN QUESTION	genus in question, species in question	1
GENUS IN QUOTES	genus in question	1
GENUS IN QUOTES AND ?	genus in question	1
GENUS IN QUOTES, CF GEN	cf.	1
GENUS IN QUOTES, CF SP	cf.	1
GENUS IN QUOTES. ? SP	genus, species in question	1
GENUS QUESTIONED	genus in question	1
GENUS UNCERTAIN, SPECIES UNKNOWN, FAMILY IDENTIFIED		1
GENUS, ?SP	genus, species in question	1
GENUS, SPECIES AND FAMILY UNCERTAIN		1
GN ?	genus in question	1
GN ? SP ?	genus, species in question	1
GN CF	cf.	1
GN CF SG CF	cf.	1
GN CF SP CF	cf.	1
GN?	genus in question	1
GS ?	genus in question	1
GS CF	cf.	1
GULOSUS X SP.	gulosus X sp.	1
HAEMATODUS X EOS SP.	haematodus x Eos sp.	1
HOLOTYPE LARGER OF 2 SPECIMENS IN JAR		1
HOLOTYPE OF APROSMICTUS ERYTHROPTERUS MELVILLENSIS, ZIETZ, 1914 (SEE SAOA 1(1):14		1
HOLOTYPE OF ASTUR CLARUS ROBUSTUS, ZIETZ, 1914; GREY PHASE, SEE SAOA 1(1):13. W.D. DODD NO. 574.		1
HOLOTYPE OF CHRYSOCOCCYX MINUTILLUS MELVILLENSIS, ZIETZ, 1914 (SEE SAOA 1(1):14. W.D. DODD NO. 666).		1
HOLOTYPE SAMA?? 300MM		1
HYLA SP.	sp.	1
I. SP. B	sp.	1
IDENTIFIED		1
INCERTAE SEDIS	incertae sedis	1
INDET SP.	sp.	1
INDET. SP.	sp.	1
INDET. SP. 1	sp.	1
INORNATUS X SP. UNIPARENS		1
ISOLEPIS SP.1	sp.	1
ISOLEPIS SP.2	sp.	1
ISP.	isp.	1
JANITOR N. SP.	sp. nov.	1
JUVENILE		1
JUVENILE?		1
KOBELTI N. SP.	sp. nov.	1
L=170M.M.		1
LARGE		1
LARGE SP.	sp.	1
LEPOSTERNON SP.	sp.	1
LEUCIODUS X SP.	leuciodus X sp.	1
LJH MAGNOLIA SP.1	LJH magnolia sp.1	1
LJH MAGNOLIA SP.2	LJH magnolia sp.2	1
LJH N.SP.IIIA	LJH n.sp.IIIa	1
LJH N.SP.IV	LJH n.sp.IV	1
LJH N.SP.IVA	LJH n.sp.IVa	1
LJH N.SP.VII	LJH n.sp.VII	1
LJH N.SP.X	LJH n.sp.X	1
LJH N.SP.XIV	LJH n.sp.XIV	1
LJH N.SP.XIX	LJH n.sp.XIX	1
LJH N.SP.XV	LJH n.sp.XV	1
LJH N.SP.XVII	LJH n.sp.XVII	1
LJH N.SP.XVIII	LJH n.sp.XVIII	1
LJH N.SP.XX	LJH n.sp.XX	1
LJH N.SP.XXI	LJH n.sp.XXI	1
LJH N.SP.XXIX	LJH n.sp.XXIX	1
LJH N.SP.XXX	LJH n.sp.XXX	1
LJH N.SP.XXXI	LJH n.sp.XXXI	1
LUTRENSA X SP.	lutrensa X sp.	1
MACROCHIRUS X SP.	macrochirus X sp.	1
MALE		1
MALTHE X SP.	malthe x sp.	1
MAULDINENSIS SP. NOV.	mauldinensis sp. nov.	1
MEGALOTIS X SP.	megalotis X sp.	1
N SP.	sp. nov.	1
N SP. "L402"	sp. nov.	1
N. GEN. N. SP.	n. gen. n. sp.	1
N. SP.	sp. nov.	1
N. SP. #1	sp. nov.	1
N. SP. #2	sp. nov.	1
N. SP. (CF. ACHIRUS)	sp. nov. (cf. achirus)	1
N. SP. (CF. FITZSIMONSI)	sp. nov. (cf. fitzsimonsi)	1
N. SP. (CF. PUSILLUS)	sp. nov. (cf. pusillus)	1
N. SP. (CF. REGANI)	sp. nov. (cf. regani)	1
N. SP. (CF. SIGNIFERA)	sp. nov. (cf. signifera)	1
N. SP. (CF. THETA)	sp. nov. (cf. theta)	1
N. SP. (MS)	sp. nov.	1
N. SP. (YUCATANA GROUP)	sp. nov. (yucatana group)	1
N. SP. [BLUE-SPOTTED]	sp. nov.	1
N. SP. “BIMACULATUS”	sp. nov.	1
N. SP. “CONGO”	sp. nov.	1
N. SP. “NEGRO/ALTO ORINOCO”	sp. nov.	1
N. SP. “RUFIJI”	sp. nov.	1
N. SP. “TAILSPOT”	sp. nov.	1
N. SP. 1		1
N. SP. 10	sp. nov.	1
N. SP. 2	sp. nov.	1
N. SP. 3	sp. nov.	1
N. SP. 4	n. sp. 4	1
N. SP. 5	n. sp. 5	1
N. SP. 6	sp. nov.	1
N. SP. 7	sp. nov.	1
N. SP. 8	sp. nov.	1
N. SP. A	sp. nov.	1
N. SP. B	sp. nov.	1
N. SP. B (SHORT GLAND)	sp. nov.	1
N. SP. C	sp. nov.	1
N. SP. D	sp. nov.	1
N. SP. D OF KLAPPER	n. sp. D of Klapper	1
N. SP. E OF KLAPPER	n. sp. E of Klapper	1
N. SP. F OF KLAPPER	n. sp. F of Klapper	1
N. SP. J	sp. nov.	1
N. SP. MS	sp. nov.	1
N. SP. Q	sp. nov.	1
N.SP.	sp. nov.	1
N.SP. "COMMON"	sp. nov.	1
N.SP. "TAVI"	sp. nov.	1
N.SP. (CF. RETICULATUS)	sp. nov. (cf. reticulatus)	1
N.SP. (MS)	sp. nov.	1
N.SP. 1		1
N.SP. A	sp. nov.	1
N.SP. CF NOVAECALEDONIAE	sp. nov.	1
N.SP. 'COMMON'	sp. nov.	1
N.SP. CORAL SEA	sp.	1
N.SP.1	sp.	1
N.SP.2	sp.	1
N.SP.3		1
N.SP.SP.2	sp. nov.	1
N.SP.SP.3	sp. nov.	1
N.SP.SP.5	sp. nov.	1
N.SP.SP.7	sp. nov.	1
NEAR SP	cf.	1
NEAR SP.	cf.	1
NEW SP.	sp. nov.	1
NOT ID-ABLE TO SP. (WEIL 2004)		1
NOV SP.1	sp. nov.	1
NOV. SUBSP.	ssp. nov.	1
NOVECRINITA N.	sp. nov.	1
NR	cf.	1
NR GN	cf.	1
NR SP	cf.	1
NR.	cf.	1
OI ?	id in question	1
OI CF	id in question	1
OKRA SP.1	okra sp.1	1
OR ?	order in question	1
OR ? ;FA ?	order, family in question	1
OR ? ;FA ? ;GE ?	order, family, genus in question	1
OR ? ;SP ?	order in question	1
OR ? ;SP CF	cf.	1
OR ?, FA ?	order, family in question	1
OR ?, WORN	order in question	1
OR ?; FA ?	order, family in question	1
OR ?; SP ?	order in question	1
OR CARNIVORA	order in question	1
OR CF	cf.	1
OR M. SEMINOENSIS	species in question	1
OR NR	cf.	1
OR PLIOHIPPUS	genus in question	1
OREAS X NOCOMIS SP.	oreas x Nocomis sp.	1
OTOPHRYNE SP.	sp.	1
PALM SP. 1	palm sp. 1	1
PALM SP.1	palm sp.1	1
PANDORA X R. SP.	pandora X R. sp.	1
PATZNERI N. SP.	sp. nov.	1
PAULSONI SSP. TASMAI	ssp.	1
PERLATES (SUBSP.)	ssp.	1
PIPILODRYAS SP.	sp. nov.	1
POSSIBLY GEN	genus in question	1
POSSIBLY GEN +SP	genus, species in question	1
POSSIBLY SP.	species in question	1
POTOMACENSIS SP. NOV.	potomacensis sp. nov.	1
PROBABLE	in question	1
PROBABLY	id in question	1
PROSERPINA X NOTROPIS SP.	proserpina X Notropis sp.	1
Q SP	species in question	1
QUADRIMUCRONATUS SSP. INDET.	quadrimucronatus ssp. indet.	1
REGANI (N. SSP.)	ssp. nov. (regani)	1
REGULARIS X SP.	sp.	1
REMARKS:2 = W.D. DODD. NO. 451.B1002, B1003 PARATYPES OF PACHYCEPHALA RUFIVENTRIS MINOR, ZIETZ, 1914 (SEE SAOA 1(1):15. W.D. DODD NO. 519.		1
RHAMNOPHYLL SP.1	rhamnophyll sp.1	1
RHINA,BINOCULATA,INORNATA	species in question	1
RW SP. 18	sp.	1
RW SP. 23	sp.	1
RW SP. 25	sp.	1
RW SP. 26	sp.	1
RW SP. 28	sp.	1
RW SP. 34	sp.	1
RW SP. 50	sp.	1
RW SP. 62	sp.	1
RW SP. 68	sp.	1
RW SP.36	sp.	1
RW SP.50	sp.	1
RW SP.62	sp.	1
RW SP.63	sp.	1
S. ELLIOTI X G. SP.	S. ellioti X G. sp.	1
S.L.SP.	s.l.sp.	1
SAMARA-SP. 2	samara-sp. 2	1
SAMARA-SP.2	samara-sp.2	1
SCINAX LESCUREI SP. NOV.	sp. nov.	1
SEE NOTES FOR REFERENCES		1
SEED GEN. A SP. A	seed gen. A sp. A	1
SEED GEN. A SP. B	seed gen. A sp. B	1
SEED GEN. B SP. A	seed gen. B sp. A	1
SEED GEN. B SP. B	seed gen. B sp. B	1
SEED GEN. C SP. A	seed gen. C sp. A	1
SEED GEN. D SP. A	seed gen. D sp. A	1
SENSU LATO	s.l.	1
SG ?	genus, species in question	1
SG CF	cf.	1
SG CF;SP CF	cf.	1
SIGMODONTINAE		1
SMALL		1
SMALL SP.	small sp.	1
SOME UNCERTAINTY AS TO IDENTIFICATION		1
SP	sp.	1
SP ?	species in question	1
SP CF	cf.	1
SP CF. SS CF	cf.	1
SP CF; WORN	cf.	1
SP D	sp.	1
SP NEAR	cf.	1
SP NR	cf.	1
SP.	sp.	1
SP. "6"	sp. nov.	1
SP. "A"		1
SP. "ATROX/PATROX"	sp.	1
SP. "B"		1
SP. "B&W"	sp. nov.	1
SP. "B+W"	sp. nov.	1
SP. "BIG EYES"	sp. nov.	1
SP. "BLACK&WHITE"	sp. nov.	1
SP. "BLOTCH"	sp. nov.	1
SP. "BROAD STRIPE"	sp. nov.	1
SP. "C"		1
SP. "CORTA"	sp. nov.	1
SP. "DARK SPOTS"	sp. nov.	1
SP. "FLAT"	sp. nov.	1
SP. "FRECKLED"	sp. nov.	1
SP. "HUMPHEAD"	sp. nov.	1
SP. "KAZUMBE"	sp.	1
SP. "LINEA"	sp. nov.	1
SP. "LONG ADIPOSE FIN"	sp. nov.	1
SP. "MARBLED"	sp. nov.	1
SP. "MOSHI"	sp.	1
SP. "MOTTLED"	sp. nov.	1
SP. "PINTADO"	sp. nov.	1
SP. "SADDLE"	sp. nov.	1
SP. "SAWFIN SHINER"	sp.	1
SP. "SHORT ADIPOSE FIN"	sp. nov.	1
SP. "URIQUE"	sp.	1
SP. "WALTERI"	sp.	1
SP. "WHITE CAUDAL EDGE"	sp. nov.	1
SP. # 1	sp.	1
SP. #1	sp. nov.	1
SP. #2	sp. nov.	1
SP. #4	sp. nov.	1
SP. (? ALBA)	sp.	1
SP. (? AZUREUS)	sp.	1
SP. (? FERNANDEZIANUS)	sp.	1
SP. (? HOLLANDI)	sp.	1
SP. (? LISPUS)	sp.	1
SP. (? N. SP.)	sp.	1
SP. (? NEWNESI)	sp.	1
SP. (? SINENSIS)	sp.	1
SP. (?PALUMBUS)	sp.	1
SP. (ALBINO)	sp.	1
SP. (ALNORUM OR TRAILLI ?)	sp.	1
SP. (ALTAMAZONICA COMPLEX)	sp.	1
SP. (AMMOCEOTES)	sp.	1
SP. (AMMOCOETE)	sp.	1
SP. (AMMOCOETES)	sp.	1
SP. (ARFAKIANA GROUP)	sp.	1
SP. (BASIN FORM)	sp.	1
SP. (BICOLOR COMPLEX)	sp.	1
SP. (BOGOTENSIS GROUP)	sp.	1
SP. (BROAD HEAD)	sp.	1
SP. (BROADTAIL MADTOM)	sp.	1
SP. (C.F. EUROPAEUS)	sp.	1
SP. (CALAMARINA-GROUP)	sp.	1
SP. (CATHARINAE-GROUP)	sp.	1
SP. (CAURA, ORINOCO)	sp.	1
SP. (CEPHALICA-CLADE)	sp.	1
SP. (CF. BREVISPINIS)	cf. brevispinis	1
SP. (CF. EOS)	cf. eos	1
SP. (CF. FLAVOBRUNNEUS)	cf. flavobrunneus	1
SP. (CF. LIMBATUS)	cf. limbatus	1
SP. (CF. MEDITERRANEUS)	cf. mediterraneus	1
SP. (CF. MELANOSTOMA)	cf. melanostoma	1
SP. (CF. MINUTILUS)	cf. minutilus	1
SP. (CF. MOLLIS)	cf. mollis	1
SP. (CF. PARADOXUM)	cf. paradoxum	1
SP. (CF. PLATOPHRYS)	cf. platophrys	1
SP. (CF. PULCHER)	cf. pulcher	1
SP. (CF. VALDIVIAE)	cf. valdiviae	1
SP. (CF. VEXILLARIS)	cf. vexillaris	1
SP. (CHALCONOTA-GROUP)	sp.	1
SP. (COCOS LONG-NOSE)	sp.	1
SP. (COELOMYS)	sp.	1
SP. (DENDRITICUS ?)	species in question	1
SP. (DRACO GROUP)	cf. draco group	1
SP. (E. UMBRINUS OR E. QUADRIVITTATUS)	sp.	1
SP. (EBELINGI ?)	species in question	1
SP. (FUSCOAURATUS-GROUP)	sp.	1
SP. (FUSCUS COMPLEX)	sp.	1
SP. (GRAMMICUS-GROUP)	sp.	1
SP. (GROUP I)	sp.	1
SP. (GROUP II)	sp.	1
SP. ('GROUP II')	sp.	1
SP. (GROUP III)	sp.	1
SP. (HOLSTON)	sp.	1
SP. (HYBRID)	sp.	1
SP. (HYBRID?)	sp.	1
SP. (JOBIENSIS GROUP)	sp.	1
SP. (LARVA)	sp.	1
SP. (LATERALIS GROUP)	sp.	1
SP. (LEMNISCATUS-GROUP)	sp.	1
SP. (LESUEURII COMPLEX)	sp.	1
SP. (MACCONNELLI / OLEAGINEUS)	sp.	1
SP. (MACRONEMA)	cf. macronema	1
SP. (MARGARITIFERA-COMPLEX)	sp.	1
SP. (MELANOLEUCUS-GROUP)	sp.	1
SP. (MELANONOTUS GROUP)	sp.	1
SP. (MIGRANS?)	sp.	1
SP. (NOTATUS-GROUP)	sp.	1
SP. (OCELLATUS-GROUP)	sp.	1
SP. (OCELLIFER-GROUP)	sp.	1
SP. (OCHROPHAEUS-COMPLEX)	sp.	1
SP. (PAPUA GROUP)	sp.	1
SP. (PARVICEPS GROUP)	sp.	1
SP. (PEREGRINA OR RUFICAPILLA ?)	sp.	1
SP. (PERPUSILLUS GROUP)	sp.	1
SP. (PHILADELPHIA X TOLMEI)	philadelphia X tolmei	1
SP. (PIPIENS COMPLEX)	sp.	1
SP. (PODICIPINUS-WAGNERI COMPLEX)	sp.	1
